family_id	final_status	n
OG0000007	F	3
OG0000007	P	1
OG0000007	U	19
OG0000009	A	19
OG0000009	F	53
OG0000009	P	344
OG0000009	U	77
OG0000012	A	74
OG0000012	F	11
OG0000012	P	593
OG0000012	U	62
OG0000015	A	152
OG0000015	F	9
OG0000015	P	114
OG0000015	U	28
OG0000016	A	6
OG0000016	F	266
OG0000016	P	413
OG0000016	U	424
OG0000022	F	12
OG0000022	P	174
OG0000022	U	157
OG0000024	A	91
OG0000024	F	35
OG0000024	P	307
OG0000024	U	120
OG0000027	A	6
OG0000027	F	9
OG0000027	P	95
OG0000027	U	148
OG0000029	A	36
OG0000029	F	50
OG0000029	P	247
OG0000029	U	298
OG0000030	A	3
OG0000030	F	10
OG0000030	P	137
OG0000030	U	94
OG0000038	P	36
OG0000038	U	1
OG0000039	P	362
OG0000040	A	2
OG0000040	F	18
OG0000040	P	41
OG0000040	U	197
OG0000042	A	28
OG0000042	F	60
OG0000042	P	232
OG0000042	U	39
OG0000045	A	94
OG0000045	F	7
OG0000045	P	1
OG0000045	U	20
OG0000046	A	3
OG0000046	F	18
OG0000046	P	93
OG0000046	U	266
OG0000047	F	2
OG0000047	P	198
OG0000047	U	121
OG0000049	A	57
OG0000049	F	7
OG0000049	P	229
OG0000049	U	239
OG0000054	A	23
OG0000054	F	7
OG0000054	P	129
OG0000054	U	40
OG0000060	A	118
OG0000060	F	11
OG0000060	P	422
OG0000060	U	54
OG0000065	A	28
OG0000065	F	3
OG0000065	P	149
OG0000065	U	20
OG0000075	P	21
OG0000077	A	3
OG0000077	F	2
OG0000077	P	107
OG0000077	U	35
OG0000083	F	2
OG0000083	P	18
OG0000083	U	17
OG0000086	A	23
OG0000086	P	12
OG0000086	U	32
OG0000087	A	22
OG0000087	P	108
OG0000087	U	32
OG0000090	A	11
OG0000090	F	11
OG0000090	P	73
OG0000090	U	73
OG0000093	A	5
OG0000093	F	15
OG0000093	P	5
OG0000093	U	9
OG0000095	P	35
OG0000095	U	3
OG0000096	A	1
OG0000096	F	8
OG0000096	P	28
OG0000096	U	21
OG0000100	F	3
OG0000100	P	12
OG0000100	U	6
OG0000103	A	23
OG0000103	F	3
OG0000103	P	81
OG0000103	U	17
OG0000106	A	8
OG0000106	F	53
OG0000106	P	106
OG0000106	U	235
OG0000107	F	28
OG0000107	P	165
OG0000107	U	143
OG0000118	A	30
OG0000118	P	1
OG0000118	U	17
OG0000126	A	7
OG0000126	F	2
OG0000126	P	135
OG0000126	U	68
OG0000141	P	34
OG0000141	U	5
OG0000142	A	18
OG0000142	P	3
OG0000142	U	63
OG0000147	A	31
OG0000147	F	21
OG0000147	P	102
OG0000147	U	19
OG0000150	A	22
OG0000150	F	7
OG0000150	P	156
OG0000150	U	73
OG0000158	U	23
OG0000159	F	40
OG0000159	P	94
OG0000159	U	38
OG0000164	A	2
OG0000164	P	177
OG0000166	A	4
OG0000166	F	27
OG0000166	P	188
OG0000166	U	209
OG0000167	P	99
OG0000167	U	52
OG0000170	A	27
OG0000170	F	970
OG0000170	P	625
OG0000170	U	2109
OG0000182	A	5
OG0000182	F	38
OG0000182	P	253
OG0000182	U	131
OG0000184	A	1
OG0000184	F	22
OG0000184	P	232
OG0000184	U	71
OG0000185	A	6
OG0000185	F	21
OG0000185	P	90
OG0000185	U	14
OG0000186	A	35
OG0000186	U	4
OG0000188	A	30
OG0000188	F	18
OG0000188	P	176
OG0000188	U	162
OG0000192	F	5
OG0000192	P	2
OG0000192	U	35
OG0000196	F	1
OG0000196	P	11
OG0000196	U	73
OG0000199	F	23
OG0000199	P	84
OG0000199	U	286
OG0000200	A	1
OG0000200	P	351
OG0000200	U	20
OG0000202	F	3
OG0000202	P	34
OG0000202	U	24
OG0000206	A	1
OG0000206	F	3
OG0000206	P	32
OG0000206	U	98
OG0000207	A	33
OG0000207	F	1
OG0000207	P	209
OG0000207	U	8
OG0000210	A	1
OG0000210	P	49
OG0000210	U	11
OG0000213	A	63
OG0000213	F	2
OG0000213	P	53
OG0000213	U	44
OG0000217	P	231
OG0000217	U	4
OG0000220	A	1
OG0000220	F	34
OG0000220	P	86
OG0000220	U	116
OG0000224	P	44
OG0000224	U	4
OG0000228	A	3
OG0000228	P	33
OG0000228	U	16
OG0000242	A	2
OG0000242	F	11
OG0000242	P	190
OG0000242	U	29
OG0000253	A	1
OG0000253	F	8
OG0000253	P	54
OG0000253	U	112
OG0000255	A	23
OG0000255	F	8
OG0000255	P	914
OG0000255	U	114
OG0000258	A	24
OG0000258	F	13
OG0000258	P	108
OG0000258	U	139
OG0000261	F	9
OG0000261	P	70
OG0000261	U	44
OG0000264	F	5
OG0000264	P	182
OG0000264	U	25
OG0000266	A	17
OG0000266	F	7
OG0000266	P	65
OG0000266	U	18
OG0000269	A	13
OG0000269	F	2
OG0000269	P	5
OG0000269	U	12
OG0000271	F	7
OG0000271	P	26
OG0000271	U	35
OG0000272	A	10
OG0000272	F	1
OG0000272	P	8
OG0000272	U	3
OG0000276	A	47
OG0000276	F	2
OG0000276	P	104
OG0000276	U	13
OG0000297	A	1
OG0000297	P	22
OG0000297	U	32
OG0000298	A	1
OG0000298	P	34
OG0000298	U	75
OG0000299	A	28
OG0000299	F	11
OG0000299	P	76
OG0000299	U	169
OG0000319	A	8
OG0000319	F	1
OG0000319	P	10
OG0000319	U	14
OG0000320	A	12
OG0000320	P	21
OG0000320	U	4
OG0000325	F	15
OG0000325	P	8
OG0000325	U	60
OG0000329	P	2
OG0000329	U	9
OG0000338	A	1
OG0000338	F	13
OG0000338	P	173
OG0000338	U	113
OG0000339	A	38
OG0000339	F	12
OG0000339	P	94
OG0000339	U	69
OG0000343	A	26
OG0000343	F	13
OG0000343	P	102
OG0000343	U	6
OG0000347	A	13
OG0000347	F	38
OG0000347	P	74
OG0000347	U	590
OG0000348	A	8
OG0000348	F	11
OG0000348	P	31
