family_id	final_status	total_n	proportion	family_size
OG0000007	F	3	0.130434782608696	1
OG0000007	P	1	0.0434782608695652	1
OG0000007	U	19	0.826086956521739	1
OG0000009	A	19	0.0385395537525355	25
OG0000009	F	53	0.107505070993915	25
OG0000009	P	344	0.697768762677485	25
OG0000009	U	77	0.156186612576065	25
OG0000012	A	74	0.1	26
OG0000012	F	11	0.0148648648648649	26
OG0000012	P	593	0.801351351351351	26
OG0000012	U	62	0.0837837837837838	26
OG0000015	A	152	0.501650165016502	18
OG0000015	F	9	0.0297029702970297	18
OG0000015	P	114	0.376237623762376	18
OG0000015	U	28	0.0924092409240924	18
OG0000016	A	6	0.00541027953110911	31
OG0000016	F	266	0.23985572587917	31
OG0000016	P	413	0.372407574391344	31
OG0000016	U	424	0.382326420198377	31
OG0000022	F	12	0.0349854227405248	16
OG0000022	P	174	0.507288629737609	16
OG0000022	U	157	0.457725947521866	16
OG0000024	A	91	0.164556962025316	25
OG0000024	F	35	0.0632911392405063	25
OG0000024	P	307	0.555153707052441	25
OG0000024	U	120	0.216998191681736	25
OG0000027	A	6	0.0232558139534884	13
OG0000027	F	9	0.0348837209302326	13
OG0000027	P	95	0.368217054263566	13
OG0000027	U	148	0.573643410852713	13
OG0000029	A	36	0.0570522979397781	34
OG0000029	F	50	0.0792393026941363	34
OG0000029	P	247	0.391442155309033	34
OG0000029	U	298	0.472266244057052	34
OG0000030	A	3	0.0122950819672131	11
OG0000030	F	10	0.040983606557377	11
OG0000030	P	137	0.561475409836066	11
OG0000030	U	94	0.385245901639344	11
OG0000038	P	36	0.972972972972973	2
OG0000038	U	1	0.027027027027027	2
OG0000039	P	362	1	16
OG0000040	A	2	0.00775193798449612	14
OG0000040	F	18	0.0697674418604651	14
OG0000040	P	41	0.158914728682171	14
OG0000040	U	197	0.763565891472868	14
OG0000042	A	28	0.0779944289693593	19
OG0000042	F	60	0.167130919220056	19
OG0000042	P	232	0.646239554317549	19
OG0000042	U	39	0.108635097493036	19
OG0000045	A	94	0.770491803278688	5
OG0000045	F	7	0.0573770491803279	5
OG0000045	P	1	0.00819672131147541	5
OG0000045	U	20	0.163934426229508	5
OG0000046	A	3	0.00789473684210526	18
OG0000046	F	18	0.0473684210526316	18
OG0000046	P	93	0.244736842105263	18
OG0000046	U	266	0.7	18
OG0000047	F	2	0.00623052959501558	15
OG0000047	P	198	0.616822429906542	15
OG0000047	U	121	0.376947040498442	15
OG0000049	A	57	0.107142857142857	19
OG0000049	F	7	0.0131578947368421	19
OG0000049	P	229	0.430451127819549	19
OG0000049	U	239	0.449248120300752	19
OG0000054	A	23	0.115577889447236	11
OG0000054	F	7	0.0351758793969849	11
OG0000054	P	129	0.648241206030151	11
OG0000054	U	40	0.201005025125628	11
OG0000060	A	118	0.19504132231405	16
OG0000060	F	11	0.0181818181818182	16
OG0000060	P	422	0.697520661157025	16
OG0000060	U	54	0.0892561983471074	16
OG0000065	A	28	0.14	11
OG0000065	F	3	0.015	11
OG0000065	P	149	0.745	11
OG0000065	U	20	0.1	11
OG0000075	P	21	1	1
OG0000077	A	3	0.0204081632653061	7
OG0000077	F	2	0.0136054421768707	7
OG0000077	P	107	0.727891156462585	7
OG0000077	U	35	0.238095238095238	7
OG0000083	F	2	0.0540540540540541	3
OG0000083	P	18	0.486486486486487	3
OG0000083	U	17	0.45945945945946	3
OG0000086	A	23	0.343283582089552	3
OG0000086	P	12	0.17910447761194	3
OG0000086	U	32	0.477611940298507	3
OG0000087	A	22	0.135802469135802	8
OG0000087	P	108	0.666666666666667	8
OG0000087	U	32	0.197530864197531	8
OG0000090	A	11	0.0654761904761905	9
OG0000090	F	11	0.0654761904761905	9
OG0000090	P	73	0.43452380952381	9
OG0000090	U	73	0.43452380952381	9
OG0000093	A	5	0.147058823529412	3
OG0000093	F	15	0.441176470588235	3
OG0000093	P	5	0.147058823529412	3
OG0000093	U	9	0.264705882352941	3
OG0000095	P	35	0.921052631578947	2
OG0000095	U	3	0.0789473684210526	2
OG0000096	A	1	0.0172413793103448	3
OG0000096	F	8	0.137931034482759	3
OG0000096	P	28	0.482758620689655	3
OG0000096	U	21	0.362068965517241	3
OG0000100	F	3	0.142857142857143	1
OG0000100	P	12	0.571428571428571	1
OG0000100	U	6	0.285714285714286	1
OG0000103	A	23	0.185483870967742	7
OG0000103	F	3	0.0241935483870968	7
OG0000103	P	81	0.653225806451613	7
OG0000103	U	17	0.137096774193548	7
OG0000106	A	8	0.0199004975124378	13
OG0000106	F	53	0.131840796019901	13
OG0000106	P	106	0.263681592039801	13
OG0000106	U	235	0.584577114427861	13
OG0000107	F	28	0.0833333333333333	15
OG0000107	P	165	0.491071428571429	15
OG0000107	U	143	0.425595238095238	15
OG0000118	A	30	0.625	6
OG0000118	P	1	0.0208333333333333	6
OG0000118	U	17	0.354166666666667	6
OG0000126	A	7	0.0330188679245283	11
OG0000126	F	2	0.00943396226415094	11
OG0000126	P	135	0.636792452830189	11
OG0000126	U	68	0.320754716981132	11
OG0000141	P	34	0.871794871794872	2
OG0000141	U	5	0.128205128205128	2
OG0000142	A	18	0.214285714285714	4
OG0000142	P	3	0.0357142857142857	4
OG0000142	U	63	0.75	4
OG0000147	A	31	0.179190751445087	10
OG0000147	F	21	0.121387283236994	10
OG0000147	P	102	0.589595375722543	10
OG0000147	U	19	0.109826589595376	10
OG0000150	A	22	0.0852713178294574	10
OG0000150	F	7	0.0271317829457364	10
OG0000150	P	156	0.604651162790698	10
OG0000150	U	73	0.282945736434109	10
OG0000158	U	23	1	1
OG0000159	F	40	0.232558139534884	8
OG0000159	P	94	0.546511627906977	8
OG0000159	U	38	0.22093023255814	8
OG0000164	A	2	0.0111731843575419	8
OG0000164	P	177	0.988826815642458	8
OG0000166	A	4	0.00934579439252336	18
OG0000166	F	27	0.0630841121495327	18
OG0000166	P	188	0.439252336448598	18
OG0000166	U	209	0.488317757009346	18
OG0000167	P	99	0.655629139072848	7
OG0000167	U	52	0.344370860927152	7
OG0000170	A	27	0.00723666577325114	21
OG0000170	F	970	0.259983918520504	21
OG0000170	P	625	0.16751541141785	21
OG0000170	U	2109	0.565264004288395	21
OG0000182	A	5	0.0117096018735363	16
OG0000182	F	38	0.0889929742388759	16
OG0000182	P	253	0.592505854800937	16
OG0000182	U	131	0.306791569086651	16
OG0000184	A	1	0.00306748466257669	11
OG0000184	F	22	0.0674846625766871	11
OG0000184	P	232	0.711656441717791	11
OG0000184	U	71	0.217791411042945	11
OG0000185	A	6	0.0458015267175573	6
OG0000185	F	21	0.16030534351145	6
OG0000185	P	90	0.687022900763359	6
OG0000185	U	14	0.106870229007634	6
OG0000186	A	35	0.897435897435897	2
OG0000186	U	4	0.102564102564103	2
OG0000188	A	30	0.077720207253886	19
OG0000188	F	18	0.0466321243523316	19
OG0000188	P	176	0.455958549222798	19
OG0000188	U	162	0.419689119170984	19
OG0000192	F	5	0.119047619047619	2
OG0000192	P	2	0.0476190476190476	2
OG0000192	U	35	0.833333333333333	2
OG0000196	F	1	0.0117647058823529	4
OG0000196	P	11	0.129411764705882	4
OG0000196	U	73	0.858823529411765	4
OG0000199	F	23	0.0585241730279898	9
OG0000199	P	84	0.213740458015267	9
OG0000199	U	286	0.727735368956743	9
OG0000200	A	1	0.00268817204301075	12
OG0000200	P	351	0.943548387096774	12
OG0000200	U	20	0.0537634408602151	12
OG0000202	F	3	0.0491803278688525	3
OG0000202	P	34	0.557377049180328	3
OG0000202	U	24	0.39344262295082	3
OG0000206	A	1	0.00746268656716418	7
OG0000206	F	3	0.0223880597014925	7
OG0000206	P	32	0.238805970149254	7
OG0000206	U	98	0.73134328358209	7
OG0000207	A	33	0.131474103585657	13
OG0000207	F	1	0.00398406374501992	13
OG0000207	P	209	0.832669322709163	13
OG0000207	U	8	0.0318725099601594	13
OG0000210	A	1	0.0163934426229508	3
OG0000210	P	49	0.80327868852459	3
OG0000210	U	11	0.180327868852459	3
OG0000213	A	63	0.388888888888889	8
OG0000213	F	2	0.0123456790123457	8
OG0000213	P	53	0.32716049382716	8
OG0000213	U	44	0.271604938271605	8
OG0000217	P	231	0.982978723404255	10
OG0000217	U	4	0.0170212765957447	10
