family_id	assembly	assembly_short	scaffold	gene	copy	copy_rank	copy_id	copy_header	copy_fasta	ref_fasta	step2_status	step2_strand	step2_alignment_score	exo_score	exo_frameshift_ops	exo_strand	exon_count	predicted_cds_len	predicted_protein_len	ref_cds_len	ref_protein_len	protein_len_ratio	internal_stop_count	has_terminal_stop	starts_with_M	frameshift_like_gap_runs	prot_matches	prot_mismatches	prot_gap_columns	prot_percent_identity	prot_ref_coverage	prot_qry_coverage	prot_aligned_columns	structural_status	structural_reason	final_status	final_reason	protein_divergence	divergence_robust_z	popgen_dataset
OG0000007	73_3a	73_3a	scaffold_3_RagTag	AL3G16620	1		1	AL3G16620_73_3a_scaffold_3_copy_1	/home/pkaru/hpc-project/CNV/ANN/231/AL/blast1/sequences/OG0000007_all_genes_v1.fasta	/home/pkaru/hpc-project/CNV/ANN/231/AL/refseq/OG0000007.fasta	ok	+	2201.0	835.0	0.0	-	1.0	570.0	190.0	564.0	188.0	1.0106	0.0	True	False	0.0	170.0	13.0	12.0	92.896	100.0	100.0	195.0	U0	structurally_intact	F	divergence_outlier_rz_gt_3.0	7.103999999999999	4.045354878048772	A+F+P+U
OG0000007	AL08_v2_f	AL08_v2_f	scaffold_3_RagTag	AL3G16620	1		1	AL3G16620_AL08_v2_f_scaffold_3_copy_1	/home/pkaru/hpc-project/CNV/ANN/231/AL/blast1/sequences/OG0000007_all_genes_v1.fasta	/home/pkaru/hpc-project/CNV/ANN/231/AL/refseq/OG0000007.fasta	ok	+	2195.0	840.0	0.0	-	1.0	570.0	190.0	564.0	188.0	1.0106	0.0	True	False	0.0	172.0	11.0	12.0	93.989	100.0	100.0	195.0	U0	structurally_intact	F	divergence_outlier_rz_gt_3.0	6.010999999999996	3.1462957317073066	A+F+P+U
OG0000007	al1_v2_s	al1_v2_s	scaffold_3_RagTag	AL3G16620	1		1	AL3G16620_al1_v2_s_scaffold_3_copy_1	/home/pkaru/hpc-project/CNV/ANN/231/AL/blast1/sequences/OG0000007_all_genes_v1.fasta	/home/pkaru/hpc-project/CNV/ANN/231/AL/refseq/OG0000007.fasta	ok	+	2384.0	909.0	0.0	-	1.0	558.0	186.0	564.0	188.0	0.9894	0.0	True	False	0.0	179.0	4.0	8.0	97.814	100.0	100.0	191.0	U0	structurally_intact	U	reference_like_intact	2.186000000000007	0.0	A+F+P+U
OG0000007	AL27_v1	AL27_v1	scaffold_3_RagTag	AL3G16620	1		1	AL3G16620_AL27_v1_scaffold_3_copy_1	/home/pkaru/hpc-project/CNV/ANN/231/AL/blast1/sequences/OG0000007_all_genes_v1.fasta	/home/pkaru/hpc-project/CNV/ANN/231/AL/refseq/OG0000007.fasta	ok	+	2211.0	899.0	0.0	-	1.0	552.0	184.0	564.0	188.0	0.9787	0.0	True	False	0.0	176.0	6.0	8.0	96.703	100.0	100.0	190.0	U0	structurally_intact	U	reference_like_intact	3.296999999999997	0.9138652439024304	A+F+P+U
OG0000007	ALR	ALR	scaffold_3	AL3G16620	1		1	AL3G16620_ALR_scaffold_3_copy_1	/home/pkaru/hpc-project/CNV/ANN/231/AL/blast1/sequences/OG0000007_all_genes_v1.fasta	/home/pkaru/hpc-project/CNV/ANN/231/AL/refseq/OG0000007.fasta	ok	+	2198.0	848.0	0.0	-	1.0	570.0	190.0	564.0	188.0	1.0106	0.0	True	False	0.0	174.0	9.0	12.0	95.082	100.0	100.0	195.0	U0	structurally_intact	U	reference_like_intact	4.918000000000006	2.247236585365852	A+F+P+U
OG0000007	BAM12_v2	BAM12_v2	scaffold_3_RagTag	AL3G16620	1		1	AL3G16620_BAM12_v2_scaffold_3_copy_1	/home/pkaru/hpc-project/CNV/ANN/231/AL/blast1/sequences/OG0000007_all_genes_v1.fasta	/home/pkaru/hpc-project/CNV/ANN/231/AL/refseq/OG0000007.fasta	ok	+	2364.0	909.0	0.0	-	1.0	558.0	186.0	564.0	188.0	0.9894	0.0	True	False	0.0	179.0	4.0	8.0	97.814	100.0	100.0	191.0	U0	structurally_intact	U	reference_like_intact	2.186000000000007	0.0	A+F+P+U
OG0000007	BOR_v1	BOR_v1	scaffold_3_RagTag:0-24937921	AL3G16620	1		1	AL3G16620_BOR_v1_scaffold_3_copy_1	/home/pkaru/hpc-project/CNV/ANN/231/AL/blast1/sequences/OG0000007_all_genes_v1.fasta	/home/pkaru/hpc-project/CNV/ANN/231/AL/refseq/OG0000007.fasta	ok	+	2221.0	900.0	0.0	-	1.0	558.0	186.0	564.0	188.0	0.9894	0.0	True	False	0.0	176.0	7.0	8.0	96.175	100.0	100.0	191.0	U0	structurally_intact	U	reference_like_intact	3.825000000000003	1.3481774390243864	A+F+P+U
OG0000007	F1-14	F1-14	scaffold_3_RagTag	AL3G16620	1		1	AL3G16620_F1-14_scaffold_3_copy_1	/home/pkaru/hpc-project/CNV/ANN/231/AL/blast1/sequences/OG0000007_all_genes_v1.fasta	/home/pkaru/hpc-project/CNV/ANN/231/AL/refseq/OG0000007.fasta	ok	+	2271.0	912.0	0.0	-	1.0	558.0	186.0	564.0	188.0	0.9894	0.0	True	False	0.0	177.0	6.0	8.0	96.721	100.0	100.0	191.0	U0	structurally_intact	U	reference_like_intact	3.2789999999999964	0.8990591463414542	A+F+P+U
OG0000007	KN003hexa_v0	KN003hexa_v0	scaffold_3_RagTag	AL3G16620	1		1	AL3G16620_KN003hexa_v0_scaffold_3_copy_1	/home/pkaru/hpc-project/CNV/ANN/231/AL/blast1/sequences/OG0000007_all_genes_v1.fasta	/home/pkaru/hpc-project/CNV/ANN/231/AL/refseq/OG0000007.fasta	ok	+	2294.0	939.0	0.0	-	1.0	555.0	185.0	564.0	188.0	0.984	0.0	True	False	0.0	181.0	2.0	7.0	98.907	100.0	100.0	190.0	U0	structurally_intact	U	reference_like_intact	1.0930000000000035	-0.899059146341466	A+F+P+U
OG0000007	KN005_v1	KN005_v1	scaffold_3_RagTag	AL3G16620	1		1	AL3G16620_KN005_v1_scaffold_3_copy_1	/home/pkaru/hpc-project/CNV/ANN/231/AL/blast1/sequences/OG0000007_all_genes_v1.fasta	/home/pkaru/hpc-project/CNV/ANN/231/AL/refseq/OG0000007.fasta	ok	+	2294.0	939.0	0.0	-	1.0	555.0	185.0	564.0	188.0	0.984	0.0	True	False	0.0	181.0	2.0	7.0	98.907	100.0	100.0	190.0	U0	structurally_intact	U	reference_like_intact	1.0930000000000035	-0.899059146341466	A+F+P+U
