family_id	gene	n_total_copies	n_P	n_F	n_U	n_A	prop_P	prop_F	prop_U	prop_A	assemblies_observed	assemblies_with_P	assemblies_with_F	assemblies_with_U	assemblies_with_A
OG0000007	AL3G16620	23	1	3	19	0	0.043478260869565216	0.13043478260869565	0.8260869565217391	0.0	23	1	3	19	0
OG0000009	AL1G65610	21	0	21	0	0	0.0	1.0	0.0	0.0	21	0	21	0	0
OG0000009	AL4G20070	21	21	0	0	0	1.0	0.0	0.0	0.0	21	21	0	0	0
OG0000009	AL5G15900	17	15	0	2	0	0.8823529411764706	0.0	0.11764705882352941	0.0	17	15	0	2	0
OG0000009	AL5G15910	21	4	9	8	0	0.19047619047619047	0.42857142857142855	0.38095238095238093	0.0	21	4	9	8	0
OG0000009	AL5G28540	19	11	6	2	0	0.5789473684210527	0.3157894736842105	0.10526315789473684	0.0	19	11	6	2	0
OG0000009	AL5G28550	16	2	10	4	0	0.125	0.625	0.25	0.0	16	2	10	4	0
OG0000009	AL5G28950	22	0	1	21	0	0.0	0.045454545454545456	0.9545454545454546	0.0	22	0	1	21	0
OG0000009	AL5G30872	21	21	0	0	0	1.0	0.0	0.0	0.0	21	21	0	0	0
OG0000009	AL5G31970	22	22	0	0	0	1.0	0.0	0.0	0.0	22	22	0	0	0
OG0000009	AL5G36020	20	20	0	0	0	1.0	0.0	0.0	0.0	20	20	0	0	0
OG0000009	AL6G44330	17	17	0	0	0	1.0	0.0	0.0	0.0	17	17	0	0	0
OG0000009	AL6G44360	17	17	0	0	0	1.0	0.0	0.0	0.0	17	17	0	0	0
OG0000009	AL6G44370	16	16	0	0	0	1.0	0.0	0.0	0.0	13	13	0	0	0
OG0000009	AL7G26600	22	22	0	0	0	1.0	0.0	0.0	0.0	22	22	0	0	0
OG0000009	AL7G51940	22	21	0	1	0	0.9545454545454546	0.0	0.045454545454545456	0.0	22	21	0	1	0
OG0000009	AL7G51960	22	3	0	0	19	0.13636363636363635	0.0	0.0	0.8636363636363636	22	3	0	0	19
OG0000009	AL7G52000	21	18	2	1	0	0.8571428571428571	0.09523809523809523	0.047619047619047616	0.0	21	18	2	1	0
OG0000009	AL7G52020	22	17	4	1	0	0.7727272727272727	0.18181818181818182	0.045454545454545456	0.0	21	16	4	1	0
OG0000009	AL8G17190	22	22	0	0	0	1.0	0.0	0.0	0.0	22	22	0	0	0
OG0000009	AL8G32200	21	21	0	0	0	1.0	0.0	0.0	0.0	21	21	0	0	0
OG0000009	AL8G32500	22	5	0	17	0	0.22727272727272727	0.0	0.7727272727272727	0.0	22	5	0	17	0
OG0000009	AL8G32520	25	23	0	2	0	0.92	0.0	0.08	0.0	22	22	0	2	0
OG0000009	AL8G32530	2	0	0	2	0	0.0	0.0	1.0	0.0	2	0	0	2	0
OG0000009	AL8G40480	22	22	0	0	0	1.0	0.0	0.0	0.0	22	22	0	0	0
OG0000009	AL8G41770	20	4	0	16	0	0.2	0.0	0.8	0.0	20	4	0	16	0
OG0000012	AL1G49650	18	17	0	1	0	0.9444444444444444	0.0	0.05555555555555555	0.0	18	17	0	1	0
OG0000012	AL1G49660	30	27	1	2	0	0.9	0.03333333333333333	0.06666666666666667	0.0	19	17	1	2	0
OG0000012	AL1G66550	10	10	0	0	0	1.0	0.0	0.0	0.0	10	10	0	0	0
OG0000012	AL1G66560	23	23	0	0	0	1.0	0.0	0.0	0.0	21	21	0	0	0
OG0000012	AL3G42870	9	3	1	5	0	0.3333333333333333	0.1111111111111111	0.5555555555555556	0.0	9	3	1	5	0
OG0000012	AL3G42880	40	9	3	15	13	0.225	0.075	0.375	0.325	22	9	3	14	10
OG0000012	AL3G42890	27	0	0	1	26	0.0	0.0	0.037037037037037035	0.9629629629629629	22	0	0	1	21
OG0000012	AL3G42900	27	15	1	11	0	0.5555555555555556	0.037037037037037035	0.4074074074074074	0.0	19	9	1	11	0
OG0000012	AL5G23140	22	9	0	13	0	0.4090909090909091	0.0	0.5909090909090909	0.0	21	8	0	13	0
OG0000012	AL5G23200	17	9	0	8	0	0.5294117647058824	0.0	0.47058823529411764	0.0	14	6	0	8	0
OG0000012	AL5G23230	61	26	5	6	24	0.4262295081967213	0.08196721311475409	0.09836065573770492	0.39344262295081966	22	16	4	6	17
OG0000012	AL5G39900	22	22	0	0	0	1.0	0.0	0.0	0.0	22	22	0	0	0
OG0000012	AL5G39910	22	22	0	0	0	1.0	0.0	0.0	0.0	22	22	0	0	0
OG0000012	AL5G39920	56	56	0	0	0	1.0	0.0	0.0	0.0	22	22	0	0	0
OG0000012	AL5G39940	66	58	0	0	8	0.8787878787878788	0.0	0.0	0.12121212121212122	22	22	0	0	7
OG0000012	AL5G39960	22	22	0	0	0	1.0	0.0	0.0	0.0	22	22	0	0	0
OG0000012	AL5G39970	33	30	0	0	3	0.9090909090909091	0.0	0.0	0.09090909090909091	22	22	0	0	3
OG0000012	AL5G39980	22	22	0	0	0	1.0	0.0	0.0	0.0	22	22	0	0	0
OG0000012	AL5G40000	39	39	0	0	0	1.0	0.0	0.0	0.0	22	22	0	0	0
OG0000012	AL5G40020	22	22	0	0	0	1.0	0.0	0.0	0.0	22	22	0	0	0
OG0000012	AL5G40070	38	38	0	0	0	1.0	0.0	0.0	0.0	22	22	0	0	0
OG0000012	AL5G40100	22	22	0	0	0	1.0	0.0	0.0	0.0	22	22	0	0	0
OG0000012	AL5G40110	22	22	0	0	0	1.0	0.0	0.0	0.0	22	22	0	0	0
OG0000012	AL5G40120	21	21	0	0	0	1.0	0.0	0.0	0.0	17	17	0	0	0
