id	length	og
AL3G16620	1256	OG0000007
AL1G65610	1785	OG0000009
AL4G20070	1822	OG0000009
AL5G15900	2294	OG0000009
AL5G15910	2008	OG0000009
AL5G28540	2004	OG0000009
AL5G28550	2257	OG0000009
AL5G28950	1935	OG0000009
AL5G30872	1471	OG0000009
AL5G31970	1852	OG0000009
AL5G36020	1967	OG0000009
AL6G44330	1588	OG0000009
AL6G44360	4899	OG0000009
AL6G44370	1912	OG0000009
AL7G26600	1871	OG0000009
AL7G51940	1991	OG0000009
AL7G51960	6057	OG0000009
AL7G52000	2279	OG0000009
AL7G52020	1463	OG0000009
AL8G17190	3089	OG0000009
AL8G32200	1912	OG0000009
AL8G32500	5211	OG0000009
AL8G32520	4125	OG0000009
AL8G32530	1869	OG0000009
AL8G40480	1812	OG0000009
AL8G41770	1561	OG0000009
AL1G49650	1515	OG0000012
AL1G49660	1720	OG0000012
AL1G66550	1328	OG0000012
AL1G66560	5081	OG0000012
AL3G42870	1938	OG0000012
AL3G42880	5451	OG0000012
AL3G42890	3941	OG0000012
AL3G42900	2087	OG0000012
AL5G23140	1818	OG0000012
AL5G23200	1405	OG0000012
AL5G23230	5582	OG0000012
AL5G39900	2389	OG0000012
AL5G39910	1800	OG0000012
AL5G39920	1891	OG0000012
AL5G39940	3524	OG0000012
AL5G39960	1882	OG0000012
AL5G39970	2918	OG0000012
AL5G39980	2018	OG0000012
AL5G40000	2182	OG0000012
AL5G40020	1613	OG0000012
AL5G40070	1929	OG0000012
AL5G40100	1682	OG0000012
AL5G40110	1935	OG0000012
AL5G40120	1484	OG0000012
AL5G40140	2940	OG0000012
AL5G40170	2000	OG0000012
AL1G53250	869	OG0000015
AL1G56200	4219	OG0000015
AL1G56270	2796	OG0000015
AL1G61030	2894	OG0000015
AL2G10360	5523	OG0000015
AL2G38250	5511	OG0000015
AL364U10020	2177	OG0000015
AL3G39750	3606	OG0000015
AL3G40240	8500	OG0000015
AL3G45200	5477	OG0000015
AL3G53150	418	OG0000015
AL4G28120	2327	OG0000015
AL4G41810	301	OG0000015
AL6G39210	1584	OG0000015
AL7G30150	8156	OG0000015
AL7G34100	6183	OG0000015
AL8G11480	2116	OG0000015
AL8G14770	779	OG0000015
AL1G16610	1620	OG0000016
AL1G23620	2139	OG0000016
AL1G23630	2911	OG0000016
AL1G23970	2258	OG0000016
AL1G24070	3948	OG0000016
AL1G24080	2155	OG0000016
AL1G24180	2190	OG0000016
AL1G24190	2552	OG0000016
AL2G10190	2070	OG0000016
AL2G11490	2076	OG0000016
AL2G11830	2174	OG0000016
AL2G12460	5297	OG0000016
AL2G12470	2445	OG0000016
AL2G12500	7926	OG0000016
AL2G12780	2403	OG0000016
AL2G12790	2254	OG0000016
AL2G12810	2457	OG0000016
AL2G12820	2222	OG0000016
AL2G12830	2117	OG0000016
AL2G13070	1601	OG0000016
AL2G13120	2809	OG0000016
AL2G13130	3039	OG0000016
AL2G13140	3965	OG0000016
AL2G13150	2214	OG0000016
AL2G13170	2361	OG0000016
AL2G13280	2370	OG0000016
AL2G18840	2421	OG0000016
AL3G29642	1512	OG0000016
AL3G36780	1926	OG0000016
AL6G27650	2087	OG0000016
AL7G48260	1994	OG0000016
AL164U10020	531	OG0000022
AL2G18450	2120	OG0000022
AL3G12540	2056	OG0000022
AL3G12550	1945	OG0000022
AL5G16810	1915	OG0000022
AL5G40710	1915	OG0000022
AL5G41040	2007	OG0000022
AL5G41050	2195	OG0000022
AL5G41060	2385	OG0000022
AL5G41070	2414	OG0000022
AL5G41080	2219	OG0000022
AL5G41090	2312	OG0000022
AL5G41120	2249	OG0000022
AL5G41130	2125	OG0000022
AL7G42310	2025	OG0000022
AL8G16450	1096	OG0000022
AL1G21900	3445	OG0000024
AL1G61840	3537	OG0000024
AL1G65650	2880	OG0000024
AL1G65670	1829	OG0000024
AL293U10010	6811	OG0000024
AL2G16980	4126	OG0000024
AL2G17070	2429	OG0000024
AL2G17080	5244	OG0000024
AL2G17090	977	OG0000024
AL2G17100	5155	OG0000024
AL2G17250	2998	OG0000024
AL2G17390	3227	OG0000024
AL2G17410	1417	OG0000024
AL2G17420	2381	OG0000024
AL2G17430	3900	OG0000024
AL2G17650	6999	OG0000024
AL2G17810	3468	OG0000024
AL2G17820	1002	OG0000024
AL2G17830	4279	OG0000024
AL625U10020	1095	OG0000024
AL6G33840	3445	OG0000024
AL7G39090	3607	OG0000024
AL7G46780	4177	OG0000024
AL8G21620	1609	OG0000024
AL8G21640	5676	OG0000024
AL3G33760	1765	OG0000027
AL3G33770	2678	OG0000027
AL3G33780	4220	OG0000027
AL3G33790	2648	OG0000027
AL3G33800	3040	OG0000027
AL3G33810	3085	OG0000027
AL3G33830	3676	OG0000027
AL3G34900	1938	OG0000027
AL3G42780	1634	OG0000027
AL4G20490	1724	OG0000027
AL7G40280	1401	OG0000027
AL7G40290	1959	OG0000027
AL8G20150	1852	OG0000027
AL1G45230	1437	OG0000029
AL1G45270	1560	OG0000029
AL1G45280	1762	OG0000029
AL1G45290	1450	OG0000029
AL1G45300	1565	OG0000029
AL1G45350	1372	OG0000029
AL1G45470	1343	OG0000029
AL1G45480	1944	OG0000029
AL1G45490	1501	OG0000029
AL1G45510	1320	OG0000029
AL1G45520	1370	OG0000029
AL1G45530	3006	OG0000029
AL1G45540	1527	OG0000029
AL1G45550	1349	OG0000029
AL1G45560	967	OG0000029
AL1G45570	1457	OG0000029
AL1G45580	1402	OG0000029
AL1G45590	1482	OG0000029
AL1G45600	1456	OG0000029
AL1G45610	1592	OG0000029
AL1G46260	1556	OG0000029
AL1G46270	2793	OG0000029
AL1G46280	1622	OG0000029
AL2G25510	1011	OG0000029
AL3G45420	1235	OG0000029
AL4G14910	2408	OG0000029
AL4G14930	2110	OG0000029
AL4G35160	1747	OG0000029
AL5G23680	1604	OG0000029
AL5G38280	1524	OG0000029
AL5G39160	1642	OG0000029
AL5G39170	1610	OG0000029
AL6G43880	561	OG0000029
AL756U10010	3909	OG0000029
AL2G33070	2638	OG0000030
AL3G21810	2973	OG0000030
AL3G23890	2633	OG0000030
AL3G23900	2606	OG0000030
AL4G12560	5149	OG0000030
AL4G12610	3957	OG0000030
AL4G12620	4565	OG0000030
AL4G12630	5250	OG0000030
AL4G12640	3570	OG0000030
AL4G12650	4285	OG0000030
AL4G12670	5199	OG0000030
AL7G45050	1632	OG0000038
AL7G46370	1028	OG0000038
AL5G25540	1084	OG0000039
AL5G25550	1778	OG0000039
AL5G25590	1710	OG0000039
AL5G25610	1652	OG0000039
AL5G25630	1822	OG0000039
AL5G25640	1719	OG0000039
AL5G25650	1738	OG0000039
AL5G25660	1636	OG0000039
AL5G25670	1684	OG0000039
AL5G25690	1697	OG0000039
AL7G52904	1402	OG0000039
AL7G52952	1704	OG0000039
AL7G52980	1669	OG0000039
AL8G36070	1661	OG0000039
AL8G36080	1623	OG0000039
AL8G36090	1627	OG0000039
AL236U10020	1026	OG0000040
AL2G24370	4516	OG0000040
AL3G40910	1313	OG0000040
AL628U10010	1129	OG0000040
AL6G19150	1595	OG0000040
AL8G27430	1528	OG0000040
AL8G27440	1282	OG0000040
AL8G28780	1395	OG0000040
AL8G29750	1782	OG0000040
AL8G29760	1586	OG0000040
AL8G29780	1375	OG0000040
AL8G29920	1603	OG0000040
AL8G29950	1710	OG0000040
AL8G30820	1264	OG0000040
AL2G24580	2309	OG0000042
AL2G24590	1625	OG0000042
AL2G24600	1913	OG0000042
AL7G46770	570	OG0000042
AL7G46830	1925	OG0000042
AL7G46840	1160	OG0000042
AL7G46850	1649	OG0000042
AL7G46860	1794	OG0000042
AL7G46870	5488	OG0000042
AL7G46880	234	OG0000042
AL7G47450	996	OG0000042
