Dsc	Family.ID	Aalpina	Ahalleri	Alyrata	Athaliana	Cpapaya	sig_fam.pvalue	Athal_fam
AT2G28700	OG0000007	1	0	1	3	130	0	MADS Transcription Factor Family
AT1G55030	OG0000009	20	27	25	30	0	0	NA
AT1G31370	OG0000012	22	23	26	26	1	0	NA
AT1G29005	OG0000015	3	49	18	20	0	0	NA
AT1G06580	OG0000016	11	19	31	24	2	0	NA
AT1G58310	OG0000022	21	15	16	16	0	0	NA
AT1G10920	OG0000024	0	20	25	16	1	0	NA
AALP_AAs41002U000100	OG0000026	1	52	1	0	0	0	NA
AT1G28430	OG0000027	11	6	13	23	0	0	Cytochrome P450
AT1G30920	OG0000029	6	2	34	10	0	0	NA
AT1G33540	OG0000030	10	12	11	18	1	0.001	NA
AT2G22440	OG0000038	1	45	2	1	0	0	NA
AT3G46650	OG0000039	7	14	16	12	0	0.001	Glycosyltransferase Gene Families
AT3G43170	OG0000040	1	19	14	15	0	0	NA
AT1G66610	OG0000042	8	10	19	10	1	0	NA
ATMG00850	OG0000044	43	1	0	1	2	0	NA
AT5G27606	OG0000045	0	41	5	1	0	0	NA
AT1G56380	OG0000046	12	5	18	11	0	0	NA
AT3G47090	OG0000047	8	14	15	6	3	0.002	Receptor kinase-like protein family
AT3G46840	OG0000049	6	9	19	10	0	0	Subtilisin-like Serine Proteases
AT1G56510	OG0000054	4	13	11	15	0	0	NA
AT1G37020	OG0000060	1	14	16	9	0	0	NA
AT1G31540	OG0000065	4	13	11	11	0	0.004	NA
AT2G24205	OG0000074	1	1	0	35	0	0	NA
AT1G36925	OG0000075	0	35	1	1	0	0	NA
AT1G49100	OG0000077	3	10	7	16	0	0	Receptor kinase-like protein family
AT1G43680	OG0000083	0	13	3	20	0	0	NA
AT5G53670	OG0000086	1	1	3	1	29	0	NA
AT1G40087	OG0000087	2	18	8	4	3	0	NA
AT1G48800	OG0000090	4	6	9	15	0	0	NA
AT3G21940	OG0000093	3	2	3	25	0	0	NA
AT1G18050	OG0000095	2	27	2	2	0	0	NA
AT1G29180	OG0000096	1	7	3	22	0	0	NA
AT1G31960	OG0000100	1	28	1	2	0	0	NA
AALP_AA4G141700	OG0000101	1	30	1	0	0	0	NA
AT1G03660	OG0000103	1	8	7	14	2	0	NA
AT1G55060	OG0000106	2	4	13	8	4	0	NA
AT1G27540	OG0000107	3	5	15	8	0	0	NA
AT1G04625	OG0000118	2	6	6	15	1	0	NA
AALP_AA3G297300	OG0000121	2	25	3	0	0	0	NA
AT2G29150	OG0000126	2	6	11	8	2	0.005	Miscellaneous Membrane Protein Families
AALP_AA6G125900	OG0000137	1	26	1	0	1	0	NA
AT4G13810	OG0000141	18	2	2	4	2	0	NA
AT1G29420	OG0000142	10	5	4	9	0	0.004	NA
AT2G30385	OG0000147	2	7	10	8	0	0.005	NA
AT1G46840	OG0000150	6	3	10	8	0	0	NA
AALP_AAs46504U000200	OG0000154	1	25	1	0	0	0	NA
AALP_AA1G178300	OG0000157	3	21	2	0	0	0	NA
AT3G61170	OG0000158	2	1	1	1	21	0.002	NA
AT1G69730	OG0000159	12	4	8	2	0	0	Receptor kinase-like protein family
AALP_AA3G295200	OG0000163	14	10	0	0	2	0	NA
AT2G02580	OG0000164	7	4	8	7	0	0.005	Cytochrome P450
AT1G64840	OG0000166	1	4	18	2	1	0	NA
AT1G62040	OG0000167	1	10	7	5	3	0.009	NA
ATMG00710	OG0000168	1	23	0	1	1	0	NA
AT2G11015	OG0000170	0	1	21	4	0	0	NA
AT1G47300	OG0000182	1	3	16	5	0	0	NA
AT2G25440	OG0000184	3	1	11	10	0	0	Receptor kinase-like protein family
