id	length
AT2G28700	1625
AT5G27810	788
AT5G48670	1196
AT1G55030	1735
AT2G04230	2306
AT2G26860	1998
AT3G26920	2214
AT3G26922	2007
AT3G26930	1839
AT3G49020	1582
AT3G49030	1861
AT3G49040	1358
AT3G50710	1783
AT3G51530	1950
AT3G52680	2095
AT3G52690	1076
AT3G54910	2842
AT3G55670	1491
AT3G55900	488
AT4G00160	2070
AT4G09920	1773
AT4G10400	2049
AT4G10410	1016
AT4G10420	1399
AT4G13965	1439
AT4G26340	1461
AT5G38565	1988
AT5G38570	1323
AT5G38580	679
AT5G38590	2019
AT5G56690	1377
AT5G56700	1838
AT5G60610	2025
AT1G31370	1066
AT1G31380	649
AT1G31390	1211
AT1G31400	1337
AT2G01790	1159
AT2G05400	1685
AT2G05410	1636
AT2G05420	1549
AT3G27040	1623
AT3G44790	1839
AT3G44800	1502
AT3G44805	1043
AT3G58200	1700
AT3G58210	1626
AT3G58220	2110
AT3G58250	1399
AT3G58260	1616
AT3G58270	2097
AT3G58290	1290
AT3G58340	1331
AT3G58350	1554
AT3G58360	1362
AT3G58370	1343
AT3G58400	1189
AT3G58410	1359
AT3G58420	3103
AT1G29005	838
AT1G33710	633
AT1G34440	2232
AT1G40390	2099
AT1G43730	1062
AT1G43760	2186
AT1G44941	183
AT1G50080	276
AT1G60720	1082
AT2G02520	1375
AT2G19146	567
AT3G25720	1172
AT3G25727	824
AT3G27590	1532
AT4G04650	1225
AT4G05095	417
AT4G10613	1364
AT5G11565	258
AT5G16486	630
AT5G28615	531
AT1G06580	2278
AT1G12300	3238
AT1G12620	2627
AT1G12700	2845
AT1G12775	2088
AT1G62590	2319
AT1G62670	2567
AT1G62680	2971
AT1G62720	1619
AT1G62910	2194
AT1G62914	1848
AT1G62930	2153
AT1G63070	1844
AT1G63080	3265
AT1G63130	2638
AT1G63150	2421
AT1G63330	2177
AT1G63400	2307
AT1G64583	1923
AT3G16710	1683
AT3G22470	2037
AT4G26800	2280
AT5G16640	2097
AT5G41170	2099
AT1G58310	1696
AT3G03030	2030
AT3G03040	2251
AT3G49150	1573
AT3G58900	2061
AT3G59160	1668
AT3G59170	1633
AT3G59180	1741
AT3G59190	2383
AT3G59200	2301
AT3G59210	2469
AT3G59230	1840
AT3G59240	1683
AT3G59250	1715
AT4G14096	2490
AT4G14103	2147
AT1G10920	3605
AT1G53350	3292
AT1G58390	3806
AT1G58400	3997
AT1G58410	3798
AT1G58602	19695
AT1G58807	4506
AT1G58848	5363
AT1G59124	4506
AT1G59218	5074
AT1G59620	3454
AT1G59780	6413
AT4G16095	691
AT5G35450	4677
AT5G43470	4902
AT5G48620	5374
AT1G28430	1996
AT2G05180	1405
AT2G14100	1889
AT2G27000	1854
AT2G27010	1687
AT3G20080	5826
AT3G20090	2856
AT3G20100	2076
AT3G20110	2037
AT3G20120	2690
AT3G20130	2109
AT3G20140	1753
AT3G20935	1835
AT3G20940	2064
AT3G20950	2070
AT3G20960	1950
AT3G32047	1721
AT4G15330	1978
AT4G15350	1946
AT4G15360	1781
AT4G15380	1931
AT5G42580	1860
AT5G47990	1992
AT1G30920	1361
AT1G30930	1131
AT1G31080	1068
AT1G31090	1243
AT1G67130	1364
AT3G56890	918
AT3G57580	1889
AT3G57590	1584
AT5G38810	1057
AT5G42430	1188
AT1G33540	2603
AT1G73270	3497
AT1G73280	2673
AT1G73290	2607
AT1G73300	3154
AT1G73310	2737
AT2G22920	3970
AT2G22970	3813
AT2G22980	4552
AT2G22990	4249
AT2G23000	4243
AT2G23010	3920
AT3G10450	3070
AT3G12203	3472
AT3G12220	2813
AT3G12230	2516
AT3G12240	2739
AT5G36180	3201
AT2G22440	1151
AT3G46650	2369
AT3G46660	2511
AT3G46670	1809
AT3G46680	1426
AT3G46690	1921
AT3G46700	1908
AT3G46720	1923
AT5G37950	2203
AT5G38010	2118
AT5G38040	1908
AT5G59580	1959
AT5G59590	1824
AT3G43170	607
AT3G43970	759
AT5G52930	1563
AT5G52940	1500
AT5G53230	1161
AT5G54320	1110
AT5G54330	1071
AT5G54420	276
AT5G54450	1107
AT5G54550	1202
AT5G54560	1583
AT5G55270	1372
AT5G55870	675
AT5G55880	1101
AT5G55890	1101
AT1G66610	1735
AT1G66620	1645
AT1G66630	1429
AT1G66650	1905
AT5G37870	1088
AT5G37890	2278
AT5G37900	900
AT5G37910	1109
AT5G37930	1666
AT5G62800	1334
AT5G27606	1403
AT1G56380	1375
AT1G61960	1811
AT1G61970	3282
AT1G61980	2861
AT1G61990	1964
AT1G62085	2646
AT1G62110	2009
AT1G62120	1965
AT1G62490	1662
AT3G46950	1595
AT5G23930	1753
AT3G47090	3528
AT3G47110	3851
AT3G47570	3535
AT3G47580	3448
AT5G20480	4393
AT5G39390	1755
AT3G46840	3103
AT3G46850	3125
AT5G58820	3003
AT5G58830	2910
AT5G58840	3436
AT5G59090	3821
AT5G59100	3257
AT5G59110	519
AT5G59120	3412
AT5G59130	3870
AT1G56510	6068
AT1G56520	4469
AT1G56540	3911
AT1G63730	3363
AT1G63740	4084
AT1G63750	4614
AT1G63860	4651
AT1G63870	4814
AT1G63880	3991
AT1G64070	3523
AT2G16870	3827
AT4G14370	3902
AT5G35510	1649
AT5G38850	3727
AT5G58120	3812
AT1G37020	3008
AT1G42525	1859
AT2G10260	2714
AT3G30305	1396
AT3G31910	2515
AT4G08430	3041
AT5G28235	2065
AT5G28810	3291
AT5G45570	4077
AT1G31540	5422
AT5G22690	4185
AT5G40060	4656
AT5G46260	4805
AT5G46270	5119
AT5G46450	4454
AT5G46470	7189
AT5G46490	3252
AT5G46500	2598
AT5G46510	6782
AT5G46520	4879
AT2G24205	415
AT3G42565	360
AT4G09545	373
AT5G36310	348
AT5G36320	357
AT5G36330	1112
AT5G36340	348
AT5G36350	485
AT5G36360	357
AT5G36370	357
AT5G36380	357
AT5G36390	357
AT5G36400	357
AT5G36410	357
AT5G36420	357
AT5G36430	357
AT5G36440	357
AT5G36450	604
AT5G36460	357
AT5G36470	604
AT5G36480	357
AT5G36490	357
AT5G36500	357
AT5G36520	357
AT5G36540	357
AT5G36550	357
AT5G36657	300
AT5G36658	357
AT5G36659	325
AT5G36661	357
AT5G36662	357
AT5G36738	357
AT5G36739	357
AT5G42895	402
AT5G44495	409
AT1G36925	854
