family_id	final_status	n	total_n	prop
OG0000007	F	147	408	0.3602941176470588
OG0000007	P	4	408	0.00980392156862745
OG0000007	U	257	408	0.6299019607843137
OG0000009	A	3	4177	0.0007182188173330142
OG0000009	F	178	4177	0.04261431649509217
OG0000009	P	2569	4177	0.6150347139095045
OG0000009	U	1427	4177	0.34163275077807037
OG0000012	A	68	3985	0.017063989962358847
OG0000012	F	61	3985	0.015307402760351318
OG0000012	P	3447	3985	0.8649937264742785
OG0000012	U	409	3985	0.1026348808030113
OG0000015	A	1073	2278	0.47102721685689203
OG0000015	F	29	2278	0.012730465320456541
OG0000015	P	626	2278	0.27480245829675154
OG0000015	U	550	2278	0.2414398595258999
OG0000016	F	910	4337	0.20982245792022136
OG0000016	P	1111	4337	0.2561678579663362
OG0000016	U	2316	4337	0.5340096841134425
OG0000022	F	122	2159	0.05650764242704956
OG0000022	P	665	2159	0.3080129689671144
OG0000022	U	1372	2159	0.6354793886058361
OG0000024	A	276	2133	0.12939521800281295
OG0000024	F	74	2133	0.034692920768870136
OG0000024	P	1423	2133	0.6671354899203
OG0000024	U	360	2133	0.16877637130801687
OG0000027	A	30	3006	0.00998003992015968
OG0000027	F	225	3006	0.0748502994011976
OG0000027	P	865	3006	0.28775781769793746
OG0000027	U	1886	3006	0.6274118429807053
OG0000029	A	1	1300	0.0007692307692307692
OG0000029	F	36	1300	0.027692307692307693
OG0000029	P	529	1300	0.40692307692307694
OG0000029	U	734	1300	0.5646153846153846
OG0000030	A	96	2905	0.033046471600688465
OG0000030	F	43	2905	0.014802065404475043
OG0000030	P	1745	2905	0.6006884681583476
OG0000030	U	1021	2905	0.3514629948364888
OG0000038	F	11	136	0.08088235294117647
OG0000038	P	49	136	0.3602941176470588
OG0000038	U	76	136	0.5588235294117647
OG0000039	F	10	1512	0.006613756613756613
OG0000039	P	1187	1512	0.78505291005291
OG0000039	U	315	1512	0.20833333333333334
OG0000040	A	462	2066	0.22362052274927396
OG0000040	F	41	2066	0.01984511132623427
OG0000040	P	559	2066	0.27057115198451115
OG0000040	U	1004	2066	0.48596321393998065
OG0000042	F	365	1277	0.28582615505090053
OG0000042	P	504	1277	0.3946750195771339
OG0000042	U	408	1277	0.31949882537196556
OG0000045	A	112	112	1.0
OG0000046	F	34	1495	0.02274247491638796
OG0000046	P	143	1495	0.09565217391304348
OG0000046	U	1318	1495	0.8816053511705686
OG0000047	F	39	661	0.059001512859304085
OG0000047	P	339	661	0.5128593040847201
OG0000047	U	283	661	0.4281391830559758
OG0000049	F	11	1356	0.008112094395280236
OG0000049	P	646	1356	0.47640117994100295
OG0000049	U	699	1356	0.5154867256637168
