family_id	n_total_copies	n_genes	n_assemblies	n_P	n_F	n_U	n_A	prop_P	prop_F	prop_U	prop_A	assemblies_with_P	assemblies_with_F	assemblies_with_U	assemblies_with_A
OG0000007	408	3	136	4	147	257	0	0.00980392156862745	0.3602941176470588	0.6299019607843137	0.0	4	134	136	0
OG0000009	4177	30	136	2569	178	1427	3	0.6150347139095045	0.04261431649509217	0.34163275077807037	0.0007182188173330142	136	127	136	3
OG0000012	3985	26	136	3447	61	409	68	0.8649937264742785	0.015307402760351318	0.1026348808030113	0.017063989962358847	136	61	136	63
OG0000015	2278	20	136	626	29	550	1073	0.27480245829675154	0.012730465320456541	0.2414398595258999	0.47102721685689203	136	29	136	136
OG0000016	4337	24	136	1111	910	2316	0	0.2561678579663362	0.20982245792022136	0.5340096841134425	0.0	136	136	136	0
OG0000022	2159	16	136	665	122	1372	0	0.3080129689671144	0.05650764242704956	0.6354793886058361	0.0	136	78	136	0
OG0000024	2133	16	136	1423	74	360	276	0.6671354899203	0.034692920768870136	0.16877637130801687	0.12939521800281295	136	59	135	135
OG0000027	3006	23	136	865	225	1886	30	0.28775781769793746	0.0748502994011976	0.6274118429807053	0.00998003992015968	136	109	136	30
OG0000029	1300	10	136	529	36	734	1	0.40692307692307694	0.027692307692307693	0.5646153846153846	0.0007692307692307692	136	34	136	1
OG0000030	2905	18	136	1745	43	1021	96	0.6006884681583476	0.014802065404475043	0.3514629948364888	0.033046471600688465	136	39	136	96
OG0000038	136	1	136	49	11	76	0	0.3602941176470588	0.08088235294117647	0.5588235294117647	0.0	49	11	76	0
OG0000039	1512	12	136	1187	10	315	0	0.78505291005291	0.006613756613756613	0.20833333333333334	0.0	136	10	136	0
OG0000040	2066	15	136	559	41	1004	462	0.27057115198451115	0.01984511132623427	0.48596321393998065	0.22362052274927396	136	40	136	136
OG0000042	1277	10	136	504	365	408	0	0.3946750195771339	0.28582615505090053	0.31949882537196556	0.0	136	136	136	0
OG0000045	112	1	112	0	0	0	112	0.0	0.0	0.0	1.0	0	0	0	112
OG0000046	1495	11	136	143	34	1318	0	0.09565217391304348	0.02274247491638796	0.8816053511705686	0.0	99	31	136	0
OG0000047	661	6	136	339	39	283	0	0.5128593040847201	0.059001512859304085	0.4281391830559758	0.0	136	38	136	0
OG0000049	1356	10	136	646	11	699	0	0.47640117994100295	0.008112094395280236	0.5154867256637168	0.0	136	10	136	0
OG0000054	1815	15	136	925	3	750	137	0.509641873278237	0.001652892561983471	0.4132231404958678	0.07548209366391184	136	3	136	135
OG0000060	1828	9	136	854	3	159	812	0.4671772428884026	0.0016411378555798686	0.08698030634573305	0.4442013129102845	136	3	112	136
OG0000065	1432	11	136	838	26	568	0	0.585195530726257	0.018156424581005588	0.39664804469273746	0.0	136	25	136	0
