family_id	gene	final_status	n	total_n	prop
OG0000007	AT2G28700	F	134	136	0.9852941176470589
OG0000007	AT2G28700	P	2	136	0.014705882352941176
OG0000007	AT5G27810	F	6	136	0.04411764705882353
OG0000007	AT5G27810	P	1	136	0.007352941176470588
OG0000007	AT5G27810	U	129	136	0.9485294117647058
OG0000007	AT5G48670	F	7	136	0.051470588235294115
OG0000007	AT5G48670	P	1	136	0.007352941176470588
OG0000007	AT5G48670	U	128	136	0.9411764705882353
OG0000009	AT1G55030	F	116	135	0.8592592592592593
OG0000009	AT1G55030	P	19	135	0.14074074074074075
OG0000009	AT2G04230	P	136	136	1.0
OG0000009	AT2G26860	P	136	136	1.0
OG0000009	AT3G26920	F	3	136	0.022058823529411766
OG0000009	AT3G26920	P	13	136	0.09558823529411764
OG0000009	AT3G26920	U	120	136	0.8823529411764706
OG0000009	AT3G26922	P	88	136	0.6470588235294118
OG0000009	AT3G26922	U	48	136	0.35294117647058826
OG0000009	AT3G26930	F	22	136	0.16176470588235295
OG0000009	AT3G26930	U	114	136	0.8382352941176471
OG0000009	AT3G49020	P	17	136	0.125
OG0000009	AT3G49020	U	119	136	0.875
OG0000009	AT3G49030	P	34	136	0.25
OG0000009	AT3G49030	U	102	136	0.75
OG0000009	AT3G49040	P	51	136	0.375
OG0000009	AT3G49040	U	85	136	0.625
OG0000009	AT3G50710	P	136	136	1.0
OG0000009	AT3G51530	P	136	136	1.0
OG0000009	AT3G52680	A	3	135	0.022222222222222223
OG0000009	AT3G52680	P	15	135	0.1111111111111111
OG0000009	AT3G52680	U	117	135	0.8666666666666667
OG0000009	AT3G52690	P	3	136	0.022058823529411766
OG0000009	AT3G52690	U	133	136	0.9779411764705882
OG0000009	AT3G54910	P	136	136	1.0
OG0000009	AT3G55670	P	259	259	1.0
OG0000009	AT3G55900	P	136	136	1.0
OG0000009	AT4G00160	P	3	136	0.022058823529411766
OG0000009	AT4G00160	U	133	136	0.9779411764705882
OG0000009	AT4G09920	F	6	135	0.044444444444444446
OG0000009	AT4G09920	P	93	135	0.6888888888888889
OG0000009	AT4G09920	U	36	135	0.26666666666666666
OG0000009	AT4G10400	P	127	127	1.0
OG0000009	AT4G10410	P	131	131	1.0
OG0000009	AT4G10420	P	136	136	1.0
OG0000009	AT4G13965	P	136	136	1.0
OG0000009	AT4G26340	P	9	136	0.0661764705882353
OG0000009	AT4G26340	U	127	136	0.9338235294117647
OG0000009	AT5G38565	P	134	134	1.0
OG0000009	AT5G38570	P	134	134	1.0
OG0000009	AT5G38580	P	136	136	1.0
OG0000009	AT5G38590	P	136	136	1.0
OG0000009	AT5G56690	F	31	131	0.2366412213740458
OG0000009	AT5G56690	P	38	131	0.2900763358778626
OG0000009	AT5G56690	U	62	131	0.4732824427480916
OG0000009	AT5G56700	P	40	136	0.29411764705882354
OG0000009	AT5G56700	U	96	136	0.7058823529411765
OG0000009	AT5G60610	P	1	136	0.007352941176470588
OG0000009	AT5G60610	U	135	136	0.9926470588235294
OG0000012	AT1G31370	A	34	34	1.0
OG0000012	AT1G31380	P	53	53	1.0
OG0000012	AT1G31390	P	136	136	1.0
OG0000012	AT1G31400	P	259	259	1.0
OG0000012	AT2G01790	P	134	134	1.0
OG0000012	AT2G05400	P	14	132	0.10606060606060606
OG0000012	AT2G05400	U	118	132	0.8939393939393939
OG0000012	AT2G05410	F	1	281	0.0035587188612099642
OG0000012	AT2G05410	P	163	281	0.5800711743772242
OG0000012	AT2G05410	U	117	281	0.41637010676156583
OG0000012	AT2G05420	F	8	132	0.06060606060606061
OG0000012	AT2G05420	P	105	132	0.7954545454545454
OG0000012	AT2G05420	U	19	132	0.14393939393939395
OG0000012	AT3G27040	P	136	136	1.0
OG0000012	AT3G44790	F	52	124	0.41935483870967744
OG0000012	AT3G44790	P	20	124	0.16129032258064516
OG0000012	AT3G44790	U	52	124	0.41935483870967744
OG0000012	AT3G44800	P	26	129	0.20155038759689922
OG0000012	AT3G44800	U	103	129	0.7984496124031008
OG0000012	AT3G44805	P	177	177	1.0
OG0000012	AT3G58200	P	136	136	1.0
OG0000012	AT3G58210	P	136	136	1.0
OG0000012	AT3G58220	P	352	352	1.0
OG0000012	AT3G58250	P	136	136	1.0
OG0000012	AT3G58260	P	136	136	1.0
OG0000012	AT3G58270	P	136	136	1.0
OG0000012	AT3G58290	P	136	136	1.0
OG0000012	AT3G58340	P	139	139	1.0
OG0000012	AT3G58350	P	136	136	1.0
OG0000012	AT3G58360	P	136	136	1.0
OG0000012	AT3G58370	P	276	276	1.0
OG0000012	AT3G58400	P	136	136	1.0
OG0000012	AT3G58410	P	136	136	1.0
OG0000012	AT3G58420	A	34	131	0.2595419847328244
OG0000012	AT3G58420	P	97	131	0.7404580152671756
OG0000015	AT1G29005	A	124	124	1.0
OG0000015	AT1G33710	P	1	36	0.027777777777777776
OG0000015	AT1G33710	U	35	36	0.9722222222222222
OG0000015	AT1G34440	A	136	136	1.0
OG0000015	AT1G40390	A	64	134	0.47761194029850745
OG0000015	AT1G40390	P	70	134	0.5223880597014925
OG0000015	AT1G43730	F	8	133	0.06015037593984962
OG0000015	AT1G43730	P	19	133	0.14285714285714285
OG0000015	AT1G43730	U	106	133	0.7969924812030075
OG0000015	AT1G43760	F	5	134	0.03731343283582089
OG0000015	AT1G43760	P	62	134	0.4626865671641791
OG0000015	AT1G43760	U	67	134	0.5
OG0000015	AT1G44941	P	123	129	0.9534883720930233
OG0000015	AT1G44941	U	6	129	0.046511627906976744
OG0000015	AT1G50080	P	3	130	0.023076923076923078
OG0000015	AT1G50080	U	127	130	0.9769230769230769
OG0000015	AT1G60720	P	62	88	0.7045454545454546
OG0000015	AT1G60720	U	26	88	0.29545454545454547
OG0000015	AT2G02520	P	136	136	1.0
OG0000015	AT2G19146	A	136	136	1.0
OG0000015	AT3G25720	A	119	119	1.0
OG0000015	AT3G25727	A	136	136	1.0
OG0000015	AT3G27590	A	136	136	1.0
OG0000015	AT4G04650	A	94	94	1.0
OG0000015	AT4G05095	U	105	105	1.0
OG0000015	AT4G10613	F	1	44	0.022727272727272728
OG0000015	AT4G10613	P	12	44	0.2727272727272727
OG0000015	AT4G10613	U	31	44	0.7045454545454546
OG0000015	AT5G11565	P	132	132	1.0
OG0000015	AT5G16486	F	15	68	0.22058823529411764
OG0000015	AT5G16486	P	6	68	0.08823529411764706
OG0000015	AT5G16486	U	47	68	0.6911764705882353
OG0000015	AT5G28615	A	128	128	1.0
OG0000016	AT1G06580	U	136	136	1.0
OG0000016	AT1G12300	F	8	136	0.058823529411764705
OG0000016	AT1G12300	P	2	136	0.014705882352941176
OG0000016	AT1G12300	U	126	136	0.9264705882352942
OG0000016	AT1G12620	F	115	272	0.4227941176470588
OG0000016	AT1G12620	P	39	272	0.14338235294117646
OG0000016	AT1G12620	U	118	272	0.4338235294117647
OG0000016	AT1G12700	F	57	135	0.4222222222222222
OG0000016	AT1G12700	P	16	135	0.11851851851851852
OG0000016	AT1G12700	U	62	135	0.45925925925925926
OG0000016	AT1G12775	F	24	154	0.15584415584415584
OG0000016	AT1G12775	P	33	154	0.21428571428571427
OG0000016	AT1G12775	U	97	154	0.6298701298701299
OG0000016	AT1G62590	F	14	136	0.10294117647058823
OG0000016	AT1G62590	P	3	136	0.022058823529411766
OG0000016	AT1G62590	U	119	136	0.875
OG0000016	AT1G62670	F	19	159	0.11949685534591195
OG0000016	AT1G62670	P	38	159	0.2389937106918239
OG0000016	AT1G62670	U	102	159	0.6415094339622641
OG0000016	AT1G62680	P	1	136	0.007352941176470588
OG0000016	AT1G62680	U	135	136	0.9926470588235294
OG0000016	AT1G62720	F	21	136	0.15441176470588236
OG0000016	AT1G62720	U	115	136	0.8455882352941176
OG0000016	AT1G62910	F	45	218	0.20642201834862386
OG0000016	AT1G62910	P	163	218	0.7477064220183486
OG0000016	AT1G62910	U	10	218	0.045871559633027525
OG0000016	AT1G62914	F	5	282	0.01773049645390071
OG0000016	AT1G62914	P	277	282	0.9822695035460993
OG0000016	AT1G62930	F	138	367	0.3760217983651226
OG0000016	AT1G62930	P	128	367	0.34877384196185285
OG0000016	AT1G62930	U	101	367	0.27520435967302453
OG0000016	AT1G63070	F	4	135	0.02962962962962963
OG0000016	AT1G63070	P	101	135	0.7481481481481481
OG0000016	AT1G63070	U	30	135	0.2222222222222222
OG0000016	AT1G63080	F	19	142	0.13380281690140844
OG0000016	AT1G63080	P	31	142	0.21830985915492956
OG0000016	AT1G63080	U	92	142	0.647887323943662
OG0000016	AT1G63130	F	95	276	0.3442028985507246
OG0000016	AT1G63130	P	59	276	0.213768115942029
OG0000016	AT1G63130	U	122	276	0.4420289855072464
OG0000016	AT1G63150	F	34	117	0.2905982905982906
OG0000016	AT1G63150	P	8	117	0.06837606837606838
OG0000016	AT1G63150	U	75	117	0.6410256410256411
OG0000016	AT1G63330	F	22	251	0.08764940239043825
OG0000016	AT1G63330	P	62	251	0.24701195219123506
OG0000016	AT1G63330	U	167	251	0.6653386454183267
OG0000016	AT1G63400	F	181	333	0.5435435435435435
OG0000016	AT1G63400	P	135	333	0.40540540540540543
OG0000016	AT1G63400	U	17	333	0.05105105105105105
OG0000016	AT1G64583	F	6	136	0.04411764705882353
OG0000016	AT1G64583	P	1	136	0.007352941176470588
OG0000016	AT1G64583	U	129	136	0.9485294117647058
