qseqid	sseqid	pident	length	mismatch	gapopen	qstart	qend	sstart	send	evalue	bitscore	stitle
AT3G59070	CP087128.1	100	850	0	0	1	850	24513697	24514546	0	1570	GCA_020911765.2_ASM2091176v2_genomic
AT5G48750	CP087130.2	100	768	0	0	1	768	22936806	22937573	0	1419	GCA_020911765.2_ASM2091176v2_genomic
AT5G48750	CP087128.1	78.272	764	147	15	12	761	24515254	24516012	2.24e-132	473	GCA_020911765.2_ASM2091176v2_genomic
AT3G59070	CP086746.1	99.882	850	1	0	1	850	22194166	22195015	0	1565	GCA_024498495.1_ASM2449849v1_genomic
AT5G48750	CP086748.1	95.905	757	31	0	12	768	20954656	20955412	0	1227	GCA_024498495.1_ASM2449849v1_genomic
AT5G48750	CP086746.1	78.403	764	146	15	12	761	22195723	22196481	4.41e-134	479	GCA_024498495.1_ASM2449849v1_genomic
AT3G59070	CM046290.1	99.765	850	2	0	1	850	21436004	21436853	0	1559	GCA_025388435.1_AtA1-141.20181003_genomic
AT5G48750	CM046292.1	95.905	757	31	0	12	768	19390489	19391245	0	1227	GCA_025388435.1_AtA1-141.20181003_genomic
AT5G48750	CM046290.1	78.403	764	146	15	12	761	21437561	21438319	4.31e-134	479	GCA_025388435.1_AtA1-141.20181003_genomic
AT3G59070	CM072659.1	99.765	850	2	0	1	850	23990319	23991168	0	1559	GCA_036926925.1_ASM3692692v1_genomic
AT5G48750	CM072661.1	95.905	757	31	0	12	768	23890537	23891293	0	1227	GCA_036926925.1_ASM3692692v1_genomic
AT5G48750	CM072659.1	78.403	764	146	15	12	761	23991876	23992634	4.74e-134	479	GCA_036926925.1_ASM3692692v1_genomic
AT3G59070	CM072639.1	99.294	850	2	1	1	850	23866512	23867357	0	1533	GCA_036926965.1_ASM3692696v1_genomic
AT5G48750	CM072641.1	100	768	0	0	1	768	21334794	21335561	0	1419	GCA_036926965.1_ASM3692696v1_genomic
AT5G48750	CM072639.1	78.403	764	146	15	12	761	23868065	23868823	4.61e-134	479	GCA_036926965.1_ASM3692696v1_genomic
AT3G59070	CM072654.1	99.294	850	2	1	1	850	23466220	23467065	0	1533	GCA_036926975.1_ASM3692697v1_genomic
AT5G48750	CM072656.1	95.905	757	31	0	12	768	22505670	22506426	0	1227	GCA_036926975.1_ASM3692697v1_genomic
AT5G48750	CM072654.1	78.403	764	146	15	12	761	23467773	23468531	4.66e-134	479	GCA_036926975.1_ASM3692697v1_genomic
AT3G59070	CM072644.1	99.647	850	3	0	1	850	23758735	23759584	0	1554	GCA_036927025.1_ASM3692702v1_genomic
AT5G48750	CM072646.1	95.905	757	31	0	12	768	25737744	25738500	0	1227	GCA_036927025.1_ASM3692702v1_genomic
AT3G59070	CM072649.1	98.941	850	9	0	1	850	23127851	23128700	0	1520	GCA_036927045.1_ASM3692704v1_genomic
AT5G48750	CM072651.1	95.905	757	31	0	12	768	23512600	23513356	0	1227	GCA_036927045.1_ASM3692704v1_genomic
AT5G48750	CM072649.1	77.559	762	156	11	12	761	23129404	23130162	4.78e-124	446	GCA_036927045.1_ASM3692704v1_genomic
AT3G59070	CM072629.1	98.48	658	10	0	1	658	22678914	22679571	0	1160	GCA_036927085.1_ASM3692708v1_genomic
AT3G59070	CM072629.1	96.774	186	6	0	665	850	22679613	22679798	2.03e-83	311	GCA_036927085.1_ASM3692708v1_genomic
AT5G48750	CM072631.1	95.905	757	31	0	12	768	23218565	23219321	0	1227	GCA_036927085.1_ASM3692708v1_genomic
AT5G48750	CM072629.1	77.69	762	155	11	12	761	22680508	22681266	1.03e-125	451	GCA_036927085.1_ASM3692708v1_genomic
AT3G59070	CM072624.1	96.809	658	18	2	1	658	24267653	24268307	0	1096	GCA_036927245.1_ASM3692724v1_genomic
AT3G59070	CM072624.1	96.774	186	6	0	665	850	24268349	24268534	2e-83	311	GCA_036927245.1_ASM3692724v1_genomic
AT5G48750	CM072626.1	100	768	0	0	1	768	22847129	22847896	0	1419	GCA_036927245.1_ASM3692724v1_genomic
