qseqid	sseqid	pident	length	mismatch	gapopen	qstart	qend	sstart	send	evalue	bitscore	stitle
AT5G28160	CP087130.2	100	1088	0	0	1	1088	10149344	10150431	0	2010	GCA_020911765.2_ASM2091176v2_genomic
AT5G28160	CP087130.2	89.524	1050	98	5	26	1073	10174307	10175346	0	1319	GCA_020911765.2_ASM2091176v2_genomic
AT5G28160	CP087130.2	85.897	78	10	1	1009	1085	10150535	10150612	2.27e-14	82.4	GCA_020911765.2_ASM2091176v2_genomic
AT5G28160	CP087129.2	72.693	1062	257	25	20	1061	21957995	21959043	3.41e-87	324	GCA_020911765.2_ASM2091176v2_genomic
AT5G28180	CP087130.2	100	1161	0	0	1	1161	10174201	10175361	0	2145	GCA_020911765.2_ASM2091176v2_genomic
AT5G28180	CP087130.2	89.524	1050	98	5	107	1146	10149369	10150416	0	1319	GCA_020911765.2_ASM2091176v2_genomic
AT5G28180	CP087129.2	72.212	1058	255	27	107	1137	21958001	21959046	1.33e-76	289	GCA_020911765.2_ASM2091176v2_genomic
AT5G28160	CP086748.1	99.908	1088	1	0	1	1088	10132758	10133845	0	2004	GCA_024498495.1_ASM2449849v1_genomic
AT5G28160	CP086748.1	89.619	1050	97	5	26	1073	10146345	10147384	0	1325	GCA_024498495.1_ASM2449849v1_genomic
AT5G28160	CP086748.1	85.897	78	10	1	1009	1085	10133949	10134026	2.08e-14	82.4	GCA_024498495.1_ASM2449849v1_genomic
AT5G28160	CP086747.1	72.787	1062	256	25	20	1061	19846254	19847302	6.72e-89	329	GCA_024498495.1_ASM2449849v1_genomic
AT5G28180	CP086748.1	98.708	1161	15	0	1	1161	10146239	10147399	0	2061	GCA_024498495.1_ASM2449849v1_genomic
AT5G28180	CP086748.1	89.619	1050	97	5	107	1146	10132783	10133830	0	1325	GCA_024498495.1_ASM2449849v1_genomic
AT5G28180	CP086747.1	72.306	1058	254	27	107	1137	19846260	19847305	2.62e-78	294	GCA_024498495.1_ASM2449849v1_genomic
AT5G28160	CM046292.1	98.07	1088	1	1	1	1088	10137803	10138870	0	1875	GCA_025388435.1_AtA1-141.20181003_genomic
AT5G28160	CM046292.1	89.524	1050	97	8	26	1073	10151346	10152384	0	1317	GCA_025388435.1_AtA1-141.20181003_genomic
AT5G28160	CM046292.1	85.897	78	10	1	1009	1085	10138974	10139051	2.03e-14	82.4	GCA_025388435.1_AtA1-141.20181003_genomic
AT5G28160	CM046291.1	72.599	1062	258	25	20	1061	18589157	18590205	1.42e-85	318	GCA_025388435.1_AtA1-141.20181003_genomic
AT5G28180	CM046292.1	99.483	1161	5	1	1	1161	10151240	10152399	0	2109	GCA_025388435.1_AtA1-141.20181003_genomic
