family_id	assembly	assembly_short	scaffold	gene	copy	copy_header	match_status	status	strand	alignment_score	ref_len	qry_len	ref_aln_start_1based	ref_aln_end_1based	qry_aln_start_1based	qry_aln_end_1based	matches	mismatches	gap_columns	ref_aln_bases	qry_aln_bases	aligned_columns	percent_identity_no_gaps	ref_coverage	qry_coverage
OG0000007	73_3a	73_3a	scaffold_3_RagTag	AL3G16620	1	AL3G16620_73_3a_scaffold_3_copy_1	strict_match	ok	+	2201.0	1256	1758	1	1256	1	1758	1176	45	572	1256	1758	1793	96.314	100.0	100.0
OG0000007	AL08_v2_f	AL08_v2_f	scaffold_3_RagTag	AL3G16620	1	AL3G16620_AL08_v2_f_scaffold_3_copy_1	strict_match	ok	+	2195.0	1256	1758	1	1256	1	1758	1174	47	572	1256	1758	1793	96.151	100.0	100.0
OG0000007	al1_v2_s	al1_v2_s	scaffold_3_RagTag	AL3G16620	1	AL3G16620_al1_v2_s_scaffold_3_copy_1	strict_match	ok	+	2384.0	1256	1786	1	1256	1	1786	1229	26	532	1256	1786	1787	97.928	100.0	100.0
OG0000007	AL27_v1	AL27_v1	scaffold_3_RagTag	AL3G16620	1	AL3G16620_AL27_v1_scaffold_3_copy_1	strict_match	ok	+	2211.0	1256	1627	1	1256	1	1627	1176	70	391	1256	1627	1637	94.382	100.0	100.0
OG0000007	ALR	ALR	scaffold_3	AL3G16620	1	AL3G16620_ALR_scaffold_3_copy_1	strict_match	ok	+	2198.0	1256	1766	1	1256	1	1766	1177	48	572	1256	1766	1797	96.082	100.0	100.0
OG0000007	BAM12_v2	BAM12_v2	scaffold_3_RagTag	AL3G16620	1	AL3G16620_BAM12_v2_scaffold_3_copy_1	strict_match	ok	+	2364.0	1256	1836	1	1256	1	1836	1234	22	580	1256	1836	1836	98.248	100.0	100.0
OG0000007	BOR_v1	BOR_v1	scaffold_3_RagTag:0-24937921	AL3G16620	1	AL3G16620_BOR_v1_scaffold_3_copy_1	strict_match	ok	+	2221.0	1256	1634	1	1256	1	1634	1182	65	396	1256	1634	1643	94.787	100.0	100.0
OG0000007	F1-14	F1-14	scaffold_3_RagTag	AL3G16620	1	AL3G16620_F1-14_scaffold_3_copy_1	strict_match	ok	+	2271.0	1256	2140	1	1256	1	2140	1192	33	946	1256	2140	2171	97.306	100.0	100.0
OG0000007	KN003hexa_v0	KN003hexa_v0	scaffold_3_RagTag	AL3G16620	1	AL3G16620_KN003hexa_v0_scaffold_3_copy_1	strict_match	ok	+	2294.0	1256	1718	1	1256	1	1718	1197	10	560	1256	1718	1767	99.171	100.0	100.0
OG0000007	KN005_v1	KN005_v1	scaffold_3_RagTag	AL3G16620	1	AL3G16620_KN005_v1_scaffold_3_copy_1	strict_match	ok	+	2294.0	1256	1718	1	1256	1	1718	1197	10	560	1256	1718	1767	99.171	100.0	100.0
