family_id	final_status	n
OG0000007	P	23
OG0000009	A	19
OG0000009	F	54
OG0000009	P	357
OG0000009	U	63
OG0000012	A	74
OG0000012	F	8
OG0000012	P	601
OG0000012	U	57
OG0000015	A	62
OG0000015	F	8
OG0000015	P	178
OG0000015	U	55
OG0000016	A	5
OG0000016	F	188
OG0000016	P	551
OG0000016	U	365
OG0000022	F	11
OG0000022	P	163
OG0000022	U	169
OG0000024	A	47
OG0000024	F	35
OG0000024	P	306
OG0000024	U	165
OG0000027	A	4
OG0000027	F	7
OG0000027	P	143
OG0000027	U	104
OG0000029	A	8
OG0000029	F	44
OG0000029	P	292
OG0000029	U	287
OG0000030	A	3
OG0000030	F	10
OG0000030	P	131
OG0000030	U	100
OG0000038	P	35
OG0000038	U	2
OG0000039	P	362
OG0000040	A	1
OG0000040	F	18
OG0000040	P	61
OG0000040	U	178
OG0000042	A	18
OG0000042	F	35
OG0000042	P	247
OG0000042	U	59
OG0000045	A	15
OG0000045	P	73
OG0000045	U	34
OG0000046	A	3
OG0000046	F	31
OG0000046	P	125
OG0000046	U	221
OG0000047	F	2
OG0000047	P	202
OG0000047	U	117
OG0000049	A	57
OG0000049	F	8
OG0000049	P	215
OG0000049	U	252
OG0000054	A	23
OG0000054	F	6
OG0000054	P	132
OG0000054	U	38
OG0000060	A	65
OG0000060	F	54
OG0000060	P	406
OG0000060	U	80
OG0000065	A	28
OG0000065	F	3
OG0000065	P	149
OG0000065	U	20
OG0000075	P	21
OG0000077	A	3
OG0000077	F	1
OG0000077	P	117
OG0000077	U	26
OG0000083	F	2
OG0000083	P	19
OG0000083	U	16
OG0000086	A	1
OG0000086	P	24
OG0000086	U	42
OG0000087	A	22
OG0000087	F	10
OG0000087	P	105
OG0000087	U	25
OG0000090	A	11
OG0000090	F	2
OG0000090	P	98
OG0000090	U	57
OG0000093	A	1
OG0000093	P	27
OG0000093	U	6
OG0000095	P	35
OG0000095	U	3
OG0000096	A	1
OG0000096	F	4
OG0000096	P	32
OG0000096	U	21
OG0000100	F	4
OG0000100	P	11
OG0000100	U	6
OG0000103	A	22
OG0000103	F	2
OG0000103	P	85
OG0000103	U	15
OG0000106	A	8
OG0000106	F	57
OG0000106	P	126
OG0000106	U	211
OG0000107	F	16
OG0000107	P	178
OG0000107	U	142
OG0000118	A	2
OG0000118	P	22
OG0000118	U	24
OG0000126	A	8
OG0000126	F	12
OG0000126	P	135
OG0000126	U	57
OG0000141	F	1
OG0000141	P	35
OG0000141	U	3
OG0000142	F	2
OG0000142	P	10
OG0000142	U	72
OG0000147	F	3
OG0000147	P	146
OG0000147	U	24
OG0000150	F	11
OG0000150	P	146
OG0000150	U	101
OG0000158	P	23
OG0000159	F	39
OG0000159	P	110
OG0000159	U	23
OG0000164	P	179
OG0000166	A	3
OG0000166	F	24
OG0000166	P	228
OG0000166	U	173
OG0000167	P	91
OG0000167	U	60
OG0000170	F	1013
OG0000170	P	947
OG0000170	U	1771
OG0000182	A	6
OG0000182	F	25
OG0000182	P	286
OG0000182	U	110
OG0000184	F	20
OG0000184	P	231
OG0000184	U	75
OG0000185	A	6
OG0000185	F	18
OG0000185	P	105
OG0000185	U	2
OG0000186	A	2
OG0000186	P	37
OG0000188	A	26
OG0000188	F	19
OG0000188	P	173
OG0000188	U	168
OG0000192	F	5
OG0000192	P	2
OG0000192	U	35
OG0000196	F	1
OG0000196	P	11
OG0000196	U	73
OG0000199	F	20
OG0000199	P	84
OG0000199	U	289
OG0000200	A	1
OG0000200	P	351
OG0000200	U	20
OG0000202	F	3
OG0000202	P	34
OG0000202	U	24
OG0000206	F	3
OG0000206	P	56
OG0000206	U	75
OG0000207	A	22
OG0000207	F	1
OG0000207	P	220
OG0000207	U	8
OG0000210	F	4
OG0000210	P	56
OG0000210	U	1
OG0000213	A	5
OG0000213	F	2
