family_id	final_status	n
OG0000007	F	147
OG0000007	P	4
OG0000007	U	257
OG0000009	A	3
OG0000009	F	56
OG0000009	P	2538
OG0000009	U	1580
OG0000012	A	7
OG0000012	F	64
OG0000012	P	3435
OG0000012	U	479
OG0000015	A	5
OG0000015	F	82
OG0000015	P	1159
OG0000015	U	1032
OG0000016	F	906
OG0000016	P	1147
OG0000016	U	2284
OG0000022	F	78
OG0000022	P	716
OG0000022	U	1365
OG0000024	A	144
OG0000024	F	74
OG0000024	P	1571
OG0000024	U	344
OG0000027	A	27
OG0000027	F	197
OG0000027	P	1159
OG0000027	U	1623
OG0000029	A	1
OG0000029	F	37
OG0000029	P	702
OG0000029	U	560
OG0000030	A	96
OG0000030	F	41
OG0000030	P	1746
OG0000030	U	1022
OG0000038	F	2
OG0000038	P	109
OG0000038	U	25
OG0000039	P	1248
OG0000039	U	264
OG0000040	F	37
OG0000040	P	648
OG0000040	U	1381
OG0000042	F	581
OG0000042	P	574
OG0000042	U	122
OG0000045	P	95
OG0000045	U	17
OG0000046	F	30
OG0000046	P	255
OG0000046	U	1210
OG0000047	F	39
OG0000047	P	339
OG0000047	U	283
OG0000049	F	5
OG0000049	P	648
OG0000049	U	703
OG0000054	A	2
OG0000054	F	3
OG0000054	P	947
OG0000054	U	863
OG0000060	F	34
OG0000060	P	1460
OG0000060	U	334
OG0000065	F	20
OG0000065	P	866
OG0000065	U	546
OG0000074	F	107
OG0000074	P	4864
OG0000074	U	6592
OG0000075	P	129
OG0000075	U	3
OG0000077	A	50
OG0000077	F	20
OG0000077	P	1137
OG0000077	U	569
OG0000083	F	209
OG0000083	P	1241
OG0000083	U	881
OG0000086	F	12
OG0000086	P	11
OG0000086	U	113
OG0000087	P	480
OG0000087	U	4
OG0000090	A	74
OG0000090	F	5
OG0000090	P	1520
OG0000090	U	410
OG0000093	F	242
OG0000093	P	1062
OG0000093	U	1770
OG0000095	F	51
OG0000095	P	147
OG0000095	U	21
OG0000096	F	125
OG0000096	P	1354
OG0000096	U	1548
OG0000100	F	32
OG0000100	P	180
OG0000100	U	56
OG0000103	F	5
OG0000103	P	1022
OG0000103	U	432
OG0000106	A	13
OG0000106	F	104
OG0000106	P	80
OG0000106	U	846
OG0000107	F	46
OG0000107	P	675
OG0000107	U	441
OG0000118	A	6
OG0000118	F	72
OG0000118	P	637
OG0000118	U	1103
OG0000126	F	18
OG0000126	P	418
OG0000126	U	651
OG0000141	F	3
OG0000141	P	325
OG0000141	U	197
OG0000142	F	160
OG0000142	P	142
OG0000142	U	1218
OG0000147	F	28
OG0000147	P	635
OG0000147	U	398
OG0000150	F	82
OG0000150	P	151
OG0000150	U	777
OG0000158	P	136
OG0000159	P	269
OG0000164	P	814
OG0000164	U	134
OG0000166	F	8
OG0000166	P	5
OG0000166	U	259
OG0000167	P	142
OG0000167	U	538
OG0000170	F	3
OG0000170	P	120
OG0000170	U	225
OG0000182	F	11
OG0000182	P	477
OG0000182	U	174
OG0000184	F	313
OG0000184	P	915
OG0000184	U	371
OG0000185	F	30
OG0000185	P	303
OG0000185	U	233
OG0000186	P	350
OG0000186	U	16
OG0000188	F	22
OG0000188	P	186
OG0000188	U	336
OG0000192	F	2
OG0000192	P	163
OG0000192	U	236
OG0000196	F	3
OG0000196	P	118
OG0000196	U	836
OG0000199	F	258
OG0000199	P	272
OG0000199	U	1476
OG0000200	F	3
OG0000200	P	62
OG0000200	U	71
OG0000202	F	32
OG0000202	P	289
OG0000202	U	359
OG0000205	P	120
OG0000205	U	24
OG0000206	A	136
OG0000206	F	12
OG0000206	P	423
OG0000206	U	802
OG0000207	F	21
OG0000207	P	285
OG0000207	U	102
OG0000210	F	7
OG0000210	P	536
OG0000210	U	406
OG0000213	F	3
OG0000213	P	337
OG0000213	U	612
OG0000217	P	412
OG0000217	U	128
OG0000220	F	110
OG0000220	P	418
OG0000220	U	692
OG0000224	P	76
OG0000228	P	284
OG0000228	U	136
OG0000242	P	269
OG0000248	P	127
OG0000248	U	9
OG0000253	P	13
OG0000253	U	259
OG0000255	P	91
OG0000258	F	21
OG0000258	P	71
OG0000258	U	180
OG0000261	F	72
OG0000261	P	1294
OG0000261	U	652
OG0000264	F	130
OG0000264	P	256
OG0000264	U	478
OG0000266	F	1
OG0000266	P	227
OG0000266	U	188
OG0000269	F	166
OG0000269	P	760
OG0000269	U	987
OG0000271	A	1
OG0000271	F	16
OG0000271	P	900
OG0000271	U	293
OG0000272	F	7
OG0000272	P	12
OG0000272	U	117
OG0000276	A	6
OG0000276	P	926
OG0000297	P	1103
OG0000297	U	132
OG0000298	F	122
OG0000298	P	188
OG0000298	U	1039
OG0000299	F	7
OG0000299	P	289
OG0000299	U	369
OG0000319	F	1
OG0000319	P	154
OG0000319	U	114
OG0000320	P	136
OG0000325	F	97
OG0000325	P	426
OG0000325	U	749
OG0000329	F	111
OG0000329	P	684
OG0000329	U	1113
OG0000338	A	133
OG0000338	U	4
OG0000339	F	19
OG0000339	P	124
OG0000339	U	265
OG0000343	F	1
OG0000343	P	321
OG0000343	U	355
OG0000347	P	282
OG0000347	U	126
OG0000348	A	1
OG0000348	F	196
OG0000348	P	585
OG0000348	U	671
OG0000360	F	68
OG0000360	P	36
OG0000360	U	576
OG0000361	F	27
OG0000361	P	232
OG0000361	U	281
OG0000367	P	135
OG0000372	F	25
OG0000372	P	386
OG0000372	U	651
OG0000375	P	121
OG0000382	A	3
OG0000382	F	111
OG0000382	P	363
OG0000382	U	609
OG0000384	F	12
OG0000384	P	291
OG0000384	U	85
OG0000385	F	6
OG0000385	P	32
OG0000385	U	97
OG0000386	F	4
OG0000386	P	70
OG0000386	U	469
OG0000388	P	17
OG0000388	U	110
OG0000402	F	31
OG0000402	P	477
OG0000402	U	574
OG0000418	P	91
OG0000418	U	45
OG0000419	P	136
OG0000422	F	1
OG0000422	P	6
OG0000422	U	537
OG0000432	P	127
OG0000432	U	9
OG0000434	F	20
OG0000434	P	311
OG0000434	U	174
OG0000440	F	12
OG0000440	P	78
OG0000440	U	176
OG0000442	F	351
OG0000442	P	275
OG0000442	U	1491
OG0000445	A	1
OG0000445	F	4
OG0000445	P	348
OG0000445	U	11
OG0000448	P	186
OG0000448	U	78
OG0000452	F	5
OG0000452	P	93
OG0000452	U	36
OG0000453	P	12
OG0000453	U	124
OG0000473	F	78
OG0000473	P	420
OG0000473	U	826
OG0000496	P	93
OG0000496	U	43
OG0000500	A	65
OG0000500	F	16
OG0000500	P	1444
OG0000500	U	445
OG0000501	F	2
OG0000501	P	159
OG0000501	U	110
OG0000503	P	221
OG0000503	U	23
OG0000504	F	7
OG0000504	P	921
OG0000504	U	276
OG0000510	A	3
OG0000510	F	20
OG0000510	P	337
OG0000510	U	614
OG0000513	F	2
OG0000513	P	289
OG0000513	U	243
OG0000534	P	268
OG0000534	U	394
OG0000535	F	2
OG0000535	P	131
OG0000535	U	94
OG0000546	F	42
OG0000546	P	516
OG0000546	U	393
OG0000549	P	159
OG0000549	U	385
OG0000589	P	28
OG0000589	U	65
OG0000591	F	23
OG0000591	U	113
OG0000594	P	107
OG0000594	U	131
OG0000598	F	7
OG0000598	P	271
OG0000598	U	128
OG0000599	P	249
OG0000599	U	23
OG0000601	A	69
OG0000601	F	14
OG0000601	P	2207
OG0000601	U	72
OG0000605	F	3
OG0000605	P	272
OG0000605	U	133
OG0000606	F	13
OG0000606	P	290
OG0000606	U	105
OG0000618	F	5
OG0000618	P	173
OG0000618	U	228
OG0000620	F	2
OG0000620	P	128
OG0000620	U	218
OG0000621	P	5
OG0000621	U	131
OG0000639	F	10
OG0000639	P	4
OG0000639	U	250
OG0000679	F	100
OG0000679	P	684
OG0000679	U	496
OG0000692	F	132
OG0000692	P	129
OG0000692	U	772
OG0000712	F	15
OG0000712	P	40
OG0000712	U	489
OG0000720	P	136
OG0000724	F	2
OG0000724	P	174
OG0000724	U	96
OG0000725	P	135
OG0000728	A	143
OG0000728	F	1
OG0000728	P	207
OG0000728	U	259
OG0000731	F	37
OG0000731	P	293
OG0000731	U	584
OG0000736	F	63
OG0000736	P	326
OG0000736	U	716
OG0000739	F	255
OG0000739	P	346
OG0000739	U	906
OG0000761	P	752
OG0000792	U	136
OG0000817	P	103
OG0000822	P	16
OG0000822	U	254
OG0000846	F	3
OG0000846	P	282
OG0000846	U	259
OG0000857	F	57
OG0000857	P	181
OG0000857	U	34
OG0000862	P	113
OG0000865	P	136
OG0000887	U	135
OG0000893	F	5
OG0000893	P	19
OG0000893	U	99
OG0000907	P	438
OG0000907	U	234
OG0000913	A	69
OG0000913	F	50
OG0000913	P	208
OG0000913	U	216
OG0000929	F	54
OG0000929	P	3
OG0000929	U	79
OG0000949	F	283
OG0000949	P	1325
OG0000949	U	1156
OG0000962	P	258
OG0000962	U	417
OG0001007	P	136
OG0001019	F	87
OG0001019	P	149
OG0001019	U	309
OG0001038	F	81
OG0001038	P	207
OG0001038	U	609
OG0001079	F	1
OG0001079	P	25
OG0001079	U	63
OG0001115	F	47
OG0001115	P	50
OG0001115	U	444
OG0001127	P	269
OG0001127	U	22
OG0001132	F	33
OG0001132	P	50
OG0001132	U	53
OG0001135	P	133
OG0001136	F	11
OG0001136	P	179
OG0001136	U	478
OG0001139	F	3
OG0001139	P	173
OG0001139	U	226
OG0001188	F	2
OG0001188	P	294
OG0001188	U	112
OG0001196	P	16
OG0001196	U	91
OG0001202	F	136
OG0001202	P	2
OG0001202	U	405
OG0001262	F	11
OG0001262	P	88
OG0001262	U	309
OG0001318	P	136
OG0001336	P	408
OG0001349	F	2
OG0001349	P	240
OG0001349	U	566
OG0001363	P	135
OG0001392	P	193
OG0001392	U	79
OG0001395	P	263
OG0001395	U	4
OG0001398	A	1
OG0001398	P	4
OG0001398	U	20
OG0001400	P	415
OG0001400	U	129
OG0001401	P	139
OG0001401	U	269
OG0001408	P	91
OG0001408	U	180
OG0001411	P	14
OG0001411	U	122
OG0001412	U	136
OG0001688	F	17
OG0001688	P	529
OG0001688	U	388
OG0001769	P	407
OG0001813	P	136
OG0001813	U	136
OG0001820	F	162
OG0001820	P	160
OG0001820	U	608
OG0001841	P	141
OG0001841	U	131
OG0001885	A	101
OG0001885	F	291
OG0001885	P	451
OG0001885	U	100
OG0001893	F	16
OG0001893	P	17
OG0001893	U	91
OG0001901	F	9
OG0001901	P	136
OG0001901	U	127
OG0001911	A	136
OG0001911	P	22
OG0001911	U	114
OG0001918	P	2
OG0001918	U	32
OG0001923	P	45
OG0001923	U	91
OG0001927	F	28
OG0001927	P	177
OG0001927	U	62
OG0001928	F	8
OG0001928	P	218
OG0001928	U	318
OG0001929	P	382
OG0002178	A	1
OG0002178	P	135
OG0002370	A	146
OG0002370	P	124
OG0002370	U	125
OG0002564	F	6
OG0002564	P	6
OG0002564	U	124
OG0002742	F	43
OG0002742	P	336
OG0002742	U	212
OG0002810	F	13
OG0002810	P	20
OG0002810	U	239
OG0002829	P	167
OG0002829	U	88
OG0002867	P	136
OG0002883	F	80
OG0002883	P	65
OG0002883	U	508
OG0002891	F	15
OG0002891	P	95
OG0002891	U	277
OG0002892	F	204
OG0002892	P	173
OG0002892	U	271
OG0002893	F	20
OG0002893	P	88
OG0002893	U	127
OG0002919	P	6
OG0002919	U	264
OG0003409	P	136
OG0003680	P	136
OG0003687	F	5
OG0003687	P	9
OG0003687	U	248
OG0003691	P	136
OG0003730	F	107
OG0003730	P	163
OG0003767	F	36
OG0003767	P	97
OG0003767	U	139
OG0003807	U	136
OG0003808	U	90
OG0003820	P	43
OG0003820	U	203
OG0004081	F	13
OG0004081	P	15
OG0004081	U	108
OG0004132	P	136
OG0004303	F	2
OG0004303	P	68
OG0004303	U	202
OG0004694	F	1
OG0004694	P	27
OG0004694	U	108
OG0004872	P	2
OG0004872	U	134
OG0005764	F	118
OG0005764	P	18
