"assembly","gene","scaffold","start","end","length","max_length","copy","start_buffered","end_buffered","SW_score","perc_div","perc_del","perc_ins","te_start","te_end","query_left","strand","repeat_name","repeat_class","repeat_start","repeat_end","repeat_left","ID","V16"
"GCA_020911765.2_ASM2091176v2_genomic","AT1G12300","CP087126.2",4186660,4189897,3237,4047.5,1,4185660,4190897,1470,29.8,5.4,1.8,4186733,4187767,"(28450524)","C","ATLINE1_11","LINE/unknown","(0)",5524,"4453",1673,""
"GCA_020911765.2_ASM2091176v2_genomic","AT1G62930","CP087126.2",25507098,25509250,2152,2691.25,2,25506098,25510250,837,8.2,2.7,0,25506586,25506695,"(7131596)","C","AtSB3","SINE/tRNA","(0)",303,"191",27882,""
"GCA_020911765.2_ASM2091176v2_genomic","AT1G62930","CP087126.2",25507098,25509250,2152,2691.25,2,25506098,25510250,286,24.4,0.8,0,25509528,25509618,"(7128673)","+","ATCOPIA24I","LTR/Copia","2731",2825,"(1882)",27883,""
"GCA_020911765.2_ASM2091176v2_genomic","AT5G41170","CP087130.2",19645197,19647295,2098,2623.75,1,19644197,19648295,1814,9.9,18.1,0.2,19647493,19647895,"(10507107)","+","ATREP21","DNA/Helitron","1",475,"(9)",134397,""
"GCA_020911765.2_ASM2091176v2_genomic","AT4G20530","CP087129.2",14562534,14563867,1333,1670,2,14561534,14564867,270,20.3,6.1,7.6,14562074,14562286,"(7542215)","C","HELITRONY2","DNA/Helitron","(7315)",3799,"3590",107311,""
"GCA_020911765.2_ASM2091176v2_genomic","AT4G20540","CP087129.2",14565792,14567125,1333,1670,3,14564792,14568125,270,20.3,6.1,7.6,14565332,14565544,"(7538957)","C","HELITRONY2","DNA/Helitron","(7315)",3799,"3590",107312,""
"GCA_020911765.2_ASM2091176v2_genomic","AT4G20550","CP087129.2",14569050,14570383,1333,1670,4,14568050,14571383,270,20.3,6.1,7.6,14568590,14568802,"(7535699)","C","HELITRONY2","DNA/Helitron","(7315)",3799,"3590",107313,""
"GCA_020911765.2_ASM2091176v2_genomic","AT4G20560","CP087129.2",14572308,14573641,1333,1670,5,14571308,14574641,270,20.3,6.1,7.6,14571848,14572060,"(7532441)","C","HELITRONY2","DNA/Helitron","(7315)",3799,"3590",107314,""
"GCA_020911765.2_ASM2091176v2_genomic","AT4G20570","CP087129.2",14575566,14576899,1333,1670,6,14574566,14577899,270,20.3,6.1,7.6,14575106,14575318,"(7529183)","C","HELITRONY2","DNA/Helitron","(7315)",3799,"3590",107315,""
"GCA_020911765.2_ASM2091176v2_genomic","AT4G20580","CP087129.2",14580604,14581614,1010,1266.25,7,14579604,14582614,270,20.3,6.1,7.6,14579951,14580163,"(7524338)","C","HELITRONY2","DNA/Helitron","(7315)",3799,"3590",107317,""
"GCA_020911765.2_ASM2091176v2_genomic","AT4G20590","CP087129.2",14583862,14584872,1010,1266.25,8,14582862,14585872,270,20.3,6.1,7.6,14583209,14583421,"(7521080)","C","HELITRONY2","DNA/Helitron","(7315)",3799,"3590",107318,""
"GCA_020911765.2_ASM2091176v2_genomic","AT4G20600","CP087129.2",14587121,14588133,1012,1266.25,9,14586121,14589133,264,20.3,6.1,8.1,14586467,14586680,"(7517821)","C","HELITRONY2","DNA/Helitron","(7315)",3799,"3590",107319,""
"GCA_020911765.2_ASM2091176v2_genomic","AT4G20610","CP087129.2",14590382,14591394,1012,1266.25,10,14589382,14592394,264,20.3,6.1,8.1,14589728,14589941,"(7514560)","C","HELITRONY2","DNA/Helitron","(7315)",3799,"3590",107320,""
"GCA_020911765.2_ASM2091176v2_genomic","AT4G20620","CP087129.2",14593642,14594652,1010,1266.25,11,14592642,14595652,270,20.3,6.1,7.6,14592989,14593201,"(7511300)","C","HELITRONY2","DNA/Helitron","(7315)",3799,"3590",107321,""
"GCA_020911765.2_ASM2091176v2_genomic","AT4G20630","CP087129.2",14596899,14597911,1012,1266.25,12,14595899,14598911,270,20.3,6.1,7.6,14596247,14596459,"(7508042)","C","HELITRONY2","DNA/Helitron","(7315)",3799,"3590",107322,""
"GCA_020911765.2_ASM2091176v2_genomic","AT4G20640","CP087129.2",14600155,14601167,1012,1266.25,13,14599155,14602167,270,20.3,6.1,7.6,14599503,14599715,"(7504786)","C","HELITRONY2","DNA/Helitron","(7315)",3799,"3590",107323,""
"GCA_020911765.2_ASM2091176v2_genomic","AT4G20645","CP087129.2",14603224,14604549,1325,1670,14,14602224,14605549,270,20.3,6.1,7.6,14602762,14602974,"(7501527)","C","HELITRONY2","DNA/Helitron","(7315)",3799,"3590",107324,""
"GCA_020911765.2_ASM2091176v2_genomic","AT4G20670","CP087129.2",14611798,14612844,1046,1301.25,15,14610798,14613844,270,20.3,6.1,7.6,14611145,14611357,"(7493144)","C","HELITRONY2","DNA/Helitron","(7315)",3799,"3590",107333,""
"GCA_020911765.2_ASM2091176v2_genomic","AT3G22040","CP087128.1",7767494,7768438,944,1181.25,1,7766494,7769438,696,18.4,0.6,5.7,7769051,7769217,"(18381237)","+","TE_00000655_LTR","LTR/unknown","1",159,"(197)",58926,""
"GCA_020911765.2_ASM2091176v2_genomic","AT3G22050","CP087128.1",7769655,7771013,1358,1698.75,1,7768655,7772013,696,18.4,0.6,5.7,7769051,7769217,"(18381237)","+","TE_00000655_LTR","LTR/unknown","1",159,"(197)",58926,""
"GCA_020911765.2_ASM2091176v2_genomic","AT3G22050","CP087128.1",7769655,7771013,1358,1698.75,1,7768655,7772013,3668,7.6,2.9,0.9,7771209,7771749,"(18378705)","C","TE_00000295","DNA/Helitron","(0)",1459,"908",58930,""
"GCA_020911765.2_ASM2091176v2_genomic","AT3G22050","CP087128.1",7769655,7771013,1358,1698.75,1,7768655,7772013,4025,4.3,2.4,0.5,7771750,7772303,"(18378151)","+","ATREP2","DNA/Helitron","1",564,"(0)",58931,""
"GCA_020911765.2_ASM2091176v2_genomic","AT3G22053","CP087128.1",7773120,7774213,1093,1367.5,1,7772120,7775213,4025,4.3,2.4,0.5,7771750,7772303,"(18378151)","+","ATREP2","DNA/Helitron","1",564,"(0)",58931,""
"GCA_020911765.2_ASM2091176v2_genomic","AT3G22053","CP087128.1",7773120,7774213,1093,1367.5,1,7772120,7775213,923,5.5,0,0,7772319,7772446,"(18378008)","C","TE_00000365","DNA/Helitron","(578)",587,"460",58932,""
"GCA_020911765.2_ASM2091176v2_genomic","AT3G22053","CP087128.1",7773120,7774213,1093,1367.5,1,7772120,7775213,329,19.8,1.1,4.6,7772440,7772529,"(18377925)","C","ATREP13","DNA/Helitron","(561)",87,"1",58933,"*"
"GCA_020911765.2_ASM2091176v2_genomic","AT4G20530","CP087129.2",14559278,14560611,1333,1670,1,14558278,14561611,270,20.3,6.1,7.6,14558818,14559030,"(7545471)","C","HELITRONY2","DNA/Helitron","(7315)",3799,"3590",107310,""
"GCA_020911765.2_ASM2091176v2_genomic","AT4G20580","CP087129.2",14575759,14576769,1010,1266.25,6,14574759,14577769,270,20.3,6.1,7.6,14575106,14575318,"(7529183)","C","HELITRONY2","DNA/Helitron","(7315)",3799,"3590",107315,""
"GCA_020911765.2_ASM2091176v2_genomic","AT4G20645","CP087129.2",14599963,14601297,1334,1670,13,14598963,14602297,270,20.3,6.1,7.6,14599503,14599715,"(7504786)","C","HELITRONY2","DNA/Helitron","(7315)",3799,"3590",107323,""
