"term","model","significant","variance"
"bio2","Raw CNV",FALSE,41.7515607976666
"bio5","Raw CNV",FALSE,63.192519923986
"bio7","Raw CNV",FALSE,45.8524208805181
"bio8","Raw CNV",FALSE,43.3783460922909
"bio18","Raw CNV",FALSE,113.82805140588
"soc_0_5cm","Raw CNV",FALSE,37.0837699467968
"soc_5_15cm","Raw CNV",FALSE,34.3193016443653
"cec_5_15cm","Raw CNV",FALSE,75.4795712277213
"pH_0_5cm","Raw CNV",FALSE,111.107848924439
"bio2","Z-score CNV",FALSE,7.54085516271525
"bio5","Z-score CNV",FALSE,7.87885208861992
"bio7","Z-score CNV",TRUE,9.58694256478116
"bio8","Z-score CNV",FALSE,6.41516993269559
"bio18","Z-score CNV",FALSE,8.84729199537403
"soc_0_5cm","Z-score CNV",FALSE,7.02559913723105
"soc_5_15cm","Z-score CNV",FALSE,6.58158331876493
"cec_5_15cm","Z-score CNV",FALSE,5.49978227864456
"pH_0_5cm","Z-score CNV",FALSE,5.78863540961706
