qseqid	sseqid	pident	length	mismatch	gapopen	qstart	qend	sstart	send	evalue	bitscore	stitle
AL158U10020	scaffold_3_RagTag	96.389	2769	62	12	2	2733	21867351	21864584	0	4525	73_3a_fixed_genome_15_1_24
AL158U10020	scaffold_3_RagTag	83.052	2012	315	22	205	2203	21844949	21842951	0	1803	73_3a_fixed_genome_15_1_24
AL158U10020	scaffold_3_RagTag	81.476	2073	334	35	157	2204	21863278	21861231	0	1655	73_3a_fixed_genome_15_1_24
AL158U10020	scaffold_3_RagTag	81.111	2070	337	39	162	2204	21855863	21853821	0	1607	73_3a_fixed_genome_15_1_24
AL158U10020	scaffold_3_RagTag	93.592	515	30	2	739	1253	21856630	21856119	0	765	73_3a_fixed_genome_15_1_24
AL158U10020	scaffold_3_RagTag	80.841	642	85	24	2083	2714	21854086	21853473	1.62e-130	470	73_3a_fixed_genome_15_1_24
AL158U10020	scaffold_3_RagTag	80.122	654	88	28	2083	2722	21861496	21860871	2.11e-124	449	73_3a_fixed_genome_15_1_24
AL158U10020	scaffold_3_RagTag	76.172	512	102	11	230	740	10731280	10730788	6.39e-65	252	73_3a_fixed_genome_15_1_24
AL158U10020	scaffold_3_RagTag	79.522	293	48	12	1939	2225	21865234	21864948	8.44e-49	198	73_3a_fixed_genome_15_1_24
AL158U10020	scaffold_3_RagTag	79.522	293	48	11	2083	2369	21865378	21865092	8.44e-49	198	73_3a_fixed_genome_15_1_24
AL158U10020	scaffold_3_RagTag	83.607	122	20	0	2227	2348	21865378	21865257	8.74e-24	115	73_3a_fixed_genome_15_1_24
AL158U10020	scaffold_3_RagTag	80.992	121	23	0	1940	2060	21865089	21864969	3.17e-18	97.1	73_3a_fixed_genome_15_1_24
AL158U10020	scaffold_3_RagTag	79.032	124	22	4	1939	2060	21853942	21853821	8.87e-14	82.4	73_3a_fixed_genome_15_1_24
AL158U10020	scaffold_3_RagTag	78.226	124	23	4	1939	2060	21861352	21861231	4.13e-12	76.8	73_3a_fixed_genome_15_1_24
AL158U10020	scaffold_3_RagTag	97.561	41	1	0	2156	2196	2124713	2124753	1.92e-10	71.3	73_3a_fixed_genome_15_1_24
AL158U10020	scaffold_2_RagTag	96.389	2769	62	12	2	2733	16775193	16772426	0	4525	73_3a_fixed_genome_15_1_24
AL158U10020	scaffold_2_RagTag	83.052	2012	315	22	205	2203	16752791	16750793	0	1803	73_3a_fixed_genome_15_1_24
AL158U10020	scaffold_2_RagTag	81.476	2073	334	35	157	2204	16771120	16769073	0	1655	73_3a_fixed_genome_15_1_24
AL158U10020	scaffold_2_RagTag	81.111	2070	337	39	162	2204	16763705	16761663	0	1607	73_3a_fixed_genome_15_1_24
AL158U10020	scaffold_2_RagTag	93.592	515	30	2	739	1253	16764472	16763961	0	765	73_3a_fixed_genome_15_1_24
AL158U10020	scaffold_2_RagTag	80.841	642	85	24	2083	2714	16761928	16761315	1.62e-130	470	73_3a_fixed_genome_15_1_24
AL158U10020	scaffold_2_RagTag	80.122	654	88	28	2083	2722	16769338	16768713	2.11e-124	449	73_3a_fixed_genome_15_1_24
AL158U10020	scaffold_2_RagTag	79.522	293	48	12	1939	2225	16773076	16772790	8.44e-49	198	73_3a_fixed_genome_15_1_24
AL158U10020	scaffold_2_RagTag	79.522	293	48	11	2083	2369	16773220	16772934	8.44e-49	198	73_3a_fixed_genome_15_1_24
AL158U10020	scaffold_2_RagTag	83.607	122	20	0	2227	2348	16773220	16773099	8.74e-24	115	73_3a_fixed_genome_15_1_24
