qseqid	sseqid	pident	length	mismatch	gapopen	qstart	qend	sstart	send	evalue	bitscore	stitle
AL5G13330	scaffold_5_RagTag	98.469	1241	16	2	1	1238	1328881	1330121	0	2183	73_3a_fixed_genome_15_1_24
AL5G13330	scaffold_5_RagTag	81.338	1211	180	31	20	1216	1322795	1323973	0	942	73_3a_fixed_genome_15_1_24
AL5G13330	scaffold_5_RagTag	79.803	1114	169	35	60	1157	1347471	1348544	0	760	73_3a_fixed_genome_15_1_24
AL5G13330	scaffold_5_RagTag	79.573	1077	167	32	21	1075	1326350	1327395	0	721	73_3a_fixed_genome_15_1_24
AL5G13330	scaffold_5_RagTag	83.009	771	95	20	475	1224	1340149	1340904	0	665	73_3a_fixed_genome_15_1_24
AL5G13330	scaffold_5_RagTag	76.087	644	113	26	530	1163	1353818	1354430	3.62e-79	298	73_3a_fixed_genome_15_1_24
AL5G13330	scaffold_7_RagTag	79.44	1250	207	40	21	1238	22112815	22114046	0	839	73_3a_fixed_genome_15_1_24
AL5G13330	scaffold_7_RagTag	79.282	1226	207	34	21	1224	22107106	22108306	0	813	73_3a_fixed_genome_15_1_24
AL5G13330	scaffold_7_RagTag	79.282	1226	204	38	21	1224	22095405	22096602	0	811	73_3a_fixed_genome_15_1_24
AL5G13330	scaffold_7_RagTag	79.795	1168	195	36	21	1163	22117164	22118315	0	811	73_3a_fixed_genome_15_1_24
AL5G13330	scaffold_7_RagTag	77.61	728	124	26	458	1160	22096983	22097696	2.07e-111	405	73_3a_fixed_genome_15_1_24
AL5G13330	scaffold_7_RagTag	82.996	247	31	8	912	1151	22109653	22109895	1.35e-53	213	73_3a_fixed_genome_15_1_24
AL5G13330	scaffold_7_RagTag	81.89	254	35	8	921	1167	22110709	22110958	8.12e-51	204	73_3a_fixed_genome_15_1_24
AL5G13330	scaffold_6_RagTag	79.342	1215	197	34	21	1223	5036726	5035554	0	804	73_3a_fixed_genome_15_1_24
AL5G13330	scaffold_1_RagTag	78.547	1170	200	38	21	1166	8631959	8630817	0	723	73_3a_fixed_genome_15_1_24
AL5G13330	scaffold_3_RagTag	72.874	1235	239	62	21	1216	13362519	13363696	7.67e-91	337	73_3a_fixed_genome_15_1_24
