Entry,Entry Name,Reviewed,Protein names,Gene Names,Organism,Length,gene_id,Category,Sub-category
Q84X12,JAL26_ARATH,reviewed,Probable jacalin-related lectin 26,JAL26 At2g43745 F18O19.33,Arabidopsis thaliana (Mouse-ear cress),155,AT2G43745.1,Stress Response,jacalin
Q8H1N6,Q8H1N6_ARATH,unreviewed,At3g04210/T6K12_17 (Disease resistance protein (TIR-NBS class)),TN13 At3g04210 T6K12.17 T6K12_17,Arabidopsis thaliana (Mouse-ear cress),531,AT3G04210.2,Stress Response,disease resistance
O81430,O81430_ARATH,unreviewed,Putative RPP1-like disease resistance protein (T24H24.18 protein) (Toll-Interleukin-Resistance (TIR) domain family protein),At4g04110 T24H24.18 T24H24_18,Arabidopsis thaliana (Mouse-ear cress),239,AT4G04110.1,Stress Response,disease resistance
Q9FF28,Q9FF28_ARATH,unreviewed,ADP-ribosyl cyclase/cyclic ADP-ribose hydrolase (EC 3.2.2.6),MXI10.1 MXI10_1 At5g38350,Arabidopsis thaliana (Mouse-ear cress),833,AT5G38350.1,Stress Response,ADP-ribosyl cyclase
D7MXZ7,D7MXZ7_ARALL,unreviewed,ADP-ribosyl cyclase/cyclic ADP-ribose hydrolase (EC 3.2.2.6),ARALYDRAFT_497514,Arabidopsis lyrata subsp. lyrata (Lyre-leaved rock-cress),721,AT5G38350.1,Stress Response,ADP-ribosyl cyclase
Q2V321,DF115_ARATH,reviewed,Defensin-like protein 115,At5g42232 K5J14,Arabidopsis thaliana (Mouse-ear cress),81,AT5G42232.1,Defense & Resistance,defensin
A0A178UCL1,A0A178UCL1_ARATH,unreviewed,Uncharacterized protein,AXX17_At5g40050 AN1_LOCUS24405 C24_LOCUS24230,Arabidopsis thaliana (Mouse-ear cress),81,AT5G42232.1,Uncharacterized,uncharacterized
Q3E9E2,Q3E9E2_ARATH,unreviewed,DNAJ heat shock amino-terminal domain protein,At5g18720 T1A4.100 T1A4_100,Arabidopsis thaliana (Mouse-ear cress),342,AT5G18720.3,Stress Response,heat
F4JY41,F4JY41_ARATH,unreviewed,DNAJ heat shock amino-terminal domain protein,At5g18730 F17K4.3,Arabidopsis thaliana (Mouse-ear cress),528,AT5G18730.1,Stress Response,heat
P82726,DF152_ARATH,reviewed,Putative defensin-like protein 152 (Putative low-molecular-weight cysteine-rich protein 11) (Protein LCR11),LCR11 At4g11485 F25E4,Arabidopsis thaliana (Mouse-ear cress),102,AT4G11485.1,Defense & Resistance,defensin
A0A5S9XRB9,A0A5S9XRB9_ARATH,unreviewed,Uncharacterized protein,AN1_LOCUS17746 C24_LOCUS17636,Arabidopsis thaliana (Mouse-ear cress),102,AT4G11485.1,Uncharacterized,uncharacterized
