"","assembly","gene","scaffold","start","end","length","max_length","copy"
"1","GCA_020911765.2_ASM2091176v2_genomic","AT2G27810","CP087127.2",15014195,15018452,4257,5322.5,1
"2","GCA_020911765.2_ASM2091176v2_genomic","AT5G40530","CP087130.2",19395999,19397849,1850,2313.75,1
"3","GCA_020911765.2_ASM2091176v2_genomic","AT3G26115","CP087128.1",9548729,9550958,2229,2787.5,1
"4","GCA_020911765.2_ASM2091176v2_genomic","AT1G26750","CP087126.2",9268309,9269726,1417,1772.5,1
"5","GCA_020911765.2_ASM2091176v2_genomic","AT4G17540","CP087129.2",13286699,13288693,1994,2493.75,1
"6","GCA_020911765.2_ASM2091176v2_genomic","AT4G23950","CP087129.2",15958158,15960658,2500,3126.25,1
"7","GCA_020911765.2_ASM2091176v2_genomic","AT2G38360","CP087127.2",19233876,19235154,1278,1598.75,1
"8","GCA_020911765.2_ASM2091176v2_genomic","AT3G11090","CP087128.1",3480473,3481399,926,1158.75,1
"9","GCA_020911765.2_ASM2091176v2_genomic","AT5G24890","CP087130.2",8569150,8570901,1751,2190,1
"10","GCA_020911765.2_ASM2091176v2_genomic","AT5G27970","CP087130.2",10015835,10027170,11335,14170,1
"11","GCA_020911765.2_ASM2091176v2_genomic","AT1G49590","CP087126.2",20558409,20560398,1989,2487.5,1
"12","GCA_020911765.2_ASM2091176v2_genomic","AT5G46910","CP087130.2",22213096,22218136,5040,6301.25,1
"13","GCA_020911765.2_ASM2091176v2_genomic","AT1G77300","CP087126.2",31240655,31250187,9532,11916.25,1
"14","GCA_020911765.2_ASM2091176v2_genomic","AT2G15560","CP087127.2",9944618,9946967,2349,2937.5,1
"15","GCA_020911765.2_ASM2091176v2_genomic","AT3G27310","CP087128.1",10093578,10095732,2154,2693.75,1
"16","GCA_020911765.2_ASM2091176v2_genomic","AT5G42950","CP087130.2",20390983,20398097,7114,8893.75,1
"17","GCA_020911765.2_ASM2091176v2_genomic","AT5G47380","CP087130.2",22388032,22391410,3378,4223.75,1
"18","GCA_020911765.2_ASM2091176v2_genomic","AT3G06035","CP087128.1",1825898,1827303,1405,1757.5,1
"19","GCA_020911765.2_ASM2091176v2_genomic","AT2G38310","CP087127.2",19214408,19215846,1438,1798.75,1
"20","GCA_020911765.2_ASM2091176v2_genomic","AT2G21100","CP087127.2",12209965,12211239,1274,1592.5,1
"21","GCA_020911765.2_ASM2091176v2_genomic","AT1G27460","CP087126.2",9556122,9559248,3126,3908.75,1
"22","GCA_020911765.2_ASM2091176v2_genomic","AT2G45320","CP087127.2",21851762,21853843,2081,2602.5,1
"23","GCA_020911765.2_ASM2091176v2_genomic","AT1G30480","CP087126.2",10811672,10814375,2703,3380,1
"24","GCA_020911765.2_ASM2091176v2_genomic","AT3G13840","CP087128.1",4560880,4562628,1748,2186.25,1
"25","GCA_020911765.2_ASM2091176v2_genomic","AT5G38520","CP087130.2",18528534,18530676,2142,2678.75,1
"26","GCA_020911765.2_ASM2091176v2_genomic","AT2G22260","CP087127.2",12622751,12625394,2643,3305,1
"27","GCA_020911765.2_ASM2091176v2_genomic","AT1G49470","CP087126.2",20514093,20515379,1286,1608.75,1
"28","GCA_020911765.2_ASM2091176v2_genomic","AT1G70560","CP087126.2",28805440,28808237,2797,3497.5,1
"29","GCA_020911765.2_ASM2091176v2_genomic","AT3G10985","CP087128.1",3447788,3449231,1443,1805,1
"30","GCA_020911765.2_ASM2091176v2_genomic","AT4G36390","CP087129.2",20710714,20713388,2674,3343.75,1
"31","GCA_020911765.2_ASM2091176v2_genomic","AT4G34270","CP087129.2",19919976,19922435,2459,3075,1
"32","GCA_020911765.2_ASM2091176v2_genomic","AT5G50000","CP087130.2",23509261,23512058,2797,3497.5,1
"33","GCA_020911765.2_ASM2091176v2_genomic","AT1G30580","CP087126.2",10853323,10857285,3962,4953.75,1
"34","GCA_020911765.2_ASM2091176v2_genomic","AT1G20070","CP087126.2",6961643,6962799,1156,1446.25,1
"35","GCA_020911765.2_ASM2091176v2_genomic","AT3G25440","CP087128.1",9230416,9232234,1818,2273.75,1
"36","GCA_020911765.2_ASM2091176v2_genomic","AT5G43680","CP087130.2",20710709,20712565,1856,2321.25,1
"37","GCA_020911765.2_ASM2091176v2_genomic","AT1G67320","CP087126.2",27405864,27409686,3822,4778.75,1
"38","GCA_020911765.2_ASM2091176v2_genomic","AT2G44950","CP087127.2",21709822,21716299,6477,8097.5,1
"39","GCA_020911765.2_ASM2091176v2_genomic","AT5G24520","CP087130.2",8381731,8384261,2530,3163.75,1
"40","GCA_020911765.2_ASM2091176v2_genomic","AT5G56890","CP087130.2",26185738,26191330,5592,6991.25,1
"41","GCA_020911765.2_ASM2091176v2_genomic","AT1G24460","CP087126.2",8670445,8677223,6778,8472.5,1
"42","GCA_020911765.2_ASM2091176v2_genomic","AT2G28800","CP087127.2",15518436,15521683,3247,4060,1
"43","GCA_020911765.2_ASM2091176v2_genomic","AT5G13940","CP087130.2",4503305,4508795,5490,6863.75,1
