"","assembly","gene","scaffold","start","end","length","max_length","copy"
"1","73_3a_fixed_genome_15_1_24","AL4G22470","scaffold_4_RagTag",12147510,12151724,4214,5281.25,1
"2","73_3a_fixed_genome_15_1_24","AL7G49290","scaffold_7_RagTag",24132039,24133804,1765,2215,1
"3","73_3a_fixed_genome_15_1_24","AL5G14830","scaffold_5_RagTag",1976558,1978889,2331,2908.75,1
"4","73_3a_fixed_genome_15_1_24","AL1G38960","scaffold_1_RagTag",10869127,10870428,1301,1721.25,1
"5","73_3a_fixed_genome_15_1_24","AL7G37080","scaffold_7_RagTag",11402387,11404403,2016,2473.75,1
"6","73_3a_fixed_genome_15_1_24","AL7G29360","scaffold_7_RagTag",7761825,7764194,2369,3018.75,1
"7","73_3a_fixed_genome_15_1_24","AL4G35580","scaffold_4_RagTag",18704180,18705209,1029,1287.5,1
"8","73_3a_fixed_genome_15_1_24","AL3G22630","scaffold_3_RagTag",4623569,4624525,956,1207.5,1
"9","73_3a_fixed_genome_15_1_24","AL6G36570","scaffold_6_RagTag",10947827,10948404,577,727.5,1
"10","73_3a_fixed_genome_15_1_24","AL6G40140","scaffold_6_RagTag",13256226,13268124,11898,14951.25,1
"11","73_3a_fixed_genome_15_1_24","AL8G11370","scaffold_8_RagTag",529141,533960,4819,6021.25,1
"12","73_3a_fixed_genome_15_1_24","AL2G37500","scaffold_3_RagTag",24567003,24576610,9607,12023.75,1
"14","73_3a_fixed_genome_15_1_24","AL3G47290","scaffold_3_RagTag",32365275,32367536,2261,2827.5,1
"15","73_3a_fixed_genome_15_1_24","AL5G16540","scaffold_5_RagTag",2915650,2917680,2030,2497.5,1
"16","73_3a_fixed_genome_15_1_24","AL8G17880","scaffold_8_RagTag",4496156,4503287,7131,8911.25,1
"17","73_3a_fixed_genome_15_1_24","AL8G10660","scaffold_8_RagTag",172267,175441,3174,3978.75,1
"18","73_3a_fixed_genome_15_1_24","AL3G16870","scaffold_3_RagTag",2508500,2509690,1190,1616.25,1
"19","73_3a_fixed_genome_15_1_24","AL4G35500","scaffold_4_RagTag",18655028,18656028,1000,1283.75,1
"20","73_3a_fixed_genome_15_1_24","AL4G10190","scaffold_4_RagTag",336241,337071,830,1041.25,1
"21","73_3a_fixed_genome_15_1_24","AL1G40880","scaffold_1_RagTag",11694890,11698187,3297,4146.25,1
"22","73_3a_fixed_genome_15_1_24","AL4G44420","scaffold_4_RagTag",22353907,22355926,2019,2601.25,1
"23","73_3a_fixed_genome_15_1_24","AL1G44510","scaffold_1_RagTag",13416623,13418857,2234,2793.75,1
"24","73_3a_fixed_genome_15_1_24","AL3G25980","scaffold_3_RagTag",5925077,5926897,1820,2281.25,1
"25","73_3a_fixed_genome_15_1_24","AL7G52050","scaffold_7_RagTag",22456478,22458381,1903,2411.25,1
"26","73_3a_fixed_genome_15_1_24","AL4G11740","scaffold_4_RagTag",959846,962311,2465,3343.75,1
"27","73_3a_fixed_genome_15_1_24","AL1G56790","scaffold_1_RagTag",22539203,22540314,1111,1361.25,1
"29","73_3a_fixed_genome_15_1_24","AL2G29950","scaffold_3_RagTag",21385469,21388178,2709,3397.5,1
"31","73_3a_fixed_genome_15_1_24","AL3G22540","scaffold_3_RagTag",4580998,4581890,892,1115,1
"32","73_3a_fixed_genome_15_1_24","AL7G14700","scaffold_7_RagTag",1786589,1789336,2747,3436.25,1
"33","73_3a_fixed_genome_15_1_24","AL7G17000","scaffold_7_RagTag",2851415,2853823,2408,3012.5,1
"34","73_3a_fixed_genome_15_1_24","AL8G23980","scaffold_8_RagTag",13473029,13475589,2560,3198.75,1
"35","73_3a_fixed_genome_15_1_24","AL1G44620","scaffold_1_RagTag",13462983,13467015,4032,5038.75,1
"36","73_3a_fixed_genome_15_1_24","AL1G32880","scaffold_1_RagTag",8489070,8490398,1328,1592.5,1
"37","73_3a_fixed_genome_15_1_24","AL3G41310","scaffold_3_RagTag",12680943,12682710,1767,2193.75,1
"38","73_3a_fixed_genome_15_1_24","AL8G16570","scaffold_8_RagTag",3606130,3607766,1636,2277.5,1
"39","73_3a_fixed_genome_15_1_24","AL2G25840","scaffold_2_RagTag",14144116,14147858,3742,4706.25,1
