qseqid	sseqid	pident	length	mismatch	gapopen	qstart	qend	sstart	send	evalue	bitscore	stitle
AL7G50290	scaffold_7_RagTag	91.255	263	23	0	1	263	23078371	23078633	3.22e-98	359	73_3a_fixed_genome_15_1_24
AL7G50290	scaffold_7_RagTag	89.354	263	28	0	1	263	23500207	23499945	7.02e-90	331	73_3a_fixed_genome_15_1_24
AL7G50290	scaffold_7_RagTag	87.547	265	29	4	1	263	23517593	23517331	1.53e-81	303	73_3a_fixed_genome_15_1_24
AL7G50310	scaffold_7_RagTag	99.428	699	3	1	1	698	23513810	23513112	0	1267	73_3a_fixed_genome_15_1_24
AL7G50310	scaffold_7_RagTag	84.666	613	36	17	115	698	23500160	23499577	8.34e-158	558	73_3a_fixed_genome_15_1_24
AL7G50310	scaffold_7_RagTag	87.351	419	23	10	176	569	23045067	23045480	4.05e-126	453	73_3a_fixed_genome_15_1_24
AL7G50310	scaffold_7_RagTag	83.544	474	31	14	97	544	23517560	23517108	5.35e-110	399	73_3a_fixed_genome_15_1_24
AL7G50310	scaffold_7_RagTag	83.784	407	43	10	104	495	23078407	23078805	1.95e-99	364	73_3a_fixed_genome_15_1_24
AL7G50310	scaffold_7_RagTag	98.788	165	2	0	1	165	23043246	23043410	2.6e-78	294	73_3a_fixed_genome_15_1_24
AL7G50310	scaffold_7_RagTag	91.279	172	15	0	112	283	23509954	23509783	1.6e-60	235	73_3a_fixed_genome_15_1_24
AL7G50310	scaffold_7_RagTag	94.156	154	4	2	543	695	23078963	23079112	7.42e-59	230	73_3a_fixed_genome_15_1_24
AL7G50310	scaffold_7_RagTag	97.222	108	3	0	587	694	23047997	23048104	5.86e-45	183	73_3a_fixed_genome_15_1_24
AL7G50960	scaffold_7_RagTag	96.904	646	7	5	197	838	23078903	23078267	0	1070	73_3a_fixed_genome_15_1_24
AL7G50960	scaffold_7_RagTag	92.36	589	33	11	256	834	23517108	23517694	0	828	73_3a_fixed_genome_15_1_24
AL7G50960	scaffold_7_RagTag	91.231	593	40	11	253	838	23499724	23500311	0	797	73_3a_fixed_genome_15_1_24
AL7G50960	scaffold_7_RagTag	98.268	231	4	0	1	231	23079129	23078899	1.39e-111	405	73_3a_fixed_genome_15_1_24
AL7G50960	scaffold_7_RagTag	89.644	309	26	3	530	838	23509794	23510096	1.4e-106	388	73_3a_fixed_genome_15_1_24
AL7G50960	scaffold_7_RagTag	82.064	407	38	14	291	686	23513313	23513695	2.41e-84	315	73_3a_fixed_genome_15_1_24
AL7G50960	scaffold_7_RagTag	95.758	165	2	1	3	167	23499565	23499724	3.18e-68	261	73_3a_fixed_genome_15_1_24
AL7G50960	scaffold_7_RagTag	93.605	172	5	3	1	167	23513098	23513268	1.91e-65	252	73_3a_fixed_genome_15_1_24
AL7G50960	scaffold_7_RagTag	94.488	127	6	1	1	127	23048122	23047997	3.27e-48	195	73_3a_fixed_genome_15_1_24
AL7G50960	scaffold_7_RagTag	96.875	64	2	0	165	228	20583482	20583545	4.39e-22	108	73_3a_fixed_genome_15_1_24
AL7G50960	scaffold_7_RagTag	98.333	60	1	0	169	228	12395378	12395437	1.58e-21	106	73_3a_fixed_genome_15_1_24
AL7G50960	scaffold_7_RagTag	95.455	66	3	0	166	231	12952363	12952298	1.58e-21	106	73_3a_fixed_genome_15_1_24
AL7G50960	scaffold_7_RagTag	92.424	66	4	1	164	228	10339601	10339666	1.23e-17	93.5	73_3a_fixed_genome_15_1_24
AL7G50960	scaffold_7_RagTag	93.548	62	3	1	167	227	20187679	20187740	4.42e-17	91.6	73_3a_fixed_genome_15_1_24
