qseqid	sseqid	pident	length	mismatch	gapopen	qstart	qend	sstart	send	evalue	bitscore	stitle
AL7G34270	scaffold_7_RagTag	95.124	3343	93	21	1	3306	10068670	10071979	0	5206	73_3a_fixed_genome_15_1_24
AL7G34270	scaffold_7_RagTag	88.856	673	44	16	16	659	10063902	10064572	0	798	73_3a_fixed_genome_15_1_24
AL7G34270	scaffold_7_RagTag	91.971	411	31	2	1146	1556	10064573	10064981	4.04e-162	575	73_3a_fixed_genome_15_1_24
AL7G34270	scaffold_7_RagTag	82.933	416	63	5	2562	2971	10074351	10074764	7.36e-100	368	73_3a_fixed_genome_15_1_24
AL7G34270	scaffold_8_RagTag	93.525	139	9	0	1418	1556	21812148	21812286	1.7e-51	207	73_3a_fixed_genome_15_1_24
AL7G34280	scaffold_7_RagTag	96.147	1713	42	11	1	1696	10073337	10075042	0	2776	73_3a_fixed_genome_15_1_24
AL7G34280	scaffold_7_RagTag	77.935	707	112	27	1018	1694	10071239	10071931	3.7e-110	401	73_3a_fixed_genome_15_1_24
AL7G34290	scaffold_8_RagTag	96.059	406	8	3	1613	2010	6065262	6065667	0	654	73_3a_fixed_genome_15_1_24
AL7G34290	scaffold_3_RagTag	94.541	403	14	4	1613	2009	11534987	11534587	1.7e-174	616	73_3a_fixed_genome_15_1_24
AL7G34290	scaffold_3_RagTag	90.931	408	14	4	1612	2009	31944721	31944327	8.19e-148	527	73_3a_fixed_genome_15_1_24
AL7G34290	scaffold_1_RagTag	88.406	414	33	6	1613	2012	18993476	18993064	5e-135	484	73_3a_fixed_genome_15_1_24
AL7G34290	scaffold_7_RagTag	76.675	403	89	5	1138	1538	10074351	10074750	5.6e-55	219	73_3a_fixed_genome_15_1_24
AL7G34270	scaffold_7_RagTag	95.754	3321	62	11	1	3306	9946064	9949320	0	5278	AL08_v2_f
AL7G34270	scaffold_7_RagTag	88.542	672	48	12	16	659	9941326	9941996	0	787	AL08_v2_f
AL7G34270	scaffold_7_RagTag	93.04	273	18	1	1284	1556	9942100	9942371	8.61e-109	398	AL08_v2_f
AL7G34270	scaffold_7_RagTag	82.212	416	66	5	2562	2971	9951693	9952106	6.8e-95	351	AL08_v2_f
AL7G34270	scaffold_8_RagTag	94.245	139	8	0	1418	1556	6028986	6029124	3.35e-53	213	AL08_v2_f
AL7G34280	scaffold_7_RagTag	97.083	1714	25	12	1	1696	9950679	9952385	0	2865	AL08_v2_f
AL7G34280	scaffold_7_RagTag	81.754	707	113	15	56	754	9947811	9948509	5.24e-163	577	AL08_v2_f
AL7G34280	scaffold_7_RagTag	78.076	707	111	27	1018	1694	9948580	9949272	7.28e-112	407	AL08_v2_f
AL7G34290	scaffold_7_RagTag	93.128	422	15	4	1607	2016	15220642	15220223	9.37e-172	606	AL08_v2_f
AL7G34290	scaffold_7_RagTag	93.612	407	15	4	1613	2010	6067841	6068245	5.64e-169	597	AL08_v2_f
AL7G34290	scaffold_8_RagTag	92.654	422	6	5	1613	2010	5847761	5848181	4.39e-165	584	AL08_v2_f
AL7G34290	scaffold_8_RagTag	85.468	406	31	7	1616	2009	2228492	2228881	6.14e-109	398	AL08_v2_f
AL7G34290	scaffold_4_RagTag	92.875	393	11	3	1613	1989	3195347	3194956	3.44e-156	555	AL08_v2_f
AL7G34290	scaffold_4_RagTag	87.77	417	33	5	1613	2012	9780494	9780909	3.57e-131	472	AL08_v2_f
AL7G34290	scaffold_1_RagTag	88.537	410	35	4	1611	2009	20608595	20608187	1.27e-135	486	AL08_v2_f
AL7G34290	scaffold_1_RagTag	87.136	412	39	5	1613	2012	20738654	20738245	3.59e-126	455	AL08_v2_f
AL7G34290	scaffold_6_RagTag	86.829	410	34	5	1612	2003	7060419	7060826	1.01e-121	440	AL08_v2_f
AL7G34290	scaffold_5_RagTag	85.432	405	31	11	1613	2009	3883753	3884137	2.21e-108	396	AL08_v2_f
AL7G34270	scaffold_7_RagTag	97.55	1592	19	5	1680	3251	9873922	9872331	0	2706	al1_v2_s
AL7G34270	scaffold_7_RagTag	98.016	1260	20	4	1	1258	9875568	9874312	0	2183	al1_v2_s
AL7G34270	scaffold_7_RagTag	88.41	673	45	17	16	659	9880302	9879634	0	780	al1_v2_s
AL7G34270	scaffold_7_RagTag	99.077	325	3	0	1264	1588	9874268	9873944	6.86e-165	584	al1_v2_s
AL7G34270	scaffold_7_RagTag	78.076	707	106	29	2562	3249	9869280	9868604	7.41e-110	401	al1_v2_s
AL7G34270	scaffold_7_RagTag	91.489	282	23	1	1284	1565	9879530	9879250	2.08e-105	387	al1_v2_s
AL7G34270	scaffold_7_RagTag	74.638	414	87	14	2562	2964	9857155	9856749	2.94e-39	167	al1_v2_s
AL7G34270	scaffold_7_RagTag	93.814	97	6	0	1149	1245	9879630	9879534	3.84e-33	147	al1_v2_s
AL7G34270	scaffold_7_RagTag	100	43	0	0	1441	1483	9874311	9874269	3.95e-13	80.5	al1_v2_s
AL7G34280	scaffold_7_RagTag	99.261	812	5	1	1	812	9870864	9870054	0	1465	al1_v2_s
AL7G34280	scaffold_7_RagTag	98.128	748	5	5	955	1696	9869346	9868602	0	1295	al1_v2_s
AL7G34280	scaffold_7_RagTag	80.446	762	131	16	56	807	9873825	9873072	1.26e-159	566	al1_v2_s
AL7G34280	scaffold_7_RagTag	78.218	707	110	27	1018	1694	9873025	9872333	1.74e-113	412	al1_v2_s
AL7G34290	scaffold_7_RagTag	98.639	1617	15	6	1	1612	9858290	9856676	0	2857	al1_v2_s
AL7G34290	scaffold_7_RagTag	99.157	356	2	1	2010	2365	9856683	9856329	0	640	al1_v2_s
AL7G34290	scaffold_7_RagTag	75.061	409	90	10	1138	1540	9873025	9872623	2.7e-43	180	al1_v2_s
AL7G34290	scaffold_4_RagTag	94.189	413	12	3	1609	2009	17494357	17494769	1.34e-175	619	al1_v2_s
AL7G34290	scaffold_8_RagTag	97.554	327	6	2	1686	2010	22346727	22346401	2.96e-157	558	al1_v2_s
AL7G34290	scaffold_8_RagTag	96.512	86	3	0	1613	1698	22346824	22346739	3.54e-32	143	al1_v2_s
AL7G34290	scaffold_2_RagTag	96.308	325	10	2	1686	2009	20878960	20878637	1.8e-149	532	al1_v2_s
AL7G34290	scaffold_2_RagTag	93.506	77	5	0	1609	1685	20879063	20878987	7.71e-24	115	al1_v2_s
AL7G34270	scaffold_7_RagTag	94.614	2525	68	28	20	2503	9964725	9967222	0	3847	AL27_v1
AL7G34270	scaffold_7_RagTag	96.496	685	10	4	2531	3202	9967221	9967904	0	1120	AL27_v1
AL7G34270	scaffold_7_RagTag	87.685	674	50	18	16	658	9959598	9960269	0	754	AL27_v1
