qseqid	sseqid	pident	length	mismatch	gapopen	qstart	qend	sstart	send	evalue	bitscore	stitle
AL8G19400	scaffold_8_RagTag	96.063	381	13	1	1	379	5862692	5862312	1.98e-176	619	73_3a_fixed_genome_15_1_24
AL8G19400	scaffold_8_RagTag	95.515	379	16	1	1	379	5814718	5815095	5.55e-172	604	73_3a_fixed_genome_15_1_24
AL8G19400	scaffold_8_RagTag	90.862	383	25	3	1	377	5822382	5822760	5.79e-142	505	73_3a_fixed_genome_15_1_24
AL8G19400	scaffold_8_RagTag	80.519	385	41	14	1	365	5809021	5809391	1.07e-69	265	73_3a_fixed_genome_15_1_24
AL8G19410	scaffold_8_RagTag	96.588	381	11	1	1	379	5862692	5862312	9.16e-180	630	73_3a_fixed_genome_15_1_24
AL8G19410	scaffold_8_RagTag	96.042	379	14	1	1	379	5814718	5815095	2.57e-175	616	73_3a_fixed_genome_15_1_24
AL8G19410	scaffold_8_RagTag	91.384	383	23	3	1	377	5822382	5822760	2.68e-145	516	73_3a_fixed_genome_15_1_24
AL8G19410	scaffold_8_RagTag	81.299	385	38	14	1	365	5809021	5809391	1.06e-74	281	73_3a_fixed_genome_15_1_24
AL8G19420	scaffold_8_RagTag	96.588	381	12	1	1	380	5862692	5862312	9.19e-180	630	73_3a_fixed_genome_15_1_24
AL8G19420	scaffold_8_RagTag	95.526	380	15	1	1	380	5814718	5815095	1.55e-172	606	73_3a_fixed_genome_15_1_24
AL8G19420	scaffold_8_RagTag	91.123	383	25	2	1	378	5822382	5822760	1.25e-143	510	73_3a_fixed_genome_15_1_24
AL8G19430	scaffold_8_RagTag	96.579	380	12	1	1	380	5822382	5822760	3.32e-179	628	73_3a_fixed_genome_15_1_24
AL8G19430	scaffold_8_RagTag	91.579	380	23	3	7	382	5862686	5862312	2.7e-145	516	73_3a_fixed_genome_15_1_24
AL8G19430	scaffold_8_RagTag	90.415	386	25	5	1	382	5814718	5815095	9.78e-140	497	73_3a_fixed_genome_15_1_24
AL8G19430	scaffold_8_RagTag	79.784	371	38	17	18	368	5809038	5809391	8.47e-61	235	73_3a_fixed_genome_15_1_24
AL8G19452	scaffold_8_RagTag	98.163	381	7	0	1	381	5862312	5862692	0	665	73_3a_fixed_genome_15_1_24
AL8G19452	scaffold_8_RagTag	94.488	381	18	1	1	381	5815095	5814718	7.28e-166	584	73_3a_fixed_genome_15_1_24
AL8G19452	scaffold_8_RagTag	90.365	384	27	3	3	381	5822760	5822382	3.51e-139	496	73_3a_fixed_genome_15_1_24
AL8G19452	scaffold_8_RagTag	80.779	385	42	17	15	381	5809391	5809021	6.43e-72	272	73_3a_fixed_genome_15_1_24
AL8G19400	scaffold_8_RagTag	97.632	380	8	1	1	379	5979533	5979912	0	651	AL08_v2_f
AL8G19400	scaffold_8_RagTag	96.588	381	11	1	1	379	6011872	6011492	8.4e-180	630	AL08_v2_f
AL8G19400	scaffold_8_RagTag	90.933	386	24	3	1	379	5998817	5999198	4.11e-143	508	AL08_v2_f
AL8G19410	scaffold_8_RagTag	98.158	380	6	1	1	379	5979533	5979912	0	662	AL08_v2_f
AL8G19410	scaffold_8_RagTag	97.113	381	9	1	1	379	6011872	6011492	0	641	AL08_v2_f
AL8G19410	scaffold_8_RagTag	91.451	386	22	3	1	379	5998817	5999198	1.9e-146	520	AL08_v2_f
AL8G19420	scaffold_8_RagTag	98.158	380	7	0	1	380	5979533	5979912	0	664	AL08_v2_f
AL8G19420	scaffold_8_RagTag	97.113	381	10	1	1	380	6011872	6011492	0	641	AL08_v2_f
AL8G19420	scaffold_8_RagTag	91.451	386	23	3	1	380	5998817	5999198	5.29e-147	521	AL08_v2_f
AL8G19430	scaffold_8_RagTag	98.429	382	6	0	1	382	5998817	5999198	0	673	AL08_v2_f
AL8G19430	scaffold_8_RagTag	92.746	386	18	3	1	382	5979533	5979912	2.44e-155	549	AL08_v2_f
AL8G19430	scaffold_8_RagTag	91.842	380	22	2	7	382	6011866	6011492	5.32e-147	521	AL08_v2_f
AL8G19452	scaffold_8_RagTag	98.688	381	5	0	1	381	6011492	6011872	0	676	AL08_v2_f
AL8G19452	scaffold_8_RagTag	97.113	381	10	1	1	381	5979912	5979533	0	641	AL08_v2_f
AL8G19452	scaffold_8_RagTag	90.933	386	26	2	1	381	5999198	5998817	1.15e-143	510	AL08_v2_f
AL8G19400	scaffold_8_RagTag	78.4	375	59	14	1	361	6698666	6699032	1.86e-57	224	al1_v2_s
AL8G19400	scaffold_8_RagTag	77.105	380	62	14	1	361	6717358	6717731	4.05e-49	196	al1_v2_s
AL8G19400	scaffold_2_RagTag	87.5	192	17	6	191	379	14151580	14151767	1.12e-54	215	al1_v2_s
AL8G19410	scaffold_8_RagTag	78.933	375	57	14	1	361	6698666	6699032	8.57e-61	235	al1_v2_s
AL8G19410	scaffold_8_RagTag	77.632	380	60	14	1	361	6717358	6717731	1.87e-52	207	al1_v2_s
AL8G19410	scaffold_2_RagTag	87.5	192	17	6	191	379	14151580	14151767	1.12e-54	215	al1_v2_s
AL8G19420	scaffold_2_RagTag	88.021	192	17	5	191	380	14151580	14151767	6.69e-57	222	al1_v2_s
AL8G19430	scaffold_8_RagTag	77.834	397	60	17	1	382	6698665	6699048	2.42e-56	220	al1_v2_s
AL8G19430	scaffold_8_RagTag	76.943	386	56	15	1	364	6717357	6717731	6.83e-47	189	al1_v2_s
AL8G19452	scaffold_8_RagTag	78.372	393	63	14	1	381	6699048	6698666	8.62e-61	235	al1_v2_s
AL8G19452	scaffold_8_RagTag	77.368	380	63	12	19	381	6717731	6717358	2.43e-51	204	al1_v2_s
AL8G19400	scaffold_8_RagTag	97.368	380	9	1	1	379	5674305	5674684	0	645	AL27_v1
AL8G19400	scaffold_8_RagTag	96.57	379	13	0	1	379	5679843	5680221	3.04e-179	628	AL27_v1
AL8G19400	scaffold_8_RagTag	96.073	382	12	2	1	379	5704162	5703781	1.83e-176	619	AL27_v1
AL8G19400	scaffold_8_RagTag	90.649	385	26	3	1	379	5693866	5694246	1.92e-141	503	AL27_v1
AL8G19400	scaffold_8_RagTag	77.387	398	51	21	1	365	5672031	5672422	2.82e-50	200	AL27_v1
AL8G19410	scaffold_8_RagTag	97.895	380	7	1	1	379	5674305	5674684	0	656	AL27_v1
AL8G19410	scaffold_8_RagTag	97.098	379	11	0	1	379	5679843	5680221	0	640	AL27_v1
AL8G19410	scaffold_8_RagTag	96.597	382	10	2	1	379	5704162	5703781	8.44e-180	630	AL27_v1
AL8G19410	scaffold_8_RagTag	91.169	385	24	3	1	379	5693866	5694246	8.87e-145	514	AL27_v1
AL8G19410	scaffold_8_RagTag	78.141	398	48	20	1	365	5672031	5672422	2.8e-55	217	AL27_v1
AL8G19420	scaffold_8_RagTag	97.895	380	8	0	1	380	5674305	5674684	0	658	AL27_v1
AL8G19420	scaffold_8_RagTag	96.597	382	11	2	1	380	5704162	5703781	2.35e-180	632	AL27_v1
AL8G19420	scaffold_8_RagTag	96.579	380	12	1	1	380	5679843	5680221	3.04e-179	628	AL27_v1
AL8G19420	scaffold_8_RagTag	90.909	385	26	2	1	380	5693866	5694246	4.14e-143	508	AL27_v1
AL8G19430	scaffold_8_RagTag	96.335	382	13	1	1	382	5693866	5694246	1.1e-178	627	AL27_v1
AL8G19430	scaffold_8_RagTag	91.969	386	21	3	1	382	5674305	5674684	2.47e-150	532	AL27_v1
AL8G19430	scaffold_8_RagTag	91.451	386	22	5	1	382	5679843	5680221	1.92e-146	520	AL27_v1
AL8G19430	scaffold_8_RagTag	91.601	381	22	4	7	382	5704156	5703781	6.92e-146	518	AL27_v1
AL8G19430	scaffold_8_RagTag	77.475	404	44	25	1	368	5672030	5672422	1.02e-49	198	AL27_v1
AL8G19452	scaffold_8_RagTag	98.168	382	6	1	1	381	5703781	5704162	0	665	AL27_v1
AL8G19452	scaffold_8_RagTag	96.85	381	11	1	1	381	5674684	5674305	0	636	AL27_v1
AL8G19452	scaffold_8_RagTag	95.538	381	15	1	1	381	5680221	5679843	3.98e-173	608	AL27_v1
AL8G19452	scaffold_8_RagTag	90.155	386	28	3	1	381	5694246	5693866	1.16e-138	494	AL27_v1
AL8G19452	scaffold_8_RagTag	78.392	398	49	22	15	381	5672422	5672031	1.68e-57	224	AL27_v1
AL8G19400	scaffold_8	97.368	380	9	1	1	379	5751187	5751566	0	645	ALR.ragtag.scaffold_chr_15_1_24.masked
AL8G19400	scaffold_8	96.073	382	12	2	1	379	5786550	5786169	1.97e-176	619	ALR.ragtag.scaffold_chr_15_1_24.masked
AL8G19400	scaffold_8	96.042	379	14	1	1	379	5756732	5757109	2.55e-175	616	ALR.ragtag.scaffold_chr_15_1_24.masked
AL8G19400	scaffold_8	90.601	383	26	3	1	377	5764854	5765232	2.68e-140	499	ALR.ragtag.scaffold_chr_15_1_24.masked
AL8G19400	scaffold_8	77.136	398	52	21	1	365	5748912	5749303	1.41e-48	195	ALR.ragtag.scaffold_chr_15_1_24.masked
