"short_func.x","func_cat.x","family_id","estimate","std.error","statistic","p.value","r.squared","adj.r.squared","env_var","q.value","sig_class","short_func.y","func_cat.y","y_lab"
"Glycosyltransferase","Biosynthesis & Metabolism","OG0000039",-0.285774526529042,0.0940631622178318,-3.03811311241317,0.00288219773941396,0.0889414574118474,0.067754049444681,"bio3",0.0377087537573327,"FDR","Glycosyltransferase","Biosynthesis & Metabolism","<span style='color:#F8766D;'>Glycosyltransferase</span>"
"Rossmann enzyme (senescence)","Defense & Stress response","OG0000126",-0.516173283759965,0.0869956263288593,-5.93332453069234,2.56754082800741e-08,0.220704849845936,0.202581706819097,"bio3",4.03103909997163e-06,"FDR","Rossmann enzyme (senescence)","Defense & Stress response","<span style='color:#D89000;'>Rossmann enzyme (senescence)</span>"
"RPP receptor-like protein","Defense & Stress response","OG0000210",-0.304307904148132,0.0943888865580706,-3.22398022950418,0.00160143336654738,0.082620858799353,0.0612864601667797,"bio3",0.0318691428046199,"FDR","RPP receptor-like protein","Defense & Stress response","<span style='color:#D89000;'>RPP receptor-like protein</span>"
"RRM RNA-binding protein","Defense & Stress response","OG0000242",-0.294002022249236,0.0933356276397667,-3.14994423548477,0.00202988170730063,0.102980178839486,0.0821192527659858,"bio3",0.0318691428046199,"FDR","RRM RNA-binding protein","Defense & Stress response","<span style='color:#D89000;'>RRM RNA-binding protein</span>"
"Receptor-like protein","Defense & Stress response","OG0000184",-0.316480075029982,0.0874319005420603,-3.6197323067195,0.00042225345760437,0.201712197030501,0.183147364403303,"bio13",0.00797035078258584,"FDR","Receptor-like protein","Defense & Stress response","<span style='color:#D89000;'>Receptor-like protein</span>"
"F-box ubiquitination factor","Defense & Stress response","OG0000513",-0.550562116173951,0.0742160484150138,-7.41837012252693,1.40562305489892e-11,0.424804725176841,0.411428090878628,"bio13",2.2068281961913e-09,"FDR","F-box ubiquitination factor","Defense & Stress response","<span style='color:#D89000;'>F-box ubiquitination factor</span>"
"Serpin inhibitor","Defense & Stress response","OG0001395",-0.332738535197482,0.092499626359371,-3.59718788381649,0.000456899089447596,0.106489597965091,0.0857102862898605,"bio13",0.00797035078258584,"FDR","Serpin inhibitor","Defense & Stress response","<span style='color:#D89000;'>Serpin inhibitor</span>"
"PR thionin protein","Defense & Stress response","OG0000228",0.42854249410742,0.0815449198241077,5.25529358581485,5.94345915334707e-07,0.336749498301663,0.321325068029608,"bio15",2.33280771768873e-05,"FDR","PR thionin protein","Defense & Stress response","<span style='color:#D89000;'>PR thionin protein</span>"
"MBOAT acyltransferase","Defense & Stress response","OG0000298",-0.436825531389665,0.0923344777059658,-4.73090379934473,5.7791419129654e-06,0.149622891305294,0.129846679475184,"bio15",0.000181465056067114,"FDR","MBOAT acyltransferase","Defense & Stress response","<span style='color:#D89000;'>MBOAT acyltransferase</span>"
"C1 domain protein","Defense & Stress response","OG0000329",0.279435698975985,0.0926737916256185,3.01526131686554,0.00309276799916355,0.143361417275581,0.123439589770362,"bio15",0.0393418004892949,"FDR","C1 domain protein","Defense & Stress response","<span style='color:#D89000;'>C1 domain protein</span>"
"Plant defensin","Defense & Stress response","OG0000534",-0.327300755663135,0.094825502272152,-3.45161109427896,0.00075390472258226,0.103120555538513,0.0822628940394082,"bio15",0.0169090059207735,"FDR","Plant defensin","Defense & Stress response","<span style='color:#D89000;'>Plant defensin</span>"
"Mannose-binding lectin","Defense & Stress response","OG0001688",0.278593721061971,0.0936731863313349,2.97410317693846,0.00350818603089254,0.12478580380267,0.104431985286453,"bio15",0.0393418004892949,"FDR","Mannose-binding lectin","Defense & Stress response","<span style='color:#D89000;'>Mannose-binding lectin</span>"
"DOR F-box regulator","Defense & Stress response","OG0000150",0.283730975024237,0.0797278934965426,3.55874164713182,0.000522246951123527,0.291139517349087,0.274654389845577,"bio18",0.0409963856631969,"FDR","DOR F-box regulator","Defense & Stress response","<span style='color:#D89000;'>DOR F-box regulator</span>"
"L-type lectin receptor kinase","Defense & Stress response","OG0001019",0.269177213462394,0.0851714285243628,3.16041679852061,0.00196340900631464,0.0719766853415923,0.0503947477913967,"soc_5.15cm_Q0.5_250m",0.036435281238722,"FDR","L-type lectin receptor kinase","Defense & Stress response","<span style='color:#D89000;'>L-type lectin receptor kinase</span>"
"F-box/Skp2-like LRR","Defense & Stress response","OG0003730",-0.332259402605145,0.0830243720570482,-4.00195020296981,0.000105317533376415,0.118175373011899,0.097667823547059,"soc_5.15cm_Q0.5_250m",0.00461803379436283,"FDR","F-box/Skp2-like LRR","Defense & Stress response","<span style='color:#D89000;'>F-box/Skp2-like LRR</span>"
"RRM RNA-binding protein","Genetic Information & Regulation","OG0000319",-0.306260889732812,0.0937036441158425,-3.2683989253843,0.00138648568788768,0.0958924482641517,0.0748666912470389,"bio3",0.0318691428046199,"FDR","RRM RNA-binding protein","Genetic Information & Regulation","<span style='color:#A3A500;'>RRM RNA-binding protein</span>"
