"family_id","estimate","std.error","statistic","p.value","r.squared","adj.r.squared","env_var","q.value"
"OG0000009",-0.0706713578707839,0.0976050349977031,-0.724054428877024,0.470343376049076,0.0190393690255529,-0.00377366890408548,"bio3",0.778303913840759
"OG0000012",-0.109524021439393,0.0947096610909218,-1.1564186818729,0.24964704504496,0.0763749561687235,0.0548953039866007,"bio3",0.62043393640411
"OG0000015",-0.184487970983135,0.0967834072406118,-1.90619421492862,0.0588495401936589,0.0354850808996196,0.0130545013856573,"bio3",0.318533457137838
"OG0000016",-0.11365293387559,0.0877134265660397,-1.29573017866336,0.197382141862695,0.20779187984759,0.189368435192882,"bio3",0.564777531365368
"OG0000022",-0.061090287423906,0.0971034318640458,-0.62912593562541,0.530379135376971,0.0290959930334643,0.00651683008075399,"bio3",0.805460251954575
"OG0000024",-0.172834812973625,0.0959195840442666,-1.8018720024251,0.0739008641361886,0.0526254611897507,0.0305934951709076,"bio3",0.34687744749039
"OG0000027",-0.0454995692906629,0.0858028435342083,-0.530280436131734,0.596829124069961,0.241927928987113,0.224298345940302,"bio3",0.851837931627127
"OG0000029",-0.0693972675279429,0.0945776954450123,-0.733759341474868,0.464426912264492,0.0789470667088107,0.057527231050876,"bio3",0.778303913840759
"OG0000030",-0.160479269507615,0.0954221260196716,-1.68178258231777,0.0950303283557558,0.0624265252344758,0.0406224909376031,"bio3",0.355232417901278
"OG0000039",-0.285774526529042,0.0940631622178318,-3.03811311241317,0.00288219773941396,0.0889414574118474,0.067754049444681,"bio3",0.0377087537573327
"OG0000040",-0.295551588151947,0.0948969096007319,-3.11444903101109,0.00227103583813242,0.0727191859661659,0.0511545158723558,"bio3",0.0324138751442536
"OG0000042",0.0870884455356588,0.0964635256035023,0.902812176838961,0.368308292504119,0.0418502369402887,0.019567684310993,"bio3",0.760847393725614
"OG0000045",0.0435270505965918,0.060461233613459,0.719916680411603,0.472878644182575,0.623590008313656,0.614836287576764,"bio3",0.778303913840759
"OG0000046",-0.00602868138422916,0.098360330109351,-0.0612917969828572,0.951221682735958,0.00379873164729983,-0.0193687397097397,"bio3",0.971216215411332
"OG0000047",0.0134408770787741,0.0900582450366937,0.14924649123795,0.881592209915158,0.164869981889759,0.145448353561614,"bio3",0.951687358806132
"OG0000049",-0.36445724090391,0.0915398616042573,-3.9814047619989,0.000113756106719786,0.137165229246043,0.117099304344788,"bio3",0.00892985437750319
"OG0000054",-0.0130296324551783,0.096380957540286,-0.135188867051171,0.892673265239409,0.0434897936839514,0.0212453702812525,"bio3",0.951687358806132
"OG0000060",-0.0636931219075544,0.0908211795114983,-0.70130251831282,0.484377445679632,0.150660326597774,0.130908241169815,"bio3",0.778303913840759
"OG0000065",-0.0703545959845197,0.0905036322796082,-0.777367650473534,0.438365156615032,0.156589207162713,0.136975002678125,"bio3",0.778303913840759
"OG0000074",0.164935621665546,0.0967316872867189,1.70508368345386,0.0905858302363438,0.0365156571040956,0.0141090444786094,"bio3",0.34687744749039
"OG0000075",-0.0240445625031089,0.0983175434159599,-0.244560244974609,0.807185522281242,0.0046652372280315,-0.0184820828364329,"bio3",0.918319760856195
"OG0000077",0.140474124401779,0.0958299366369018,1.46586890622743,0.145117308047174,0.0543954851945769,0.0324046825246833,"bio3",0.451411006511673
