family_id	p_value	mean_sp1	mean_sp2	logFC	FDR	var_copy_AL	var_copy_AT	cv_AL	cv_AT	between_sig_fdr05	between_sig_p05	within_var_sp1	within_var_sp2
OG0000007	4.04774147125713e-35	3	1	-1	3.05194454391829e-34	0	0	0	0	TRUE	TRUE	FALSE	FALSE
OG0000009	1.30712420997059e-17	30.7067669172932	22.3809523809524	-0.439457079242011	2.34639509822589e-17	2.44761904761905	0.254272043745728	0.0699026031335949	0.0164215903625765	TRUE	TRUE	TRUE	TRUE
OG0000012	5.43046354677015e-05	29.218045112782	34.047619047619	0.213906106720697	5.85848037804267e-05	28.0476190476191	2.67179311916154	0.155546861597617	0.0559435804479586	TRUE	TRUE	TRUE	TRUE
OG0000015	1.53374912493491e-06	16.6766917293233	13.6666666666667	-0.269307270235691	1.68789476563189e-06	7.43333333333333	1.59922533606744	0.199493707772473	0.0758306764143385	TRUE	TRUE	TRUE	TRUE
OG0000016	1.42896617291809e-13	31.8421052631579	50.6190476190476	0.652356913156449	1.8300794846144e-13	14.8476190476191	5.2097288676236	0.0761227445854446	0.071681285827085	TRUE	TRUE	TRUE	TRUE
OG0000022	0.3632472945078	15.8721804511278	15.5714285714286	-0.0259484520376352	0.368292395820408	1.35714285714286	0.142629300524037	0.0748142496802757	0.0237940178932653	FALSE	FALSE	TRUE	TRUE
OG0000024	9.42758441033824e-13	15.5112781954887	25.3333333333333	0.673438343951938	1.14068562754921e-12	10.3333333333333	7.02449305080884	0.126890141592013	0.170867673652814	TRUE	TRUE	TRUE	TRUE
OG0000027	5.28943696842106e-14	22.0375939849624	11.6666666666667	-0.862953133701338	7.28545091876863e-14	1.53333333333333	1.50615174299385	0.106138146405753	0.0556890984152895	TRUE	TRUE	TRUE	TRUE
OG0000029	1.85421450555424e-17	9.54887218045113	28.8571428571429	1.50098735190457	3.30140631476731e-17	15.2285714285714	0.673729778992936	0.135230997932006	0.0859588886354216	TRUE	TRUE	TRUE	TRUE
OG0000030	3.93591591603306e-15	21.3458646616541	11.0952380952381	-0.885568701044001	5.98587212230027e-15	0.69047619047619	0.621895648211438	0.074892396423241	0.0369440928731052	TRUE	TRUE	TRUE	TRUE
OG0000038	1.60112653767866e-24	1	1.71428571428571	0.440572591385981	3.54188597728917e-24	0.214285714285714	0	0.270030862433661	0	TRUE	TRUE	FALSE	TRUE
OG0000039	3.97377476190866e-24	11.0977443609023	16.5238095238095	0.534578358055996	8.53192816527448e-24	2.06190476190476	0.0888585099111416	0.086900869276333	0.0268605435354911	TRUE	TRUE	TRUE	TRUE
OG0000040	6.98367056593045e-14	15.1729323308271	11.7142857142857	-0.347130865013078	9.44088798727635e-14	2.01428571428571	0.507746639325587	0.12115594348312	0.0469628027559767	TRUE	TRUE	TRUE	TRUE
