family_id	n_total_copies	n_genes	n_assemblies	n_P	n_F	n_U	n_A	prop_P	prop_F	prop_U	prop_A	assemblies_with_P	assemblies_with_F	assemblies_with_U	assemblies_with_A	functional_nonpseudo	prop_functional_nonpseudo	prop_pseudogenized	prop_changed_among_nonpseudo
OG0000007	23	1	23	23	0	0	0	1.0	0.0	0.0	0.0	23	0	0	0	0	0.0	1.0	
OG0000009	493	25	22	357	54	63	19	0.7241379310344828	0.10953346855983773	0.12778904665314403	0.038539553752535496	22	22	22	19	117	0.23732251521298176	0.7241379310344828	0.46153846153846156
OG0000012	740	26	22	601	8	57	74	0.8121621621621622	0.010810810810810811	0.07702702702702703	0.1	22	6	22	22	65	0.08783783783783784	0.8121621621621622	0.12307692307692308
OG0000015	303	18	23	178	8	55	62	0.5874587458745875	0.026402640264026403	0.18151815181518152	0.20462046204620463	23	8	23	22	63	0.2079207920792079	0.5874587458745875	0.12698412698412698
OG0000016	1109	31	22	551	188	365	5	0.49684400360685305	0.16952209197475204	0.3291253381424707	0.004508566275924256	22	22	22	5	553	0.49864743011722273	0.49684400360685305	0.3399638336347197
OG0000022	343	16	22	163	11	169	0	0.4752186588921283	0.03206997084548105	0.49271137026239065	0.0	22	7	22	0	180	0.5247813411078717	0.4752186588921283	0.06111111111111111
OG0000024	553	25	23	306	35	165	47	0.5533453887884268	0.06329113924050633	0.298372513562387	0.08499095840867993	22	15	23	22	200	0.3616636528028933	0.5533453887884268	0.175
OG0000027	258	13	22	143	7	104	4	0.5542635658914729	0.027131782945736434	0.40310077519379844	0.015503875968992248	22	6	22	4	111	0.43023255813953487	0.5542635658914729	0.06306306306306306
OG0000029	631	34	22	292	44	287	8	0.46275752773375595	0.06973058637083994	0.4548335974643423	0.012678288431061807	22	20	22	8	331	0.5245641838351822	0.46275752773375595	0.13293051359516617
OG0000030	244	11	22	131	10	100	3	0.5368852459016393	0.040983606557377046	0.4098360655737705	0.012295081967213115	22	7	22	3	110	0.45081967213114754	0.5368852459016393	0.09090909090909091
OG0000038	37	2	22	35	0	2	0	0.9459459459459459	0.0	0.05405405405405406	0.0	21	0	1	0	2	0.05405405405405406	0.9459459459459459	0.0
OG0000039	362	16	22	362	0	0	0	1.0	0.0	0.0	0.0	22	0	0	0	0	0.0	1.0	
