family_id	final_status	n	total_n	prop
OG0000007	P	23	23	1.0
OG0000009	A	19	493	0.038539553752535496
OG0000009	F	54	493	0.10953346855983773
OG0000009	P	357	493	0.7241379310344828
OG0000009	U	63	493	0.12778904665314403
OG0000012	A	74	740	0.1
OG0000012	F	8	740	0.010810810810810811
OG0000012	P	601	740	0.8121621621621622
OG0000012	U	57	740	0.07702702702702703
OG0000015	A	62	303	0.20462046204620463
OG0000015	F	8	303	0.026402640264026403
OG0000015	P	178	303	0.5874587458745875
OG0000015	U	55	303	0.18151815181518152
OG0000016	A	5	1109	0.004508566275924256
OG0000016	F	188	1109	0.16952209197475204
OG0000016	P	551	1109	0.49684400360685305
OG0000016	U	365	1109	0.3291253381424707
OG0000022	F	11	343	0.03206997084548105
OG0000022	P	163	343	0.4752186588921283
OG0000022	U	169	343	0.49271137026239065
OG0000024	A	47	553	0.08499095840867993
OG0000024	F	35	553	0.06329113924050633
OG0000024	P	306	553	0.5533453887884268
OG0000024	U	165	553	0.298372513562387
OG0000027	A	4	258	0.015503875968992248
OG0000027	F	7	258	0.027131782945736434
OG0000027	P	143	258	0.5542635658914729
OG0000027	U	104	258	0.40310077519379844
OG0000029	A	8	631	0.012678288431061807
OG0000029	F	44	631	0.06973058637083994
OG0000029	P	292	631	0.46275752773375595
OG0000029	U	287	631	0.4548335974643423
OG0000030	A	3	244	0.012295081967213115
OG0000030	F	10	244	0.040983606557377046
OG0000030	P	131	244	0.5368852459016393
OG0000030	U	100	244	0.4098360655737705
OG0000038	P	35	37	0.9459459459459459
OG0000038	U	2	37	0.05405405405405406
OG0000039	P	362	362	1.0
OG0000040	A	1	258	0.003875968992248062
OG0000040	F	18	258	0.06976744186046512
OG0000040	P	61	258	0.2364341085271318
OG0000040	U	178	258	0.689922480620155
OG0000042	A	18	359	0.05013927576601671
OG0000042	F	35	359	0.09749303621169916
OG0000042	P	247	359	0.6880222841225627
OG0000042	U	59	359	0.16434540389972144
OG0000045	A	15	122	0.12295081967213115
OG0000045	P	73	122	0.5983606557377049
OG0000045	U	34	122	0.2786885245901639
OG0000046	A	3	380	0.007894736842105263
OG0000046	F	31	380	0.08157894736842106
OG0000046	P	125	380	0.32894736842105265
OG0000046	U	221	380	0.5815789473684211
OG0000047	F	2	321	0.006230529595015576
OG0000047	P	202	321	0.6292834890965732
OG0000047	U	117	321	0.3644859813084112
OG0000049	A	57	532	0.10714285714285714
OG0000049	F	8	532	0.015037593984962405
OG0000049	P	215	532	0.4041353383458647
OG0000049	U	252	532	0.47368421052631576
OG0000054	A	23	199	0.11557788944723618
OG0000054	F	6	199	0.03015075376884422
OG0000054	P	132	199	0.6633165829145728
OG0000054	U	38	199	0.19095477386934673
OG0000060	A	65	605	0.10743801652892562
OG0000060	F	54	605	0.08925619834710743
OG0000060	P	406	605	0.6710743801652893
OG0000060	U	80	605	0.1322314049586777
OG0000065	A	28	200	0.14
OG0000065	F	3	200	0.015
OG0000065	P	149	200	0.745
OG0000065	U	20	200	0.1
OG0000075	P	21	21	1.0
OG0000077	A	3	147	0.02040816326530612
OG0000077	F	1	147	0.006802721088435374
OG0000077	P	117	147	0.7959183673469388
OG0000077	U	26	147	0.17687074829931973
OG0000083	F	2	37	0.05405405405405406
OG0000083	P	19	37	0.5135135135135135
OG0000083	U	16	37	0.43243243243243246
OG0000086	A	1	67	0.014925373134328358
OG0000086	P	24	67	0.3582089552238806
OG0000086	U	42	67	0.6268656716417911
OG0000087	A	22	162	0.13580246913580246
OG0000087	F	10	162	0.06172839506172839
OG0000087	P	105	162	0.6481481481481481
OG0000087	U	25	162	0.15432098765432098
OG0000090	A	11	168	0.06547619047619048
OG0000090	F	2	168	0.011904761904761904
OG0000090	P	98	168	0.5833333333333334
OG0000090	U	57	168	0.3392857142857143
OG0000093	A	1	34	0.029411764705882353
OG0000093	P	27	34	0.7941176470588235
OG0000093	U	6	34	0.17647058823529413
OG0000095	P	35	38	0.9210526315789473
OG0000095	U	3	38	0.07894736842105263
OG0000096	A	1	58	0.017241379310344827
OG0000096	F	4	58	0.06896551724137931
OG0000096	P	32	58	0.5517241379310345
OG0000096	U	21	58	0.3620689655172414
OG0000100	F	4	21	0.19047619047619047
OG0000100	P	11	21	0.5238095238095238
OG0000100	U	6	21	0.2857142857142857
OG0000103	A	22	124	0.1774193548387097
OG0000103	F	2	124	0.016129032258064516
OG0000103	P	85	124	0.6854838709677419
OG0000103	U	15	124	0.12096774193548387
OG0000106	A	8	402	0.01990049751243781
OG0000106	F	57	402	0.1417910447761194
OG0000106	P	126	402	0.31343283582089554
OG0000106	U	211	402	0.5248756218905473
OG0000107	F	16	336	0.047619047619047616
OG0000107	P	178	336	0.5297619047619048
OG0000107	U	142	336	0.4226190476190476
OG0000118	A	2	48	0.041666666666666664
OG0000118	P	22	48	0.4583333333333333
OG0000118	U	24	48	0.5
OG0000126	A	8	212	0.03773584905660377
OG0000126	F	12	212	0.05660377358490566
OG0000126	P	135	212	0.6367924528301887
OG0000126	U	57	212	0.2688679245283019
OG0000141	F	1	39	0.02564102564102564
OG0000141	P	35	39	0.8974358974358975
OG0000141	U	3	39	0.07692307692307693
OG0000142	F	2	84	0.023809523809523808
OG0000142	P	10	84	0.11904761904761904
OG0000142	U	72	84	0.8571428571428571
OG0000147	F	3	173	0.017341040462427744
OG0000147	P	146	173	0.8439306358381503
OG0000147	U	24	173	0.13872832369942195
OG0000150	F	11	258	0.04263565891472868
OG0000150	P	146	258	0.5658914728682171
OG0000150	U	101	258	0.39147286821705424
OG0000158	P	23	23	1.0
OG0000159	F	39	172	0.22674418604651161
OG0000159	P	110	172	0.6395348837209303
OG0000159	U	23	172	0.13372093023255813
OG0000164	P	179	179	1.0
OG0000166	A	3	428	0.007009345794392523
OG0000166	F	24	428	0.056074766355140186
OG0000166	P	228	428	0.5327102803738317
OG0000166	U	173	428	0.40420560747663553
OG0000167	P	91	151	0.6026490066225165
OG0000167	U	60	151	0.3973509933774834
OG0000170	F	1013	3731	0.271508978826052
OG0000170	P	947	3731	0.25381935138032696
OG0000170	U	1771	3731	0.474671669793621
OG0000182	A	6	427	0.01405152224824356
OG0000182	F	25	427	0.0585480093676815
OG0000182	P	286	427	0.6697892271662763
OG0000182	U	110	427	0.2576112412177986
OG0000184	F	20	326	0.06134969325153374
OG0000184	P	231	326	0.7085889570552147
OG0000184	U	75	326	0.23006134969325154
OG0000185	A	6	131	0.04580152671755725
OG0000185	F	18	131	0.13740458015267176
OG0000185	P	105	131	0.8015267175572519
OG0000185	U	2	131	0.015267175572519083
OG0000186	A	2	39	0.05128205128205128
OG0000186	P	37	39	0.9487179487179487
OG0000188	A	26	386	0.06735751295336788
OG0000188	F	19	386	0.04922279792746114
OG0000188	P	173	386	0.4481865284974093
OG0000188	U	168	386	0.43523316062176165
OG0000192	F	5	42	0.11904761904761904
OG0000192	P	2	42	0.047619047619047616
OG0000192	U	35	42	0.8333333333333334
OG0000196	F	1	85	0.011764705882352941
OG0000196	P	11	85	0.12941176470588237
OG0000196	U	73	85	0.8588235294117647
OG0000199	F	20	393	0.05089058524173028
OG0000199	P	84	393	0.21374045801526717
OG0000199	U	289	393	0.7353689567430025
OG0000200	A	1	372	0.002688172043010753
OG0000200	P	351	372	0.9435483870967742
OG0000200	U	20	372	0.053763440860215055
OG0000202	F	3	61	0.04918032786885246
OG0000202	P	34	61	0.5573770491803278
OG0000202	U	24	61	0.39344262295081966
OG0000206	F	3	134	0.022388059701492536
OG0000206	P	56	134	0.417910447761194
OG0000206	U	75	134	0.5597014925373134
OG0000207	A	22	251	0.08764940239043825
OG0000207	F	1	251	0.00398406374501992
OG0000207	P	220	251	0.8764940239043825
OG0000207	U	8	251	0.03187250996015936
OG0000210	F	4	61	0.06557377049180328
OG0000210	P	56	61	0.9180327868852459
OG0000210	U	1	61	0.01639344262295082
OG0000213	A	5	162	0.030864197530864196
OG0000213	F	2	162	0.012345679012345678
OG0000213	P	95	162	0.5864197530864198
OG0000213	U	60	162	0.37037037037037035
OG0000217	P	231	235	0.9829787234042553
OG0000217	U	4	235	0.01702127659574468
OG0000220	A	1	237	0.004219409282700422
OG0000220	F	16	237	0.06751054852320675
OG0000220	P	95	237	0.4008438818565401
OG0000220	U	125	237	0.5274261603375527
OG0000224	P	44	48	0.9166666666666666
OG0000224	U	4	48	0.08333333333333333
OG0000228	P	40	52	0.7692307692307693
OG0000228	U	12	52	0.23076923076923078
OG0000242	A	1	232	0.004310344827586207
OG0000242	F	11	232	0.04741379310344827
OG0000242	P	191	232	0.8232758620689655
OG0000242	U	29	232	0.125
OG0000253	A	1	175	0.005714285714285714
OG0000253	F	9	175	0.05142857142857143
OG0000253	P	55	175	0.3142857142857143
OG0000253	U	110	175	0.6285714285714286
OG0000255	A	10	1059	0.009442870632672332
OG0000255	F	6	1059	0.0056657223796034
OG0000255	P	926	1059	0.874409820585458
OG0000255	U	117	1059	0.11048158640226628
OG0000258	A	4	284	0.014084507042253521
OG0000258	F	7	284	0.02464788732394366
OG0000258	P	129	284	0.45422535211267606
OG0000258	U	144	284	0.5070422535211268
OG0000261	F	9	123	0.07317073170731707
OG0000261	P	70	123	0.5691056910569106
OG0000261	U	44	123	0.35772357723577236
OG0000264	F	5	212	0.02358490566037736
OG0000264	P	153	212	0.7216981132075472
OG0000264	U	54	212	0.25471698113207547
OG0000266	A	17	107	0.1588785046728972
OG0000266	F	7	107	0.06542056074766354
OG0000266	P	65	107	0.6074766355140186
OG0000266	U	18	107	0.16822429906542055
OG0000269	F	7	32	0.21875
OG0000269	P	25	32	0.78125
OG0000271	F	7	68	0.10294117647058823
OG0000271	P	26	68	0.38235294117647056
OG0000271	U	35	68	0.5147058823529411
OG0000272	A	10	22	0.45454545454545453
OG0000272	F	1	22	0.045454545454545456
OG0000272	P	8	22	0.36363636363636365
OG0000272	U	3	22	0.13636363636363635
OG0000276	A	34	166	0.20481927710843373
OG0000276	F	2	166	0.012048192771084338
OG0000276	P	118	166	0.7108433734939759
OG0000276	U	12	166	0.07228915662650602
OG0000297	A	1	55	0.01818181818181818
OG0000297	P	19	55	0.34545454545454546
OG0000297	U	35	55	0.6363636363636364
OG0000298	A	1	110	0.00909090909090909
OG0000298	F	1	110	0.00909090909090909
OG0000298	P	16	110	0.14545454545454545
OG0000298	U	92	110	0.8363636363636363
OG0000299	A	3	284	0.01056338028169014
OG0000299	F	11	284	0.03873239436619718
OG0000299	P	112	284	0.39436619718309857
OG0000299	U	158	284	0.5563380281690141
OG0000319	F	1	33	0.030303030303030304
OG0000319	P	18	33	0.5454545454545454
OG0000319	U	14	33	0.42424242424242425
OG0000320	A	12	37	0.32432432432432434
OG0000320	P	24	37	0.6486486486486487
OG0000320	U	1	37	0.02702702702702703
OG0000325	F	15	83	0.18072289156626506
OG0000325	P	8	83	0.0963855421686747
OG0000325	U	60	83	0.7228915662650602
OG0000329	P	2	11	0.18181818181818182
OG0000329	U	9	11	0.8181818181818182
OG0000338	A	1	300	0.0033333333333333335
OG0000338	F	4	300	0.013333333333333334
OG0000338	P	206	300	0.6866666666666666
OG0000338	U	89	300	0.2966666666666667
OG0000339	A	20	213	0.09389671361502347
OG0000339	F	10	213	0.046948356807511735
OG0000339	P	102	213	0.4788732394366197
OG0000339	U	81	213	0.38028169014084506
OG0000343	A	24	147	0.16326530612244897
OG0000343	F	13	147	0.08843537414965986
OG0000343	P	103	147	0.7006802721088435
OG0000343	U	7	147	0.047619047619047616
OG0000347	A	5	715	0.006993006993006993
OG0000347	F	39	715	0.05454545454545454
OG0000347	P	75	715	0.1048951048951049
OG0000347	U	596	715	0.8335664335664336
OG0000348	A	8	98	0.08163265306122448
OG0000348	F	9	98	0.09183673469387756
OG0000348	P	64	98	0.6530612244897959
OG0000348	U	17	98	0.17346938775510204
OG0000360	A	3	152	0.019736842105263157
OG0000360	F	13	152	0.08552631578947369
OG0000360	P	77	152	0.506578947368421
OG0000360	U	59	152	0.3881578947368421
OG0000361	F	47	247	0.1902834008097166
OG0000361	P	143	247	0.5789473684210527
OG0000361	U	57	247	0.23076923076923078
OG0000367	F	5	96	0.052083333333333336
OG0000367	P	61	96	0.6354166666666666
OG0000367	U	30	96	0.3125
OG0000372	P	55	108	0.5092592592592593
OG0000372	U	53	108	0.49074074074074076
OG0000375	U	23	23	1.0
OG0000382	A	31	170	0.18235294117647058
OG0000382	F	1	170	0.0058823529411764705
OG0000382	P	43	170	0.2529411764705882
OG0000382	U	95	170	0.5588235294117647
OG0000384	A	68	695	0.09784172661870504
OG0000384	F	2	695	0.0028776978417266188
OG0000384	P	565	695	0.8129496402877698
OG0000384	U	60	695	0.08633093525179857
OG0000385	P	6	20	0.3
OG0000385	U	14	20	0.7
OG0000386	A	7	230	0.030434782608695653
OG0000386	P	144	230	0.6260869565217392
OG0000386	U	79	230	0.34347826086956523
OG0000388	A	17	201	0.0845771144278607
OG0000388	F	1	201	0.004975124378109453
OG0000388	P	159	201	0.7910447761194029
OG0000388	U	24	201	0.11940298507462686
OG0000402	P	85	99	0.8585858585858586
OG0000402	U	14	99	0.1414141414141414
OG0000418	A	25	67	0.373134328358209
OG0000418	P	20	67	0.29850746268656714
OG0000418	U	22	67	0.3283582089552239
OG0000419	A	1	66	0.015151515151515152
OG0000419	F	4	66	0.06060606060606061
OG0000419	P	25	66	0.3787878787878788
OG0000419	U	36	66	0.5454545454545454
OG0000422	F	19	148	0.12837837837837837
OG0000422	P	46	148	0.3108108108108108
OG0000422	U	83	148	0.5608108108108109
OG0000432	A	2	23	0.08695652173913043
OG0000432	P	21	23	0.9130434782608695
OG0000434	F	1	165	0.006060606060606061
OG0000434	P	90	165	0.5454545454545454
OG0000434	U	74	165	0.4484848484848485
OG0000440	A	7	224	0.03125
OG0000440	F	2	224	0.008928571428571428
OG0000440	P	119	224	0.53125
OG0000440	U	96	224	0.42857142857142855
OG0000442	U	23	23	1.0
OG0000445	P	38	38	1.0
OG0000448	F	7	193	0.03626943005181347
OG0000448	P	139	193	0.7202072538860104
OG0000448	U	47	193	0.24352331606217617
OG0000452	P	1	10	0.1
OG0000452	U	9	10	0.9
OG0000453	U	23	23	1.0
OG0000473	P	12	22	0.5454545454545454
OG0000473	U	10	22	0.45454545454545453
OG0000496	P	21	42	0.5
OG0000496	U	21	42	0.5
OG0000500	P	38	40	0.95
OG0000500	U	2	40	0.05
OG0000501	A	1	196	0.00510204081632653
OG0000501	P	177	196	0.9030612244897959
OG0000501	U	18	196	0.09183673469387756
OG0000503	P	42	42	1.0
OG0000504	P	32	37	0.8648648648648649
