family_id	n_total_copies	n_genes	n_assemblies	n_P	n_F	n_U	n_A	prop_P	prop_F	prop_U	prop_A	assemblies_with_P	assemblies_with_F	assemblies_with_U	assemblies_with_A
OG0000007	23	1	23	23	0	0	0	1.0	0.0	0.0	0.0	23	0	0	0
OG0000009	493	25	22	357	54	63	19	0.7241379310344828	0.10953346855983773	0.12778904665314403	0.038539553752535496	22	22	22	19
OG0000012	740	26	22	601	8	57	74	0.8121621621621622	0.010810810810810811	0.07702702702702703	0.1	22	6	22	22
OG0000015	303	18	23	178	8	55	62	0.5874587458745875	0.026402640264026403	0.18151815181518152	0.20462046204620463	23	8	23	22
OG0000016	1109	31	22	551	188	365	5	0.49684400360685305	0.16952209197475204	0.3291253381424707	0.004508566275924256	22	22	22	5
OG0000022	343	16	22	163	11	169	0	0.4752186588921283	0.03206997084548105	0.49271137026239065	0.0	22	7	22	0
OG0000024	553	25	23	306	35	165	47	0.5533453887884268	0.06329113924050633	0.298372513562387	0.08499095840867993	22	15	23	22
OG0000027	258	13	22	143	7	104	4	0.5542635658914729	0.027131782945736434	0.40310077519379844	0.015503875968992248	22	6	22	4
OG0000029	631	34	22	292	44	287	8	0.46275752773375595	0.06973058637083994	0.4548335974643423	0.012678288431061807	22	20	22	8
OG0000030	244	11	22	131	10	100	3	0.5368852459016393	0.040983606557377046	0.4098360655737705	0.012295081967213115	22	7	22	3
OG0000038	37	2	22	35	0	2	0	0.9459459459459459	0.0	0.05405405405405406	0.0	21	0	1	0
OG0000039	362	16	22	362	0	0	0	1.0	0.0	0.0	0.0	22	0	0	0
OG0000040	258	14	22	61	18	178	1	0.2364341085271318	0.06976744186046512	0.689922480620155	0.003875968992248062	22	14	22	1
OG0000042	359	19	22	247	35	59	18	0.6880222841225627	0.09749303621169916	0.16434540389972144	0.05013927576601671	22	21	22	15
OG0000045	122	5	23	73	0	34	15	0.5983606557377049	0.0	0.2786885245901639	0.12295081967213115	23	0	20	15
OG0000046	380	18	22	125	31	221	3	0.32894736842105265	0.08157894736842106	0.5815789473684211	0.007894736842105263	22	16	22	3
OG0000047	321	15	22	202	2	117	0	0.6292834890965732	0.006230529595015576	0.3644859813084112	0.0	22	2	22	0
OG0000049	532	19	22	215	8	252	57	0.4041353383458647	0.015037593984962405	0.47368421052631576	0.10714285714285714	22	6	22	22
OG0000054	199	11	22	132	6	38	23	0.6633165829145728	0.03015075376884422	0.19095477386934673	0.11557788944723618	22	6	22	14
OG0000060	605	16	23	406	54	80	65	0.6710743801652893	0.08925619834710743	0.1322314049586777	0.10743801652892562	23	18	23	21
OG0000065	200	11	22	149	3	20	28	0.745	0.015	0.1	0.14	22	3	18	21
OG0000075	21	1	21	21	0	0	0	1.0	0.0	0.0	0.0	21	0	0	0
OG0000077	147	7	23	117	1	26	3	0.7959183673469388	0.006802721088435374	0.17687074829931973	0.02040816326530612	23	1	18	2
OG0000083	37	3	20	19	2	16	0	0.5135135135135135	0.05405405405405406	0.43243243243243246	0.0	13	2	10	0
OG0000086	67	3	22	24	0	42	1	0.3582089552238806	0.0	0.6268656716417911	0.014925373134328358	17	0	22	1
OG0000087	162	8	22	105	10	25	22	0.6481481481481481	0.06172839506172839	0.15432098765432098	0.13580246913580246	22	7	16	20
OG0000090	168	9	23	98	2	57	11	0.5833333333333334	0.011904761904761904	0.3392857142857143	0.06547619047619048	22	2	23	10
OG0000093	34	3	21	27	0	6	1	0.7941176470588235	0.0	0.17647058823529413	0.029411764705882353	20	0	4	1
OG0000095	38	2	21	35	0	3	0	0.9210526315789473	0.0	0.07894736842105263	0.0	21	0	3	0
OG0000096	58	3	22	32	4	21	1	0.5517241379310345	0.06896551724137931	0.3620689655172414	0.017241379310344827	22	4	15	1
OG0000100	21	1	21	11	4	6	0	0.5238095238095238	0.19047619047619047	0.2857142857142857	0.0	11	4	6	0
OG0000103	124	7	22	85	2	15	22	0.6854838709677419	0.016129032258064516	0.12096774193548387	0.1774193548387097	22	2	8	17
OG0000106	402	13	23	126	57	211	8	0.31343283582089554	0.1417910447761194	0.5248756218905473	0.01990049751243781	22	21	23	8
OG0000107	336	15	22	178	16	142	0	0.5297619047619048	0.047619047619047616	0.4226190476190476	0.0	22	10	22	0
