family_id	gene	final_status	n	total_n	prop
OG0000007	AL3G16620	P	23	23	1.0
OG0000009	AL1G65610	F	21	21	1.0
OG0000009	AL4G20070	P	21	21	1.0
OG0000009	AL5G15900	P	15	17	0.8823529411764706
OG0000009	AL5G15900	U	2	17	0.11764705882352941
OG0000009	AL5G15910	F	9	21	0.42857142857142855
OG0000009	AL5G15910	P	4	21	0.19047619047619047
OG0000009	AL5G15910	U	8	21	0.38095238095238093
OG0000009	AL5G28540	F	6	19	0.3157894736842105
OG0000009	AL5G28540	P	11	19	0.5789473684210527
OG0000009	AL5G28540	U	2	19	0.10526315789473684
OG0000009	AL5G28550	F	10	16	0.625
OG0000009	AL5G28550	P	2	16	0.125
OG0000009	AL5G28550	U	4	16	0.25
OG0000009	AL5G28950	F	1	22	0.045454545454545456
OG0000009	AL5G28950	U	21	22	0.9545454545454546
OG0000009	AL5G30872	P	21	21	1.0
OG0000009	AL5G31970	P	22	22	1.0
OG0000009	AL5G36020	F	1	20	0.05
OG0000009	AL5G36020	P	19	20	0.95
OG0000009	AL6G44330	P	17	17	1.0
OG0000009	AL6G44360	P	17	17	1.0
OG0000009	AL6G44370	P	16	16	1.0
OG0000009	AL7G26600	P	22	22	1.0
OG0000009	AL7G51940	P	21	22	0.9545454545454546
OG0000009	AL7G51940	U	1	22	0.045454545454545456
OG0000009	AL7G51960	A	19	22	0.8636363636363636
OG0000009	AL7G51960	P	3	22	0.13636363636363635
OG0000009	AL7G52000	F	2	21	0.09523809523809523
OG0000009	AL7G52000	P	15	21	0.7142857142857143
OG0000009	AL7G52000	U	4	21	0.19047619047619047
OG0000009	AL7G52020	F	4	22	0.18181818181818182
OG0000009	AL7G52020	P	17	22	0.7727272727272727
OG0000009	AL7G52020	U	1	22	0.045454545454545456
OG0000009	AL8G17190	P	22	22	1.0
OG0000009	AL8G32200	P	21	21	1.0
OG0000009	AL8G32500	P	22	22	1.0
OG0000009	AL8G32520	P	23	25	0.92
OG0000009	AL8G32520	U	2	25	0.08
OG0000009	AL8G32530	U	2	2	1.0
OG0000009	AL8G40480	P	22	22	1.0
OG0000009	AL8G41770	P	4	20	0.2
OG0000009	AL8G41770	U	16	20	0.8
OG0000012	AL1G49650	P	17	18	0.9444444444444444
OG0000012	AL1G49650	U	1	18	0.05555555555555555
OG0000012	AL1G49660	F	1	30	0.03333333333333333
