family_id	GCA_020911765.2_ASM2091176v2_genomic	GCA_024498495.1_ASM2449849v1_genomic	GCA_025388435.1_AtA1-141.20181003_genomic	GCA_036926925.1_ASM3692692v1_genomic	GCA_036926965.1_ASM3692696v1_genomic	GCA_036926975.1_ASM3692697v1_genomic	GCA_036927025.1_ASM3692702v1_genomic	GCA_036927045.1_ASM3692704v1_genomic	GCA_036927085.1_ASM3692708v1_genomic	GCA_036927245.1_ASM3692724v1_genomic	GCA_036927255.1_ASM3692725v1_genomic	GCA_036927265.1_ASM3692726v1_genomic	GCA_036927275.1_ASM3692727v1_genomic	GCA_036927285.1_ASM3692728v1_genomic	GCA_036927355.1_ASM3692735v1_genomic	GCA_036927365.1_ASM3692736v1_genomic	GCA_036927375.1_ASM3692737v1_genomic	GCA_036927385.1_ASM3692738v1_genomic	GCA_036927435.1_ASM3692743v1_genomic	GCA_036927455.1_ASM3692745v1_genomic	GCA_036927475.1_ASM3692747v1_genomic	GCA_036927485.1_ASM3692748v1_genomic	GCA_036927505.1_ASM3692750v1_genomic	GCA_036936705.1_ASM3693670v1_genomic	GCA_036936715.1_ASM3693671v1_genomic	GCA_036936845.1_ASM3693684v1_genomic	GCA_036936885.1_ASM3693688v1_genomic	GCA_036936895.1_ASM3693689v1_genomic	GCA_036936905.1_ASM3693690v1_genomic	GCA_036936915.1_ASM3693691v1_genomic	GCA_036936945.1_ASM3693694v1_genomic	GCA_036936955.1_ASM3693695v1_genomic	GCA_036937005.1_ASM3693700v1_genomic	GCA_036937185.1_ASM3693718v1_genomic	GCA_036937335.1_ASM3693733v1_genomic	GCA_036937385.1_ASM3693738v1_genomic	GCA_036937455.1_ASM3693745v1_genomic	GCA_036937465.1_ASM3693746v1_genomic	GCA_036937475.1_ASM3693747v1_genomic	GCA_036937505.1_ASM3693750v1_genomic	GCA_036937515.1_ASM3693751v1_genomic	GCA_036937805.1_ASM3693780v1_genomic	GCA_036937815.1_ASM3693781v1_genomic	GCA_036937985.1_ASM3693798v1_genomic	GCA_036938785.1_ASM3693878v1_genomic	GCA_036939995.1_ASM3693999v1_genomic	GCA_036940305.1_ASM3694030v1_genomic	GCA_036940335.1_ASM3694033v1_genomic	GCA_036940405.1_ASM3694040v1_genomic	GCA_036940415.1_ASM3694041v1_genomic	GCA_036940605.1_ASM3694060v1_genomic	GCA_036940615.1_ASM3694061v1_genomic	GCA_036940625.1_ASM3694062v1_genomic	GCA_036940635.1_ASM3694063v1_genomic	GCA_036940645.1_ASM3694064v1_genomic	GCA_036940715.1_ASM3694071v1_genomic	GCA_036940825.1_ASM3694082v1_genomic	GCA_036940995.1_ASM3694099v1_genomic	GCA_036941165.1_ASM3694116v1_genomic	GCA_036941295.1_ASM3694129v1_genomic	GCA_036941465.1_ASM3694146v1_genomic	GCA_036941635.1_ASM3694163v1_genomic	GCA_036941785.1_ASM3694178v1_genomic	GCA_036941915.1_ASM3694191v1_genomic	GCA_036941985.1_ASM3694198v1_genomic	GCA_036942075.1_ASM3694207v1_genomic	GCA_036942405.1_ASM3694240v1_genomic	GCA_036942435.1_ASM3694243v1_genomic	GCA_036942445.1_ASM3694244v1_genomic	GCA_036942575.1_ASM3694257v1_genomic	GCA_036942965.1_ASM3694296v1_genomic	GCA_036942975.1_ASM3694297v1_genomic	GCA_946402385.1_AUZE-A-5.genomic	GCA_946403025.1_FERR-A-8.genomic	GCA_946403525.1_BELC-C-10.genomic	GCA_946404075.1_ANGE-B-10.genomic	GCA_946404385.1_BARA-C-5.genomic	GCA_946404515.1_IP-San-9.genomic	GCA_946404995.1_BANI-C-1.genomic	GCA_946405265.1_IP-Met-6.genomic	GCA_946405525.1_FERR-A-12.genomic	GCA_946405545.1_IP-Evs-12.genomic	GCA_946405725.1_IP-Med-0.genomic	GCA_946405905.1_MONTM-B-16.genomic	GCA_946406325.1_IP-Alo-0.9506.genomic	GCA_946406525.1_Ler-0.7213.genomic	GCA_946406595.1_BANI-C-12.genomic	GCA_946406625.1_IP-Hom-4.9546.genomic	GCA_946406735.1_BARA-C-3.genomic	GCA_946406895.1_Rabacal-1.22005.genomic	GCA_946406975.1_CAMA-C-2.genomic	GCA_946407145.1_BARC-A-17.genomic	GCA_946407795.1_IP-Lor-16.genomic	GCA_946408365.1_SALE-A-10.genomic	GCA_946408575.1_CAMA-C-9.genomic	GCA_946408975.1_BELC-C-12.genomic	GCA_946409395.1_BROU-A-10.genomic	GCA_946409815.1_SALE-A-17.genomic	GCA_946410165.1_BARC-A-12.genomic	GCA_946410485.1_IP-Alo-19.genomic	GCA_946411375.1_IP-Cas-0.9831.genomic	GCA_946411425.1_IP-Hom-0.genomic	GCA_946411655.1_MERE-A-13.genomic	GCA_946411805.1_IP-Mos-9.genomic	GCA_946411885.1_IP-Mos-5.genomic	GCA_946412005.1_IP-Hum-4.genomic	GCA_946412065.1_GAIL-B-11.genomic	GCA_946412225.1_IP-Mdc-14.genomic	GCA_946413285.1_IP-Hum-2.9549.genomic	GCA_946413305.1_IP-Med-3.genomic	GCA_946413405.1_PREI-A-14.genomic	GCA_946413935.1_IP-Sln-22.genomic	GCA_946414125.1_Cvi-0.6911.genomic	GCA_946414305.1_IP-Cat-0.9832.genomic	GCA_946415005.1_ANGE-B-2.genomic	GCA_946415165.1_IP-Evs-0.9845.genomic	GCA_946415445.1_IP-Cas-6.genomic	GCA_946415625.1_MONTM-B-7.genomic	GCA_946415655.1_LACR-C-14.genomic	GCA_946499665.1_Ey15-2.9994.genomic	GCA_946499705.1_Col-0.6909.genomic	GCA_949796375.1_9336_genomic	GCA_949796385.1_9852_genomic	GCA_949796415.1_9762_genomic	GCA_949796455.1_7143_genomic	GCA_949796475.1_9883_genomic	GCA_949796485.1_9900_genomic	GCA_949796525.1_6923_genomic	GCA_949796605.1_9806_genomic	GCA_949796635.1_8285_genomic	GCA_949796645.1_6137_genomic	GCA_949796655.1_9744_genomic	GCA_949796665.1_9879_genomic	GCA_949796705.1_9503_genomic	GCA_949796715.1_9830_genomic	GCA_949796755.1_9847_genomic
OG0000007	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3
OG0000009	31	31	30	31	31	30	31	31	29	31	31	31	31	31	30	30	31	30	31	31	31	31	31	31	31	31	31	31	31	31	30	30	31	31	31	31	31	30	31	31	31	31	31	31	31	31	31	31	30	31	31	31	31	31	30	31	30	29	30	30	30	31	31	31	31	31	30	31	30	31	31	31	31	31	31	31	31	31	31	31	31	29	31	30	31	30	31	31	31	30	31	31	30	30	31	31	30	30	31	30	30	31	30	31	31	31	31	31	31	31	31	30	31	31	31	30	30	31	31	31	31	31	31	31	31	30	30	31	30	30	31	31	31	31	31	31
OG0000012	33	28	29	29	28	32	30	29	30	27	28	29	30	30	29	29	30	28	29	29	29	29	32	32	28	29	30	28	29	29	30	28	30	30	28	32	28	28	33	28	29	29	29	30	32	29	27	28	31	30	28	31	29	27	30	30	29	29	28	31	31	29	28	29	29	28	29	33	28	27	29	31	29	30	28	28	28	30	29	28	28	32	30	28	29	29	28	27	28	30	34	25	30	29	34	28	27	28	25	29	29	31	28	28	27	32	30	33	29	29	28	30	27	30	33	27	31	30	28	32	33	29	32	28	29	28	28	28	29	31	33	30	30	27	28	29
OG0000015	20	15	16	18	16	17	17	17	18	18	17	15	15	18	15	17	15	16	17	17	17	18	18	18	16	17	18	17	17	18	17	15	14	14	17	15	18	17	17	18	18	17	17	17	16	17	16	16	18	15	16	15	18	16	17	17	13	13	18	18	17	15	18	17	16	17	17	20	15	16	16	17	17	16	17	17	18	15	18	16	15	19	16	16	16	18	17	19	15	17	18	14	17	20	18	17	18	20	14	16	15	17	16	17	16	18	16	15	16	16	18	17	16	17	17	16	16	18	18	16	20	17	18	16	16	16	19	17	17	18	16	17	17	18	16	16
OG0000016	34	33	30	30	34	31	32	35	35	30	34	33	34	30	29	33	33	34	30	29	30	32	33	33	35	33	31	32	33	32	35	30	30	30	33	36	28	33	33	31	32	34	31	31	34	32	34	33	36	31	31	33	32	30	30	32	35	33	27	35	29	32	30	34	36	35	30	34	33	31	30	34	29	33	31	31	33	31	30	33	36	29	28	29	30	35	27	32	34	30	28	31	33	29	28	31	35	29	31	27	32	33	31	35	32	32	34	27	30	31	30	32	31	30	32	29	31	35	32	30	34	34	31	33	35	34	29	28	35	33	33	39	30	34	33	30
OG0000022	16	16	16	16	16	16	16	16	16	14	16	15	16	16	15	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	14	16	16	16	16	16	16	16	16	16	16	16	16	16	15	16	15	15	16	15	16	16	15	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	15	16	16	16	16	16	16	16	16	16	16	16	16	16	15	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	15	16	16	16	15	16	16	16	16	16	16	16	16	16	16	15	16	16	16	16	16	16	16	16	15	16	16	16
OG0000024	25	16	15	14	13	13	17	16	16	17	14	14	15	13	14	14	15	15	16	17	16	15	11	17	26	16	16	18	17	15	15	16	15	15	16	14	17	13	14	17	14	14	15	15	20	13	14	15	15	18	14	14	14	16	15	13	14	15	15	15	14	13	16	14	14	12	16	20	15	12	14	16	14	17	16	16	18	15	13	23	21	17	14	15	13	25	17	15	18	15	12	16	14	16	12	16	15	16	16	17	16	17	16	12	13	15	28	14	14	15	15	14	12	14	14	17	15	17	15	21	25	22	18	15	17	18	18	17	16	13	18	13	12	20	11	12
OG0000027	25	23	22	24	22	23	26	23	23	24	22	24	21	22	23	22	22	22	20	19	20	22	24	23	23	21	23	22	21	22	23	21	21	21	26	23	21	23	22	25	23	20	23	22	25	21	21	22	23	21	25	22	23	23	22	22	23	21	21	24	21	21	22	22	23	21	20	25	22	21	23	23	22	23	22	21	24	21	22	21	23	21	20	22	21	23	21	22	22	22	21	22	19	22	21	22	22	22	22	21	23	21	23	21	21	22	23	21	22	21	21	21	21	20	23	21	23	21	21	22	25	23	22	22	23	22	23	21	22	20	23	22	22	22	22	23
OG0000029	10	9	8	10	10	10	10	10	10	10	9	8	10	10	10	10	10	10	10	10	10	10	10	8	10	10	10	9	10	10	8	8	10	9	10	10	10	8	10	10	10	10	10	9	10	10	10	9	10	10	10	9	10	8	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	8	8	8	10	10	10	9	10	10	9	8	8	10	10	10	10	10	10	9	9	8	10	8	10	10	9	10	10	10	10	8	8	6	8	10	9	8	10	10	10	10	10	10	10	8	10	10	10	10	10	9	10	10	10	10	10	10	10	10	10	9	7	10
OG0000030	22	21	21	21	22	20	21	21	22	22	21	23	21	22	22	22	20	21	22	22	22	20	21	22	22	21	22	21	21	21	21	18	21	21	21	21	21	20	22	21	19	22	21	22	21	22	22	21	22	21	22	21	19	22	22	21	21	19	22	22	21	21	21	22	21	22	22	22	22	22	21	21	22	22	22	22	22	22	21	21	21	21	22	21	22	22	19	19	21	22	22	21	21	21	22	22	22	21	21	21	22	21	22	22	22	21	22	22	21	22	22	22	22	22	22	21	22	21	22	22	22	22	21	21	22	21	22	21	22	21	21	21	21	21	21	21
