"family_id","n_individuals","mean_copy","sd_copy","n_states","n_nonzero","zero_fraction","min_copy","max_copy"
"OG0000007",21,1,0,1,21,0,1,1
"OG0000009",21,22.3809523809524,1.5644868320376,7,21,0,20,26
"OG0000012",21,34.047619047619,5.29600028772838,12,21,0,25,45
"OG0000015",21,13.6666666666667,2.7264140062238,10,21,0,9,18
"OG0000016",21,50.6190476190476,3.85326083306322,11,21,0,46,57
"OG0000022",21,15.5714285714286,1.16496474502144,4,21,0,14,17
"OG0000024",21,25.3333333333333,3.21455025366432,11,21,0,19,30
"OG0000027",21,11.6666666666667,1.23827837473378,5,21,0,9,13
"OG0000029",21,28.8571428571429,3.90238022603788,10,21,0,17,38
"OG0000030",21,11.0952380952381,0.830948969838816,5,21,0,9,13
"OG0000038",21,1.71428571428571,0.462910049886276,2,21,0,1,2
"OG0000039",21,16.5238095238095,1.4359334113756,6,21,0,14,19
"OG0000040",21,11.7142857142857,1.41925533794512,7,21,0,9,15
"OG0000042",21,16.5714285714286,1.91236577493503,7,21,0,14,21
"OG0000045",21,5.47619047619048,0.601585207518238,3,21,0,4,6
"OG0000046",21,17.2380952380952,0.830948969838817,3,21,0,16,18
"OG0000047",21,14.6666666666667,1.31656117720877,5,21,0,12,16
"OG0000049",21,24.1904761904762,1.12334534400814,5,21,0,21,26
"OG0000054",21,9,1.14017542509914,5,21,0,7,11
"OG0000060",21,27.4761904761905,2.82168473822019,9,21,0,20,31
"OG0000065",21,9.19047619047619,1.40068010691405,6,21,0,7,12
"OG0000075",21,0.952380952380952,0.218217890235992,2,20,0.0476190476190476,0,1
"OG0000077",21,6.52380952380952,0.511766315719159,2,21,0,6,7
"OG0000083",21,1.66666666666667,0.912870929175277,4,19,0.0952380952380952,0,3
"OG0000086",21,3.04761904761905,0.218217890235992,2,21,0,3,4
"OG0000087",21,7.28571428571429,1.38357714432037,6,21,0,4,9
"OG0000090",21,7.47619047619048,0.87287156094397,4,21,0,6,9
"OG0000093",21,1.61904761904762,0.740012869900955,3,21,0,1,3
"OG0000095",21,1.76190476190476,0.538958431120797,3,20,0.0476190476190476,0,2
"OG0000096",21,2.61904761904762,0.497613351528119,2,21,0,2,3
"OG0000100",21,1,0,1,21,0,1,1
"OG0000103",21,5.66666666666667,0.912870929175277,4,21,0,4,7
"OG0000106",21,18.1428571428571,1.76877681706071,6,21,0,16,21
"OG0000107",21,15.2380952380952,2.4880667576406,9,21,0,12,21
