qseqid	sseqid	pident	length	mismatch	gapopen	qstart	qend	sstart	send	evalue	bitscore	stitle
AT1G37020	CP087126.2	99.967	3009	0	1	1	3008	14054849	14057857	0	5550	GCA_020911765.2_ASM2091176v2_genomic
AT1G37020	CP087126.2	83.677	1893	221	53	1141	3008	18149943	18151772	0	1703	GCA_020911765.2_ASM2091176v2_genomic
AT1G37020	CP087126.2	87.403	905	102	11	5	902	18142491	18143390	0	1029	GCA_020911765.2_ASM2091176v2_genomic
AT1G37020	CP087130.2	74.051	817	177	28	8	805	10838987	10839787	4.49e-80	302	GCA_020911765.2_ASM2091176v2_genomic
AT1G37020	CP087130.2	91.026	156	14	0	2835	2990	10914113	10914268	7.79e-53	211	GCA_020911765.2_ASM2091176v2_genomic
AT1G42525	CP087126.2	100	1859	0	0	1	1859	18149914	18151772	0	3434	GCA_020911765.2_ASM2091176v2_genomic
AT1G42525	CP087126.2	83.677	1893	222	52	30	1859	14055989	14057857	0	1703	GCA_020911765.2_ASM2091176v2_genomic
AT1G42525	CP087130.2	87.821	156	18	1	1687	1841	10914113	10914268	3.76e-44	182	GCA_020911765.2_ASM2091176v2_genomic
AT2G10260	CP087127.2	100	2714	0	0	1	2714	7051203	7053916	0	5012	GCA_020911765.2_ASM2091176v2_genomic
AT3G30305	CP087128.1	100	1396	0	0	1	1396	11931801	11933196	0	2579	GCA_020911765.2_ASM2091176v2_genomic
AT3G31910	CP087128.1	100	2515	0	0	1	2515	12915777	12918291	0	4645	GCA_020911765.2_ASM2091176v2_genomic
AT4G08430	CP087129.2	100	3041	0	0	1	3041	8850966	8854006	0	5616	GCA_020911765.2_ASM2091176v2_genomic
AT4G08430	CP087130.2	95.271	3045	111	11	1	3041	21642327	21639312	0	4795	GCA_020911765.2_ASM2091176v2_genomic
AT4G08430	CP087130.2	95.497	2798	95	10	244	3038	10212704	10215473	0	4440	GCA_020911765.2_ASM2091176v2_genomic
AT4G08430	CP087130.2	94.03	1876	104	8	1171	3041	10840784	10838912	0	2837	GCA_020911765.2_ASM2091176v2_genomic
AT4G08430	CP087130.2	93.705	1382	73	6	1	1368	15615187	15613806	0	2058	GCA_020911765.2_ASM2091176v2_genomic
AT4G08430	CP087130.2	91.736	242	17	3	1484	1723	15613816	15613576	1.61e-89	333	GCA_020911765.2_ASM2091176v2_genomic
AT4G08430	CP087126.2	92.133	2517	169	17	1	2496	18183920	18181412	0	3524	GCA_020911765.2_ASM2091176v2_genomic
AT4G08430	CP087126.2	94.554	606	33	0	2436	3041	18181404	18180799	0	937	GCA_020911765.2_ASM2091176v2_genomic
AT4G08430	CP087128.1	93.638	2122	105	12	934	3041	13521081	13518976	0	3144	GCA_020911765.2_ASM2091176v2_genomic
AT4G08430	CP087128.1	93.995	866	49	3	1	865	13521945	13521082	0	1308	GCA_020911765.2_ASM2091176v2_genomic
AT5G28235	CP087130.2	100	2065	0	0	1	2065	10212689	10214753	0	3814	GCA_020911765.2_ASM2091176v2_genomic
AT5G28235	CP087130.2	99.415	2050	12	0	16	2065	21642084	21640035	0	3720	GCA_020911765.2_ASM2091176v2_genomic
AT5G28235	CP087130.2	93.333	1110	60	8	37	1134	15614914	15613807	0	1628	GCA_020911765.2_ASM2091176v2_genomic
AT5G28235	CP087130.2	92.41	1133	79	7	938	2065	10840784	10839654	0	1609	GCA_020911765.2_ASM2091176v2_genomic
AT5G28235	CP087130.2	88.889	243	23	4	1251	1491	15613816	15613576	1.43e-78	296	GCA_020911765.2_ASM2091176v2_genomic
AT5G28235	CP087129.2	95.819	2057	76	4	16	2065	8851209	8853262	0	3314	GCA_020911765.2_ASM2091176v2_genomic
AT5G28235	CP087126.2	90.997	2077	155	18	16	2065	18183682	18181611	0	2771	GCA_020911765.2_ASM2091176v2_genomic
AT5G28235	CP087128.1	92.382	1352	73	15	721	2058	13521060	13519725	0	1899	GCA_020911765.2_ASM2091176v2_genomic
AT5G28235	CP087128.1	94.222	623	33	3	16	637	13521702	13521082	0	948	GCA_020911765.2_ASM2091176v2_genomic
AT5G28810	CP087130.2	100	3291	0	0	1	3291	10837577	10840867	0	6078	GCA_020911765.2_ASM2091176v2_genomic
AT5G28810	CP087130.2	92.768	3111	188	19	108	3211	10216703	10213623	0	4464	GCA_020911765.2_ASM2091176v2_genomic
AT5G28810	CP087130.2	92.631	3121	195	19	96	3208	21638069	21641162	0	4457	GCA_020911765.2_ASM2091176v2_genomic
AT5G28810	CP087130.2	95.473	243	9	2	2653	2895	15613576	15613816	1.32e-105	387	GCA_020911765.2_ASM2091176v2_genomic
AT5G28810	CP087130.2	93.659	205	12	1	3011	3214	15613806	15614010	3.8e-81	305	GCA_020911765.2_ASM2091176v2_genomic
AT5G28810	CP087129.2	93.376	2325	138	15	902	3217	8854444	8852127	0	3426	GCA_020911765.2_ASM2091176v2_genomic
AT5G28810	CP087128.1	93.225	2332	117	22	902	3214	13518541	13520850	0	3393	GCA_020911765.2_ASM2091176v2_genomic
AT5G28810	CP087126.2	92.074	1350	91	6	1878	3214	18181410	18182756	0	1886	GCA_020911765.2_ASM2091176v2_genomic
