"gene","assembly","group","window","repeat_class","n_te_class"
"AT1G04625","GCA_020911765.2_ASM2091176v2_genomic","Family","gene_body","LINE/unknown",1
"AT1G11270","GCA_020911765.2_ASM2091176v2_genomic","Family","gene_body","LTR/Copia",3
"AT1G12300","GCA_020911765.2_ASM2091176v2_genomic","Family","gene_body","LINE/unknown",1
"AT1G20400","GCA_020911765.2_ASM2091176v2_genomic","Family","gene_body","LTR/Gypsy",1
"AT1G27540","GCA_020911765.2_ASM2091176v2_genomic","Family","gene_body","LTR/unknown",1
"AT1G27580","GCA_020911765.2_ASM2091176v2_genomic","Family","gene_body","LTR/unknown",2
"AT1G29005","GCA_020911765.2_ASM2091176v2_genomic","Family","gene_body","LTR/Copia",1
"AT1G29355","GCA_020911765.2_ASM2091176v2_genomic","Family","gene_body","LINE/L1",1
"AT1G31370","GCA_020911765.2_ASM2091176v2_genomic","Family","gene_body","LTR/Copia",1
"AT1G31960","GCA_020911765.2_ASM2091176v2_genomic","Family","gene_body","LTR/unknown",1
"AT1G33710","GCA_020911765.2_ASM2091176v2_genomic","Family","gene_body","LINE/unknown",1
"AT1G34440","GCA_020911765.2_ASM2091176v2_genomic","Family","gene_body","LTR/Gypsy",1
"AT1G34560","GCA_020911765.2_ASM2091176v2_genomic","Family","gene_body","LINE/unknown",1
"AT1G36325","GCA_020911765.2_ASM2091176v2_genomic","Family","gene_body","LTR/Gypsy",1
"AT1G36325","GCA_020911765.2_ASM2091176v2_genomic","Family","gene_body","LTR/Ty3",1
"AT1G36925","GCA_020911765.2_ASM2091176v2_genomic","Family","gene_body","DNA/Helitron",1
"AT1G40390","GCA_020911765.2_ASM2091176v2_genomic","Family","gene_body","LTR/Ty3",4
"AT1G41920","GCA_020911765.2_ASM2091176v2_genomic","Family","gene_body","LTR/Gypsy",1
"AT1G41920","GCA_020911765.2_ASM2091176v2_genomic","Family","gene_body","LTR/Ty3",4
"AT1G43145","GCA_020911765.2_ASM2091176v2_genomic","Family","gene_body","LINE/L1",3
"AT1G43415","GCA_020911765.2_ASM2091176v2_genomic","Family","gene_body","LTR/Ty3",1
"AT1G43760","GCA_020911765.2_ASM2091176v2_genomic","Family","gene_body","LTR/Ty3",1
"AT1G44050","GCA_020911765.2_ASM2091176v2_genomic","Family","gene_body","LTR/Copia",3
"AT1G47497","GCA_020911765.2_ASM2091176v2_genomic","Family","gene_body","DNA/Helitron",2
"AT1G47770","GCA_020911765.2_ASM2091176v2_genomic","Family","gene_body","LINE/unknown",1
"AT1G49920","GCA_020911765.2_ASM2091176v2_genomic","Family","gene_body","LTR/Copia",1
"AT1G50080","GCA_020911765.2_ASM2091176v2_genomic","Family","gene_body","LINE/unknown",1
"AT1G50820","GCA_020911765.2_ASM2091176v2_genomic","Family","gene_body","LTR/Copia",3
"AT1G51820","GCA_020911765.2_ASM2091176v2_genomic","Family","gene_body","DNA/Helitron",4
"AT1G52430","GCA_020911765.2_ASM2091176v2_genomic","Family","gene_body","DNA/Helitron",1
"AT1G52450","GCA_020911765.2_ASM2091176v2_genomic","Family","gene_body","DNA/Helitron",2
"AT1G52603","GCA_020911765.2_ASM2091176v2_genomic","Family","gene_body","DNA/MULE-MuDR",1
"AT1G52970","GCA_020911765.2_ASM2091176v2_genomic","Family","gene_body","DNA/Helitron",1
"AT1G52990","GCA_020911765.2_ASM2091176v2_genomic","Family","gene_body","DNA/Helitron",1
"AT1G53815","GCA_020911765.2_ASM2091176v2_genomic","Family","gene_body","LTR/Copia",1
"AT1G55030","GCA_020911765.2_ASM2091176v2_genomic","Family","gene_body","DNA/Helitron",1
"AT1G55380","GCA_020911765.2_ASM2091176v2_genomic","Family","gene_body","LTR/Copia",1
"AT1G55390","GCA_020911765.2_ASM2091176v2_genomic","Family","gene_body","LTR/Copia",1
"AT1G55420","GCA_020911765.2_ASM2091176v2_genomic","Family","gene_body","LTR/Copia",1
"AT1G55430","GCA_020911765.2_ASM2091176v2_genomic","Family","gene_body","LTR/Copia",1
"AT1G55440","GCA_020911765.2_ASM2091176v2_genomic","Family","gene_body","LTR/Copia",2
"AT1G56510","GCA_020911765.2_ASM2091176v2_genomic","Family","gene_body","DNA/Helitron",2
"AT1G58242","GCA_020911765.2_ASM2091176v2_genomic","Family","gene_body","LTR/unknown",2
"AT1G58410","GCA_020911765.2_ASM2091176v2_genomic","Family","gene_body","LTR/Copia",1
"AT1G58602","GCA_020911765.2_ASM2091176v2_genomic","Family","gene_body","DNA/Helitron",1
"AT1G58602","GCA_020911765.2_ASM2091176v2_genomic","Family","gene_body","DNA/MULE-MuDR",6
"AT1G58602","GCA_020911765.2_ASM2091176v2_genomic","Family","gene_body","LTR/Copia",6
"AT1G58807","GCA_020911765.2_ASM2091176v2_genomic","Family","gene_body","LTR/Copia",1
"AT1G58848","GCA_020911765.2_ASM2091176v2_genomic","Family","gene_body","LTR/Copia",1
"AT1G59124","GCA_020911765.2_ASM2091176v2_genomic","Family","gene_body","LTR/Copia",1
"AT1G59780","GCA_020911765.2_ASM2091176v2_genomic","Family","gene_body","DNA/Helitron",1
"AT1G60720","GCA_020911765.2_ASM2091176v2_genomic","Family","gene_body","LINE/unknown",1
"AT1G63870","GCA_020911765.2_ASM2091176v2_genomic","Family","gene_body","DNA/Helitron",1
"AT1G64253","GCA_020911765.2_ASM2091176v2_genomic","Family","gene_body","LTR/Gypsy",1
"AT1G65350","GCA_020911765.2_ASM2091176v2_genomic","Family","gene_body","LTR/Copia",1
"AT1G67020","GCA_020911765.2_ASM2091176v2_genomic","Family","gene_body","LTR/Gypsy",2
"AT1G73290","GCA_020911765.2_ASM2091176v2_genomic","Family","gene_body","LINE/L1",1
"AT2G02650","GCA_020911765.2_ASM2091176v2_genomic","Family","gene_body","LINE/L1",1
"AT2G02650","GCA_020911765.2_ASM2091176v2_genomic","Family","gene_body","LINE/unknown",1
"AT2G04420","GCA_020911765.2_ASM2091176v2_genomic","Family","gene_body","LINE/unknown",1
"AT2G05400","GCA_020911765.2_ASM2091176v2_genomic","Family","gene_body","LTR/Copia",1
"AT2G05410","GCA_020911765.2_ASM2091176v2_genomic","Family","gene_body","SINE/tRNA",1
"AT2G06541","GCA_020911765.2_ASM2091176v2_genomic","Family","gene_body","LTR/Copia",1
"AT2G11035","GCA_020911765.2_ASM2091176v2_genomic","Family","gene_body","LTR/Copia",2
"AT2G11205","GCA_020911765.2_ASM2091176v2_genomic","Family","gene_body","LINE/unknown",1
"AT2G14100","GCA_020911765.2_ASM2091176v2_genomic","Family","gene_body","LINE/unknown",1
"AT2G15042","GCA_020911765.2_ASM2091176v2_genomic","Family","gene_body","LTR/Ty3",1
"AT2G15080","GCA_020911765.2_ASM2091176v2_genomic","Family","gene_body","DNA/Helitron",1
"AT2G18620","GCA_020911765.2_ASM2091176v2_genomic","Family","gene_body","DNA/Helitron",2
"AT2G22440","GCA_020911765.2_ASM2091176v2_genomic","Family","gene_body","LINE/L1",1
"AT2G22920","GCA_020911765.2_ASM2091176v2_genomic","Family","gene_body","DNA/Helitron",1
"AT2G22920","GCA_020911765.2_ASM2091176v2_genomic","Family","gene_body","LTR/Copia",1
"AT2G23000","GCA_020911765.2_ASM2091176v2_genomic","Family","gene_body","LINE/unknown",1
"AT2G24430","GCA_020911765.2_ASM2091176v2_genomic","Single-copy","gene_body","LINE/L1",1
"AT2G24615","GCA_020911765.2_ASM2091176v2_genomic","Family","gene_body","DNA/Helitron",1
"AT2G24625","GCA_020911765.2_ASM2091176v2_genomic","Family","gene_body","DNA/Helitron",1
"AT2G27630","GCA_020911765.2_ASM2091176v2_genomic","Family","gene_body","DNA/Helitron",1
"AT2G27650","GCA_020911765.2_ASM2091176v2_genomic","Family","gene_body","DNA/Helitron",1
"AT2G29000","GCA_020911765.2_ASM2091176v2_genomic","Family","gene_body","LTR/unknown",1
"AT2G29170","GCA_020911765.2_ASM2091176v2_genomic","Family","gene_body","LTR/Copia",1
"AT2G29840","GCA_020911765.2_ASM2091176v2_genomic","Family","gene_body","LTR/Copia",1
"AT2G38255","GCA_020911765.2_ASM2091176v2_genomic","Family","gene_body","DNA/Helitron",3
"AT2G44950","GCA_020911765.2_ASM2091176v2_genomic","Single-copy","gene_body","DNA/Helitron",1
"AT2G45406","GCA_020911765.2_ASM2091176v2_genomic","Family","gene_body","LTR/Copia",1
"AT3G09510","GCA_020911765.2_ASM2091176v2_genomic","Family","gene_body","LINE/L1",1
"AT3G11080","GCA_020911765.2_ASM2091176v2_genomic","Family","gene_body","LTR/Copia",1
"AT3G12203","GCA_020911765.2_ASM2091176v2_genomic","Family","gene_body","LINE/unknown",1
"AT3G20940","GCA_020911765.2_ASM2091176v2_genomic","Family","gene_body","LTR/unknown",1
"AT3G20950","GCA_020911765.2_ASM2091176v2_genomic","Family","gene_body","LTR/unknown",3
"AT3G20980","GCA_020911765.2_ASM2091176v2_genomic","Family","gene_body","LTR/Copia",1
"AT3G21000","GCA_020911765.2_ASM2091176v2_genomic","Family","gene_body","LTR/Copia",1
"AT3G25270","GCA_020911765.2_ASM2091176v2_genomic","Family","gene_body","LINE/unknown",2
"AT3G25720","GCA_020911765.2_ASM2091176v2_genomic","Family","gene_body","LINE/unknown",2
"AT3G27590","GCA_020911765.2_ASM2091176v2_genomic","Family","gene_body","DNA/Helitron",1
"AT3G28650","GCA_020911765.2_ASM2091176v2_genomic","Family","gene_body","LTR/Gypsy",1
"AT3G28650","GCA_020911765.2_ASM2091176v2_genomic","Family","gene_body","LTR/Ty3",1
"AT3G29110","GCA_020911765.2_ASM2091176v2_genomic","Family","gene_body","SINE/tRNA",1
"AT3G29190","GCA_020911765.2_ASM2091176v2_genomic","Family","gene_body","LTR/Ty3",1
"AT3G29190","GCA_020911765.2_ASM2091176v2_genomic","Family","gene_body","SINE/tRNA",1
"AT3G29450","GCA_020911765.2_ASM2091176v2_genomic","Family","gene_body","LTR/Copia",1
"AT3G30730","GCA_020911765.2_ASM2091176v2_genomic","Family","gene_body","DNA/Helitron",1
"AT3G31430","GCA_020911765.2_ASM2091176v2_genomic","Family","gene_body","LINE/unknown",1
"AT3G31550","GCA_020911765.2_ASM2091176v2_genomic","Family","gene_body","DNA/Helitron",2
"AT3G32130","GCA_020911765.2_ASM2091176v2_genomic","Family","gene_body","LINE/unknown",1
"AT3G42140","GCA_020911765.2_ASM2091176v2_genomic","Family","gene_body","LINE/L1",1
"AT3G42140","GCA_020911765.2_ASM2091176v2_genomic","Family","gene_body","LINE/unknown",1
"AT3G42140","GCA_020911765.2_ASM2091176v2_genomic","Family","gene_body","LTR/Copia",1
"AT3G46340","GCA_020911765.2_ASM2091176v2_genomic","Family","gene_body","SINE/tRNA",1
"AT3G52680","GCA_020911765.2_ASM2091176v2_genomic","Family","gene_body","DNA/Helitron",1
"AT3G58220","GCA_020911765.2_ASM2091176v2_genomic","Family","gene_body","LTR/Copia",1
"AT3G58220","GCA_020911765.2_ASM2091176v2_genomic","Family","gene_body","LTR/unknown",1
"AT3G58420","GCA_020911765.2_ASM2091176v2_genomic","Family","gene_body","LTR/Copia",1
"AT3G59730","GCA_020911765.2_ASM2091176v2_genomic","Family","gene_body","LTR/Copia",1
"AT4G03040","GCA_020911765.2_ASM2091176v2_genomic","Family","gene_body","LTR/Copia",2
"AT4G04110","GCA_020911765.2_ASM2091176v2_genomic","Family","gene_body","LTR/Copia",2
"AT4G05360","GCA_020911765.2_ASM2091176v2_genomic","Family","gene_body","LTR/unknown",2
"AT4G10613","GCA_020911765.2_ASM2091176v2_genomic","Family","gene_body","LINE/unknown",3
"AT4G13300","GCA_020911765.2_ASM2091176v2_genomic","Family","gene_body","DNA/Helitron",1
"AT4G13880","GCA_020911765.2_ASM2091176v2_genomic","Family","gene_body","LTR/Copia",1
"AT4G14400","GCA_020911765.2_ASM2091176v2_genomic","Family","gene_body","DNA/Helitron",2
"AT4G16857","GCA_020911765.2_ASM2091176v2_genomic","Family","gene_body","LTR/Copia",1
"AT4G16860","GCA_020911765.2_ASM2091176v2_genomic","Family","gene_body","LTR/Copia",1
