"assembly","gene","scaffold","start","end","group","win_start","win_end","window_bp","window","n_te","te_classes","te_bp","te_fraction","nearest_te_dist"
"GCA_020911765.2_ASM2091176v2_genomic","AT2G28700","CP087127.2",15479281,15480905,"Family",15479281,15480905,1625,"gene_body",0,NA,0,0,12883
"GCA_020911765.2_ASM2091176v2_genomic","AT5G27810","CP087130.2",9867095,9867882,"Family",9867095,9867882,788,"gene_body",0,NA,0,0,393
"GCA_020911765.2_ASM2091176v2_genomic","AT5G48670","CP087130.2",22905400,22906595,"Family",22905400,22906595,1196,"gene_body",0,NA,0,0,674
"GCA_020911765.2_ASM2091176v2_genomic","AT1G55030","CP087126.2",22735790,22737524,"Family",22735790,22737524,1735,"gene_body",1,"DNA/Helitron",19,0.0109510086455331,0
"GCA_020911765.2_ASM2091176v2_genomic","AT2G04230","CP087127.2",1955039,1957344,"Family",1955039,1957344,2306,"gene_body",0,NA,0,0,274
"GCA_020911765.2_ASM2091176v2_genomic","AT2G26860","CP087127.2",14614062,14616059,"Family",14614062,14616059,1998,"gene_body",0,NA,0,0,7381
"GCA_020911765.2_ASM2091176v2_genomic","AT3G26920","CP087128.1",9926891,9929104,"Family",9926891,9929104,2214,"gene_body",0,NA,0,0,6098
"GCA_020911765.2_ASM2091176v2_genomic","AT3G26922","CP087128.1",9929181,9931187,"Family",9929181,9931187,2007,"gene_body",0,NA,0,0,4015
"GCA_020911765.2_ASM2091176v2_genomic","AT3G26930","CP087128.1",9932017,9933855,"Family",9932017,9933855,1839,"gene_body",0,NA,0,0,1347
"GCA_020911765.2_ASM2091176v2_genomic","AT3G49020","CP087128.1",20850567,20852148,"Family",20850567,20852148,1582,"gene_body",0,NA,0,0,300
"GCA_020911765.2_ASM2091176v2_genomic","AT3G49030","CP087128.1",20854575,20856435,"Family",20854575,20856435,1861,"gene_body",0,NA,0,0,289
"GCA_020911765.2_ASM2091176v2_genomic","AT3G49040","CP087128.1",20858971,20860328,"Family",20858971,20860328,1358,"gene_body",0,NA,0,0,193
"GCA_020911765.2_ASM2091176v2_genomic","AT3G50710","CP087128.1",21526621,21528403,"Family",21526621,21528403,1783,"gene_body",0,NA,0,0,104
"GCA_020911765.2_ASM2091176v2_genomic","AT3G51530","CP087128.1",21794192,21796141,"Family",21794192,21796141,1950,"gene_body",0,NA,0,0,19926
"GCA_020911765.2_ASM2091176v2_genomic","AT3G52680","CP087128.1",22208462,22210556,"Family",22208462,22210556,2095,"gene_body",1,"DNA/Helitron",39,0.0186157517899761,0
"GCA_020911765.2_ASM2091176v2_genomic","AT3G55670","CP087128.1",23339516,23341006,"Family",23339516,23341006,1491,"gene_body",0,NA,0,0,1938
"GCA_020911765.2_ASM2091176v2_genomic","AT3G52690","CP087128.1",22212230,22213305,"Family",22212230,22213305,1076,"gene_body",0,NA,0,0,972
"GCA_020911765.2_ASM2091176v2_genomic","AT3G54910","CP087128.1",23024254,23027095,"Family",23024254,23027095,2842,"gene_body",0,NA,0,0,9484
"GCA_020911765.2_ASM2091176v2_genomic","AT3G55670","CP087128.1",22209571,22210351,"Family",22209571,22210351,781,"gene_body",0,NA,0,0,166
"GCA_020911765.2_ASM2091176v2_genomic","AT3G55900","CP087128.1",23423667,23424154,"Family",23423667,23424154,488,"gene_body",0,NA,0,0,3720
"GCA_020911765.2_ASM2091176v2_genomic","AT4G00160","CP087129.2",245581,247650,"Family",245581,247650,2070,"gene_body",0,NA,0,0,3255
"GCA_020911765.2_ASM2091176v2_genomic","AT4G09920","CP087129.2",9730892,9732664,"Family",9730892,9732664,1773,"gene_body",0,NA,0,0,7993
"GCA_020911765.2_ASM2091176v2_genomic","AT4G10400","CP087129.2",9952628,9954676,"Family",9952628,9954676,2049,"gene_body",0,NA,0,0,8251
"GCA_020911765.2_ASM2091176v2_genomic","AT4G10410","CP087129.2",9955523,9956538,"Family",9955523,9956538,1016,"gene_body",0,NA,0,0,11146
"GCA_020911765.2_ASM2091176v2_genomic","AT4G10420","CP087129.2",9959351,9960749,"Family",9959351,9960749,1399,"gene_body",0,NA,0,0,13203
"GCA_020911765.2_ASM2091176v2_genomic","AT4G13965","CP087129.2",11572642,11574080,"Family",11572642,11574080,1439,"gene_body",0,NA,0,0,434
"GCA_020911765.2_ASM2091176v2_genomic","AT4G26340","CP087129.2",16840223,16841683,"Family",16840223,16841683,1461,"gene_body",0,NA,0,0,3476
"GCA_020911765.2_ASM2091176v2_genomic","AT5G38565","CP087130.2",18551555,18553542,"Family",18551555,18553542,1988,"gene_body",0,NA,0,0,1103
"GCA_020911765.2_ASM2091176v2_genomic","AT5G38570","CP087130.2",18556524,18557846,"Family",18556524,18557846,1323,"gene_body",0,NA,0,0,1758
"GCA_020911765.2_ASM2091176v2_genomic","AT5G38580","CP087130.2",18558409,18559087,"Family",18558409,18559087,679,"gene_body",0,NA,0,0,2174
"GCA_020911765.2_ASM2091176v2_genomic","AT5G38590","CP087130.2",18559155,18561173,"Family",18559155,18561173,2019,"gene_body",0,NA,0,0,88
"GCA_020911765.2_ASM2091176v2_genomic","AT5G56690","CP087130.2",26115037,26116413,"Family",26115037,26116413,1377,"gene_body",0,NA,0,0,15100
"GCA_020911765.2_ASM2091176v2_genomic","AT5G56700","CP087130.2",26117064,26118901,"Family",26117064,26118901,1838,"gene_body",0,NA,0,0,12612
"GCA_020911765.2_ASM2091176v2_genomic","AT5G60610","CP087130.2",27539352,27541376,"Family",27539352,27541376,2025,"gene_body",0,NA,0,0,18045
"GCA_020911765.2_ASM2091176v2_genomic","AT1G31370","CP087126.2",11259947,11261012,"Family",11259947,11261012,1066,"gene_body",1,"LTR/Copia",228,0.213883677298311,0
"GCA_020911765.2_ASM2091176v2_genomic","AT1G31380","CP087126.2",11262100,11262748,"Family",11262100,11262748,649,"gene_body",0,NA,0,0,633
"GCA_020911765.2_ASM2091176v2_genomic","AT3G58220","CP087128.1",24249510,24250617,"Family",24249510,24250617,1108,"gene_body",0,NA,0,0,14408
"GCA_020911765.2_ASM2091176v2_genomic","AT1G31390","CP087126.2",11264831,11266041,"Family",11264831,11266041,1211,"gene_body",0,NA,0,0,3364
"GCA_020911765.2_ASM2091176v2_genomic","AT1G31400","CP087128.1",24249508,24250621,"Family",24249508,24250621,1114,"gene_body",0,NA,0,0,14406
"GCA_020911765.2_ASM2091176v2_genomic","AT3G58220","CP087126.2",11265266,11267385,"Family",11265266,11267385,2120,"gene_body",0,NA,0,0,3799
"GCA_020911765.2_ASM2091176v2_genomic","AT1G31400","CP087126.2",11266874,11268210,"Family",11266874,11268210,1337,"gene_body",0,NA,0,0,5407
"GCA_020911765.2_ASM2091176v2_genomic","AT2G05410","CP087128.1",24249504,24250620,"Family",24249504,24250620,1117,"gene_body",0,NA,0,0,14402
"GCA_020911765.2_ASM2091176v2_genomic","AT3G58220","CP087126.2",11260304,11262620,"Family",11260304,11262620,2317,"gene_body",2,"LTR/Copia, LTR/unknown",412,0.177816141562365,0
"GCA_020911765.2_ASM2091176v2_genomic","AT2G01790","CP087127.2",849390,850548,"Family",849390,850548,1159,"gene_body",0,NA,0,0,784
"GCA_020911765.2_ASM2091176v2_genomic","AT2G05400","CP087127.2",2483118,2484802,"Family",2483118,2484802,1685,"gene_body",1,"LTR/Copia",85,0.0504451038575668,0
"GCA_020911765.2_ASM2091176v2_genomic","AT2G05410","CP087127.2",2485150,2486785,"Family",2485150,2486785,1636,"gene_body",1,"SINE/tRNA",101,0.0617359413202934,0
"GCA_020911765.2_ASM2091176v2_genomic","AT2G05420","CP087127.2",2492133,2493681,"Family",2492133,2493681,1549,"gene_body",0,NA,0,0,767
"GCA_020911765.2_ASM2091176v2_genomic","AT3G27040","CP087128.1",9981230,9982852,"Family",9981230,9982852,1623,"gene_body",0,NA,0,0,7143
"GCA_020911765.2_ASM2091176v2_genomic","AT3G44790","CP087128.1",19010168,19012006,"Family",19010168,19012006,1839,"gene_body",0,NA,0,0,3036
"GCA_020911765.2_ASM2091176v2_genomic","AT3G44805","CP087128.1",19031866,19032908,"Family",19031866,19032908,1043,"gene_body",0,NA,0,0,146
"GCA_020911765.2_ASM2091176v2_genomic","AT3G44800","CP087128.1",19024804,19026305,"Family",19024804,19026305,1502,"gene_body",0,NA,0,0,1307
"GCA_020911765.2_ASM2091176v2_genomic","AT3G44805","CP087128.1",19010778,19011580,"Family",19010778,19011580,803,"gene_body",0,NA,0,0,3646
"GCA_020911765.2_ASM2091176v2_genomic","AT3G58200","CP087128.1",24241325,24243024,"Family",24241325,24243024,1700,"gene_body",0,NA,0,0,6223
"GCA_020911765.2_ASM2091176v2_genomic","AT3G58210","CP087128.1",24243950,24245575,"Family",24243950,24245575,1626,"gene_body",0,NA,0,0,8848
"GCA_020911765.2_ASM2091176v2_genomic","AT3G58220","CP087128.1",24245896,24248005,"Family",24245896,24248005,2110,"gene_body",0,NA,0,0,10794
"GCA_020911765.2_ASM2091176v2_genomic","AT3G58370","CP087128.1",24277282,24278624,"Family",24277282,24278624,1343,"gene_body",0,NA,0,0,4377
"GCA_020911765.2_ASM2091176v2_genomic","AT3G58250","CP087128.1",24252253,24253651,"Family",24252253,24253651,1399,"gene_body",0,NA,0,0,14410
"GCA_020911765.2_ASM2091176v2_genomic","AT3G58260","CP087128.1",24255262,24256877,"Family",24255262,24256877,1616,"gene_body",0,NA,0,0,11184
"GCA_020911765.2_ASM2091176v2_genomic","AT3G58270","CP087128.1",24257257,24259353,"Family",24257257,24259353,2097,"gene_body",0,NA,0,0,8708
"GCA_020911765.2_ASM2091176v2_genomic","AT3G58290","CP087128.1",24262080,24263369,"Family",24262080,24263369,1290,"gene_body",0,NA,0,0,4692
"GCA_020911765.2_ASM2091176v2_genomic","AT3G58340","CP087128.1",24270579,24271909,"Family",24270579,24271909,1331,"gene_body",0,NA,0,0,2405
"GCA_020911765.2_ASM2091176v2_genomic","AT3G58350","CP087128.1",24272917,24274470,"Family",24272917,24274470,1554,"gene_body",0,NA,0,0,4743
"GCA_020911765.2_ASM2091176v2_genomic","AT3G58360","CP087128.1",24275013,24276374,"Family",24275013,24276374,1362,"gene_body",0,NA,0,0,6627
"GCA_020911765.2_ASM2091176v2_genomic","AT3G58370","CP087128.1",24249508,24250620,"Family",24249508,24250620,1113,"gene_body",0,NA,0,0,14406
"GCA_020911765.2_ASM2091176v2_genomic","AT3G58400","CP087128.1",24284175,24285363,"Family",24284175,24285363,1189,"gene_body",0,NA,0,0,1011
"GCA_020911765.2_ASM2091176v2_genomic","AT3G58410","CP087128.1",24286379,24287737,"Family",24286379,24287737,1359,"gene_body",0,NA,0,0,3215
"GCA_020911765.2_ASM2091176v2_genomic","AT3G58420","CP087128.1",24290815,24293917,"Family",24290815,24293917,3103,"gene_body",1,"LTR/Copia",112,0.0360941024814695,0
"GCA_020911765.2_ASM2091176v2_genomic","AT1G29005","CP087126.2",10136556,10137391,"Family",10136556,10137391,836,"gene_body",1,"LTR/Copia",94,0.11244019138756,0
"GCA_020911765.2_ASM2091176v2_genomic","AT1G33710","CP087126.2",12241531,12242163,"Family",12241531,12242163,633,"gene_body",1,"LINE/unknown",595,0.939968404423381,0
"GCA_020911765.2_ASM2091176v2_genomic","AT1G34440","CP087126.2",12613227,12615458,"Family",12613227,12615458,2232,"gene_body",1,"LTR/Gypsy",153,0.0685483870967742,0
