"Sample","PC1","PC2","Group","LR_cluster"
"Lu-1",-5.59239757252646,0.0170001244729909,"Europe","1"
"TOU-A",-4.48505396239604,-0.769531065195592,"Europe","1"
"Shahdara",1.7067948732864,-11.9007496523152,"Asia","2"
"Shigu-2",0.968029947165885,-10.1093645395809,"Europe","2"
"Oy-0",-3.94567887214606,-0.433898063142832,"Europe","1"
"JEA",-2.44292483738733,5.45338298902794,"Europe","3"
"Nok-1",-4.07785820415097,1.3832883045918,"Europe","1"
"Ge-0",-3.04847381601376,0.058768162272664,"Europe","1"
"Ct-1",-3.6169977373984,-1.35236431849101,"Europe","1"
"Can-0",5.01894465388372,2.33925528610584,"Iberia","4"
"Cant-1",7.66871643624524,2.38624747086917,"Europe","4"
"Blh-1",-3.51006748520039,-1.99822380453994,"Europe","1"
"Bur-0",-3.49825822475551,-0.133270064356403,"Europe","1"
"Bay-0",-4.58355742478056,-2.26731222030985,"Europe","1"
"Are-10",15.464927043149,1.97264739672162,"Madeira","4"
"Are-6",16.2636345900731,2.10699666771493,"Madeira","4"
"Are-2",15.5668784535112,2.09543982395877,"Madeira","4"
"Anz-0",-2.81955844785961,1.22472415628269,"Africa","1"
"Geg-14",1.17018477163658,-8.13380388204516,"Asia","2"
"Db-1",-4.90042325833578,0.547905690027302,"Europe","1"
"Est-0",-2.21214379735694,0.843818897082666,"Europe","3"
"Kas-1",-0.971490179248472,-9.25452053549509,"Asia","2"
"Mh-0",-4.6016880990295,2.21312817266199,"Europe","3"
"Mr-0",-0.285811659221132,0.48105744795783,"Europe","4"
"Ms-0",-1.02618597778493,-9.29929882646984,"Europe","2"
"Co-4",-0.570366640648722,3.11385758078073,"Europe","1"
"Est-1",-2.76501064482917,-4.94227313575503,"Europe","1"
"Had-6b",2.40820908634804,1.40863503937247,"Africa","4"
"Hiroshima",2.95294504952759,-7.89409517590278,"Asia","2"
"Ishikawa",3.74734680829384,-4.63261079701821,"Asia","2"
"Kyr-1",2.58472478984038,-11.6816448714822,"Asia","2"
"Nov-02",1.14740031319831,-11.1736940230126,"Asia","2"
"Abd-0",-3.86140086475428,-0.160940555550506,"Europe","1"
"Rld-2",-1.90296857214094,-7.58440675648993,"Europe","1"
"Altai-5",1.82870161175163,-10.7629767453528,"Asia","2"
"Kar-1",2.26144117825339,-10.3095231810704,"Asia","2"
"Rubezhnoe-1",0.533810280604182,-8.55176137455748,"Europe","2"
"Sus-1",2.4744049279836,-10.6839650696095,"Asia","2"
"Sah-0",12.2338498315173,2.59801769126608,"Africa","4"
"Zal-1",0.462947690428557,-9.72579463506467,"Asia","2"
"Elh-2",2.83716260668699,1.38295965018918,"Africa","4"
"Edi-0",-4.9384061047239,1.12062235326848,"Europe","1"
"Etna-2",-0.152953012571414,2.45158601124602,"Europe","4"
"N13",1.67264162390847,-7.63842664302585,"Europe","2"
"No-0",-5.04643616678444,-2.85480849850356,"Europe","1"
"Qar-8a",0.922748977717792,2.60499689845559,"Africa","4"
"Sf-2",-1.89912087227247,3.11482246996449,"Europe","1"
"Ice-1",-2.65741696076166,-0.175448533942751,"Europe","1"
"Rab-R1",14.7753558789728,1.92034529409211,"Madeira","4"
"St-0",-4.10598618861889,-1.91618732305863,"Europe","1"
"Stw-0",-4.31385190432073,-1.51394278067755,"Europe","1"
"Tanz-1",5.78796278626598,1.35543251760754,"Africa","4"
"Taz-0",3.0074386191447,3.27909968219759,"Africa","4"
"ws-4",-4.51518332389399,-3.82678662207942,"Europe","1"
"Zin9",11.0207302682088,2.52520993641599,"Africa","4"
"PYL-1",-0.571086786851777,-1.44372137106212,"Europe","1"
"Valsi-1",-4.85299996157737,1.26086142226674,"Europe","1"
"Dog-4",-1.23628570171103,-2.95855990249727,"Europe","2"
"Nemrut-1",-0.330222665192018,-4.45342455659499,"Europe","2"
"Toufl-1",2.98758242846572,0.293853233619497,"Africa","4"
"Are-1",15.880157811047,2.2377926056522,"Madeira","4"
"Col-0.1",-0.0148000748623946,-2.54371647453683,"Europe","1"
"Bla-1",-4.09761131072344,1.6646383372038,"Europe","1"
"Cvi-0",3.9822801650435,2.49924107255976,"CapeVerde","4"
"Ita-0",3.0074386191447,3.27909968219759,"Africa","4"
"KZ9",0.948403906596485,-9.86961916859117,"Asia","2"
"AUZE-A-5",-4.12119399673849,0.989499779201351,"Europe","1"
"FERR-A-8",-5.45191035966071,4.43061351233358,"Europe","3"
"BELC-C-10",-5.62106155592091,3.23833058730436,"Europe","3"
"ANGE-B-10",-4.53571153690157,5.07322657039824,"Europe","3"
"BARA-C-5",-5.09045356487078,1.01474581404352,"Europe","1"
"IP-San-9",10.7319925419138,2.5073849136654,"Iberia","4"
"BANI-C-1",-5.7991287512758,3.67273230338743,"Europe","3"
"IP-Met-6",2.82737911511142,2.11119342405213,"Iberia","1"
"FERR-A-12",-5.61652850361581,3.65450359412816,"Europe","3"
"IP-Evs-12",-1.70647373058887,2.78542444073214,"Iberia","1"
"IP-Med-0",10.6612413811683,1.50297932174806,"Iberia","4"
"MONTM-B-16",-3.99321817503228,1.62465190191257,"Europe","1"
"IP-Alo-0",-2.07412704578775,2.25918313266288,"Iberia","1"
"Ler-0",-3.95403176325427,-3.4815323491002,"Europe","1"
"BANI-C-12",0.387690715778731,1.82018340969629,"Europe","1"
"IP-Hom-4",0.0489885853348523,1.98468179954978,"Iberia","1"
"BARA-C-3",-5.81501658147026,4.04061226965004,"Europe","3"
"Rabacal-1",14.4860906281426,1.81261353597665,"Madeira","4"
"CAMA-C-2",-4.74086437828768,3.96326300353246,"Europe","3"
"BARC-A-17",-5.27415156896154,4.46644176574785,"Europe","3"
"SALE-A-10",-5.81558688354508,4.28531907089091,"Europe","3"
"CAMA-C-9",-4.80177349478571,3.98833174000162,"Europe","3"
"BELC-C-12",-5.73425155223635,3.42509529202303,"Europe","3"
"BROU-A-10",-5.01067690790727,4.8447262727378,"Europe","3"
"SALE-A-17",-5.81966347932666,4.30735226044855,"Europe","3"
"BARC-A-12",-5.26469900299504,4.43688863925216,"Europe","3"
"IP-Alo-19",11.2224977132628,2.06863976140966,"Iberia","4"
"IP-Cas-0",3.20942285970505,2.57420299277592,"Iberia","4"
"IP-Hom-0",11.8606876251506,1.51964470075979,"Iberia","4"
"MERE-A-13",-3.32916549696675,2.26422905016924,"Europe","1"
"IP-Mos-9",11.4074388768212,2.19541160166197,"Iberia","4"
"IP-Mos-5",-1.83624655784735,1.58382783484221,"Iberia","1"
"IP-Hum-4",-5.29858055269293,0.604552721751229,"Iberia","1"
"GAIL-B-11",-6.39188671602549,4.53039717806019,"Europe","3"
"IP-Mdc-14",3.74415476802994,1.11696492930721,"Iberia","4"
"IP-Hum-2",6.24685372571336,3.33723638323679,"Iberia","4"
"IP-Med-3",-3.35738300310022,0.66982719830434,"Iberia","1"
"PREI-A-14",-4.7351432015135,4.4808481226091,"Europe","3"
"IP-Sln-22",10.7381417602461,3.30293443348878,"Iberia","4"
"Cvi-0.6911",3.9822801650435,2.49924107255976,"CapeVerde","4"
"IP-Cat-0",12.9218566512177,3.57205218847719,"Iberia","4"
"ANGE-B-2",-3.78842285631815,2.88099385414185,"Europe","3"
"IP-Evs-0",-3.23772760503006,3.71612019050953,"Iberia","1"
"IP-Cas-6",9.90035349973234,3.25448988520689,"Iberia","4"
"MONTM-B-7",-5.12880591725026,1.7081296807325,"Europe","3"
"LACR-C-14",-5.30493156193198,3.17772356897143,"Europe","3"
"Ey15-2_9994",-3.6164874866395,3.12267907594291,"Europe","3"
"Bön",-3.76943454651572,-0.174705407528685,"Europe","1"
"IP-Ini-0",-3.32407626819801,2.57737527508834,"Iberia","1"
"Etna-2.1",-0.0970697762913745,2.49380457799074,"Europe","4"
"Gel-1",-3.85059680310587,-1.20210809244298,"Europe","1"
"IP-Piq-0",-4.19853202578136,0.766554193953912,"Iberia","1"
"IP-Tri-0",-4.57534696307808,2.17799327019688,"Iberia","1"
"HR-10",-3.75369264239017,-0.636322553537863,"Europe","1"
"Ru-2",-3.6164874866395,3.12267907594291,"Europe","3"
"DraIII-1",-4.65679179724352,-3.15410941020052,"Europe","1"
"T850",-4.54166574904897,-1.25847088795933,"Europe","1"
"Iasi-1",-3.54267177975826,-4.61397302932195,"Europe","1"
"IP-Per-0",11.7293421333401,1.97947526376124,"Iberia","4"
"11C1",-3.47397155797603,0.451498961521701,"Europe","1"
"IP-Bus-0",-4.89788549754259,4.5293908405584,"Iberia","3"
"IP-Fel-2",-4.91549531234737,0.388247018344132,"Iberia","1"
