family_id	73_3a	AL08_v2_f	al1_v2_s	AL27_v1	ALR	BAM12_v2	BOR_v1	F1-14	KN003hexa_v0	KN005_v1	KN006_v1	MN47_mabs_v3	MN47_v4	Nla	NT1_v2	NT12_v2	NT8_v2_fix	NT9_v2	PU6_v3_fin	TE11_v2	TE4_v1	TE8_v1	WS1_v2_s
OG0000007	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
OG0000009	20	21	21	21	21	23	22	21	24	22	23	26	0	21	23	23	22	25	22	23	24	24	21
OG0000012	39	34	38	35	33	27	34	35	41	45	33	28	0	38	25	33	40	30	33	27	39	28	25
OG0000015	11	12	13	9	13	15	10	14	16	17	18	18	4	11	12	15	17	15	16	12	10	12	13
OG0000016	49	49	47	50	46	47	49	57	47	46	57	56	0	49	46	51	57	50	48	54	52	55	47
OG0000022	15	14	17	14	16	17	14	15	16	16	16	17	0	14	16	17	16	17	16	16	14	14	16
OG0000024	23	24	24	28	27	23	27	21	29	26	29	28	1	19	20	22	30	22	21	29	28	27	25
OG0000027	13	11	10	13	12	12	12	13	12	12	12	13	0	13	13	10	12	12	9	12	12	9	11
OG0000029	26	30	17	31	30	25	29	28	30	33	33	38	0	28	25	28	30	28	31	28	28	27	28
OG0000030	11	13	11	11	11	11	12	9	12	11	11	11	0	10	11	11	11	11	10	11	11	12	12
OG0000038	2	2	2	1	2	2	1	2	1	1	2	2	0	1	1	2	2	2	2	2	2	1	2
OG0000039	16	18	15	17	18	16	19	17	18	19	18	17	0	17	15	15	16	16	15	15	15	16	14
OG0000040	12	11	12	12	11	13	11	12	12	14	13	15	0	9	12	9	11	12	12	12	11	10	12
OG0000042	15	14	15	15	16	17	16	16	18	19	21	21	0	14	11	15	16	17	16	16	17	17	17
OG0000045	5	6	5	5	4	5	5	5	6	5	5	6	1	6	6	5	6	6	6	6	6	6	6
OG0000046	17	17	16	17	16	18	16	17	17	18	18	18	0	16	18	18	18	17	18	18	18	18	16
OG0000047	16	14	15	15	16	13	12	14	12	15	16	16	0	13	13	16	15	15	14	16	16	14	15
OG0000049	24	24	23	24	24	24	24	23	25	25	26	26	0	24	24	24	25	25	24	21	25	25	23
OG0000054	8	9	9	10	7	8	10	9	9	10	10	11	0	8	10	10	8	10	8	10	10	8	7
OG0000060	26	30	25	29	28	24	30	27	26	28	29	29	3	30	25	24	31	29	28	29	31	24	20
OG0000065	7	10	8	8	9	10	7	9	9	11	11	11	0	8	7	8	9	9	8	11	9	12	9
OG0000075	1	0	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1
OG0000077	6	6	6	7	6	7	7	6	6	6	7	7	3	6	7	7	7	6	7	7	7	6	7
OG0000083	3	1	1	2	1	2	2	2	1	2	2	3	0	3	2	1	0	2	3	1	1	0	2
OG0000086	3	3	3	3	3	3	4	3	3	3	3	3	0	3	3	3	3	3	3	3	3	3	3
OG0000087	8	7	8	7	7	6	6	6	9	7	9	9	0	7	9	9	7	7	9	4	8	5	8
OG0000090	7	6	8	6	8	8	7	8	8	8	7	8	3	6	8	8	9	8	7	8	8	6	8
OG0000093	1	1	1	1	2	1	1	1	2	3	3	3	0	1	0	2	1	2	2	2	1	1	2
OG0000095	2	2	2	2	0	2	2	2	2	1	2	2	0	2	1	1	2	2	2	2	2	1	2
OG0000096	3	2	2	3	2	3	3	3	3	3	3	3	0	2	3	3	3	2	2	2	3	3	2
OG0000100	1	1	1	1	1	1	1	1	1	1	1	1	0	1	0	1	1	1	1	1	1	1	1
OG0000103	5	5	5	6	5	5	5	4	7	7	7	7	0	4	5	6	6	6	5	6	6	6	6
OG0000106	19	21	16	19	18	20	17	17	21	19	19	21	1	20	20	16	16	16	17	18	18	17	16
OG0000107	16	14	12	16	15	13	17	18	18	18	19	21	0	15	16	13	12	15	14	14	14	14	12
OG0000118	2	3	1	1	1	2	3	2	4	4	6	6	0	2	0	1	2	1	1	2	1	2	1
OG0000126	10	10	10	10	10	10	8	9	10	10	9	10	0	9	9	10	8	10	9	10	11	10	10
OG0000141	2	2	2	2	2	2	2	2	1	1	2	2	0	2	0	2	2	2	2	2	2	2	1
OG0000142	4	3	4	3	4	4	4	4	4	4	4	4	0	3	4	4	4	4	4	4	4	3	4
OG0000147	7	6	7	6	8	7	8	5	11	11	11	11	0	7	8	7	8	7	6	8	11	5	8
OG0000150	12	12	11	12	12	12	12	12	12	12	12	12	0	12	12	11	11	12	12	11	12	11	11
OG0000158	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
OG0000159	8	7	8	8	9	10	7	9	10	7	7	11	0	7	7	7	7	8	7	7	7	8	6
OG0000164	8	8	8	8	8	8	8	8	9	9	9	9	0	8	8	8	8	7	8	8	8	8	8
OG0000166	16	18	20	21	20	20	19	17	24	22	24	23	0	16	19	19	20	20	20	21	21	19	9
OG0000167	7	7	7	7	7	7	7	7	7	7	7	7	0	7	7	7	6	7	7	6	7	7	6
OG0000170	138	153	145	148	129	151	162	150	304	246	299	261	10	138	133	139	155	151	157	138	143	146	135
OG0000182	22	23	17	20	20	16	19	20	22	22	16	21	3	19	18	16	16	16	27	17	20	20	17
OG0000184	17	14	16	15	17	14	17	16	14	14	11	12	0	15	13	14	16	15	16	14	14	17	15
OG0000185	6	6	3	5	5	7	6	5	6	7	7	6	0	6	6	7	6	7	5	7	7	6	5
OG0000186	2	2	1	2	2	2	2	2	2	2	2	2	0	2	2	2	2	1	1	1	2	2	1
OG0000188	19	15	18	17	18	16	17	18	20	20	20	20	0	16	16	15	18	18	18	17	16	18	16
OG0000192	2	2	2	2	2	2	2	2	2	2	2	2	0	2	2	2	2	2	2	1	2	1	2
OG0000196	4	4	4	4	4	4	4	4	4	4	4	4	0	4	3	4	4	4	3	4	3	4	4
OG0000199	17	15	20	18	15	18	15	14	17	20	18	21	3	17	19	17	17	17	20	20	20	19	16
OG0000200	19	9	18	18	20	18	19	19	15	16	17	20	0	13	11	18	16	17	20	19	16	16	18
OG0000202	3	3	1	1	3	3	2	3	3	3	3	3	0	3	3	3	3	3	3	3	3	3	3
OG0000206	6	6	6	6	5	6	6	6	5	5	6	8	1	6	8	6	6	6	6	5	6	7	6
OG0000207	11	8	9	10	11	11	10	8	13	16	19	16	0	12	14	12	12	10	10	9	10	10	10
OG0000210	3	3	2	3	3	3	3	3	3	3	3	3	0	3	3	3	3	3	2	3	2	2	2
OG0000213	6	8	8	7	6	6	7	7	8	8	8	8	0	7	7	8	8	7	8	7	8	7	8
OG0000217	9	10	9	11	9	10	10	13	11	12	9	12	0	12	10	10	11	11	10	12	13	11	10
OG0000220	10	10	12	11	11	11	11	11	11	10	12	11	1	10	11	10	10	11	10	11	11	11	10
OG0000224	3	3	3	3	3	1	2	1	3	3	3	3	0	1	3	1	1	0	3	3	1	1	3
OG0000228	2	2	2	2	2	3	3	1	3	3	3	3	0	2	3	2	3	3	2	3	1	1	3
OG0000242	10	11	9	10	11	11	8	13	12	12	12	12	0	10	10	8	11	9	11	11	10	11	10
OG0000253	8	7	8	8	8	8	8	6	9	9	9	9	0	7	8	7	8	8	8	8	7	8	9
OG0000255	3	44	33	72	24	25	18	33	62	74	75	95	10	56	1	80	95	66	16	38	45	18	76
OG0000258	15	14	11	13	14	12	14	14	13	14	14	14	1	15	11	11	14	11	10	10	14	13	12
OG0000261	5	5	5	5	5	5	5	6	6	6	6	6	2	5	6	6	5	5	6	6	6	6	5
OG0000264	10	12	10	11	11	9	12	10	9	9	9	9	0	11	8	9	9	9	6	9	11	11	8
OG0000266	4	4	4	5	4	7	6	5	5	5	6	9	0	4	6	4	3	6	4	3	4	5	4
OG0000269	2	1	1	1	1	1	1	2	2	2	2	2	0	2	1	1	1	1	1	2	1	2	2
OG0000271	3	3	3	3	3	3	3	3	3	3	3	3	0	4	3	3	3	3	4	3	3	3	3
OG0000272	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1
OG0000276	7	5	11	10	5	9	4	6	11	10	10	10	1	6	12	4	11	4	7	3	5	5	10
OG0000297	2	2	2	2	2	3	2	2	3	3	3	3	0	2	3	3	3	3	3	2	2	3	2
OG0000298	5	5	5	5	5	5	5	5	5	5	5	5	0	5	5	5	5	5	5	5	5	5	5
OG0000299	11	12	12	12	14	13	12	12	14	14	13	15	3	13	15	13	13	11	13	12	13	13	11
OG0000319	1	1	2	2	2	2	1	2	2	2	2	2	0	2	1	1	1	1	1	1	1	1	2
OG0000320	1	2	1	1	1	2	2	2	2	2	1	2	0	1	2	2	2	2	2	2	1	2	2
OG0000325	4	4	4	4	4	4	4	4	4	4	3	4	0	4	4	4	2	4	4	3	4	3	4
OG0000329	0	0	1	0	0	1	0	0	0	0	0	1	0	0	1	1	1	1	0	1	1	1	1
OG0000338	14	13	13	14	14	14	14	13	14	13	14	14	1	14	13	14	14	13	14	14	13	13	13
OG0000339	11	11	10	11	9	10	9	11	11	10	10	11	0	8	10	9	9	9	8	10	8	9	9
OG0000343	7	6	5	11	8	6	6	6	7	6	7	10	1	5	6	8	5	7	5	4	6	4	11
OG0000347	20	35	36	33	32	37	29	37	19	27	39	36	0	24	23	36	27	35	38	39	39	36	38
OG0000348	5	5	3	3	4	4	4	5	5	5	5	5	0	4	3	4	5	5	5	4	5	5	5
OG0000360	6	7	7	7	7	7	7	7	8	8	7	8	0	7	6	7	7	7	7	7	6	5	7
OG0000361	11	12	9	11	11	11	11	11	13	13	12	13	2	11	10	10	9	11	11	11	12	12	10
OG0000367	4	4	4	4	4	5	4	3	5	5	4	5	0	4	4	4	5	4	5	5	5	5	4
OG0000372	5	5	5	5	5	5	5	5	5	5	5	5	0	5	5	5	5	4	5	5	4	5	5
OG0000375	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
OG0000382	8	8	8	8	8	8	8	8	7	8	7	8	2	8	8	8	7	8	6	7	7	8	7
OG0000384	16	11	16	40	19	29	33	26	43	36	49	61	27	25	28	43	33	37	35	21	20	24	23
OG0000385	1	1	1	1	1	1	1	1	0	1	1	1	0	1	0	1	1	1	1	1	1	1	1
OG0000386	10	8	10	11	11	9	12	11	11	11	11	11	0	9	10	10	10	11	12	11	11	10	10
OG0000388	10	5	13	9	6	12	6	8	9	10	10	10	0	7	5	10	10	10	9	10	10	10	12
OG0000402	2	2	5	2	2	2	2	8	8	10	10	12	0	2	4	5	5	5	2	2	2	2	5
OG0000418	3	3	3	3	3	3	3	3	4	4	4	4	0	3	3	3	3	2	3	3	3	3	1
OG0000419	3	3	3	3	3	3	3	3	3	3	3	3	0	3	3	3	3	3	3	3	3	3	3
OG0000422	5	5	8	5	5	7	5	10	8	8	7	8	0	3	6	8	7	8	8	8	7	7	5
OG0000432	1	1	1	1	1	1	1	1	1	2	1	1	0	1	1	1	1	1	1	1	1	1	1
OG0000434	6	5	8	8	8	8	8	8	7	8	8	8	1	8	8	6	7	7	8	8	8	8	6
OG0000440	11	8	10	7	8	10	10	7	12	10	12	13	1	10	11	12	8	11	12	11	9	9	12
OG0000442	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
OG0000445	2	2	2	1	2	2	2	2	0	1	2	2	0	2	0	2	2	2	2	2	2	2	2
OG0000448	8	10	9	7	8	10	9	6	9	6	9	9	0	9	9	10	9	8	10	10	9	9	10
OG0000452	1	0	0	0	0	0	0	0	1	0	1	1	0	1	0	1	1	1	1	0	0	1	0
OG0000453	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
OG0000473	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1
OG0000496	2	2	2	2	2	2	2	2	2	2	2	2	0	2	2	2	2	2	1	2	2	2	1
OG0000500	2	1	2	2	2	2	2	2	2	2	2	2	0	2	2	2	2	2	2	1	2	2	0
OG0000501	7	9	10	9	8	9	8	9	10	7	9	10	0	9	6	9	10	9	10	9	10	9	10
OG0000503	2	2	2	2	2	2	2	2	2	2	2	2	1	2	1	2	2	2	2	2	1	2	1
OG0000504	2	1	1	1	1	2	1	1	2	2	3	3	0	1	3	2	1	2	2	1	1	2	2
OG0000510	4	3	2	2	3	2	4	3	3	4	4	4	0	4	2	2	2	2	2	2	3	1	2
OG0000513	10	10	10	11	11	9	10	11	10	11	11	11	0	10	10	9	11	10	10	9	10	10	8
OG0000534	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
OG0000535	7	6	7	7	6	6	6	2	7	7	7	7	0	6	7	7	7	7	7	6	6	6	6
OG0000546	6	4	4	6	4	4	4	4	6	7	7	7	0	6	5	4	4	4	3	6	4	4	6
OG0000549	6	6	6	6	6	6	5	6	6	5	6	6	0	6	5	6	6	6	6	6	6	5	5
OG0000589	2	1	3	3	4	2	3	2	3	4	4	4	0	1	4	2	2	4	2	2	3	3	2
OG0000591	6	6	6	6	6	5	6	6	6	6	6	6	0	6	6	6	6	6	6	6	6	6	6
OG0000594	6	11	9	11	8	8	13	10	11	11	17	15	0	9	7	8	10	4	8	9	12	8	5
OG0000598	8	8	8	8	8	8	8	7	8	9	7	8	0	8	6	8	8	8	7	8	9	8	8
OG0000599	15	15	21	21	11	15	11	12	27	25	23	30	0	12	24	14	12	20	29	10	14	18	28
OG0000601	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1
OG0000605	11	13	11	11	11	13	11	11	12	12	13	13	0	12	13	13	13	13	11	10	11	12	12
OG0000606	7	8	8	7	8	8	7	8	8	7	8	8	0	8	6	8	8	7	8	8	8	8	8
OG0000618	1	1	1	1	1	1	1	1	1	0	0	1	1	1	1	1	1	1	1	1	1	1	1
OG0000620	6	4	5	4	4	5	4	7	6	4	8	8	0	5	2	5	4	5	5	7	5	6	5
OG0000621	2	2	0	1	2	1	2	2	2	2	2	2	0	1	2	2	2	2	2	2	1	1	2
OG0000639	7	7	6	7	7	7	7	7	5	7	6	5	0	7	7	7	7	7	6	7	7	9	7
OG0000679	2	2	1	1	2	1	2	1	1	1	2	2	2	2	2	2	2	1	2	2	1	2	1
OG0000692	4	5	5	5	5	5	5	5	5	5	5	5	0	4	5	5	4	5	4	4	5	5	4
OG0000712	7	7	7	7	7	7	7	7	7	7	7	7	0	7	7	7	7	7	6	7	7	7	7
OG0000720	11	39	11	10	17	13	15	14	24	36	46	46	0	20	14	13	13	17	13	17	13	17	12
OG0000724	5	4	8	5	4	7	4	3	8	8	8	8	1	4	8	5	6	7	4	5	5	5	6
OG0000725	5	4	4	4	6	4	4	5	7	6	7	9	0	5	5	4	4	5	3	3	3	4	4
OG0000728	2	2	2	3	3	2	2	1	3	3	3	3	0	2	3	2	2	2	3	2	2	2	2
OG0000731	5	5	4	5	5	4	5	5	4	5	5	5	4	5	5	4	5	4	4	4	4	4	5
OG0000736	1	1	1	1	0	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1
OG0000739	7	7	7	7	7	7	6	7	7	7	7	7	0	7	7	7	7	7	7	7	7	7	6
OG0000761	7	4	4	4	6	6	6	5	6	7	6	6	0	7	1	5	7	5	4	4	5	4	5
OG0000792	2	2	2	2	2	2	2	2	2	2	2	2	0	2	2	2	2	2	2	2	2	2	2
OG0000817	9	6	10	6	8	6	6	10	9	10	10	10	1	10	7	7	7	9	9	10	8	7	7
OG0000822	7	7	8	8	8	8	8	9	9	9	9	8	0	8	7	8	8	8	8	8	8	8	8
OG0000846	4	5	4	4	4	4	4	4	4	4	4	4	0	4	4	4	4	4	5	4	4	4	4
OG0000857	2	2	2	2	2	2	2	2	2	2	2	2	1	2	2	2	2	2	2	2	2	2	2
OG0000865	12	12	27	12	12	26	13	18	31	29	22	34	0	17	26	25	18	26	23	25	16	24	11
OG0000887	4	2	5	4	4	1	2	2	5	5	5	7	0	2	4	2	2	2	1	4	4	4	2
OG0000893	10	10	8	11	8	9	10	9	8	9	8	9	1	11	9	6	6	6	8	9	6	7	9
OG0000907	5	5	6	6	5	6	6	5	8	6	6	9	0	6	7	6	6	6	6	4	4	6	6
OG0000913	5	5	6	6	5	6	5	4	7	7	8	8	0	5	7	6	6	6	7	6	7	6	6
OG0000929	6	6	7	5	7	6	5	9	9	9	9	8	0	8	5	6	6	6	7	6	6	5	6
OG0000949	8	9	9	7	8	8	8	8	7	8	8	8	0	8	8	7	8	8	10	8	9	8	9
OG0000962	4	4	4	4	4	4	4	3	4	4	4	4	0	4	4	4	4	4	4	4	4	4	4
OG0001007	5	9	5	6	5	10	5	4	13	11	11	12	0	7	5	8	8	5	2	8	2	2	9
OG0001019	2	2	2	2	2	2	2	2	2	2	2	2	0	2	2	2	2	2	2	2	2	2	2
OG0001038	1	1	1	1	0	0	1	1	1	1	1	1	0	0	1	0	0	1	1	1	1	1	1
OG0001079	1	1	1	0	2	2	1	1	3	1	2	3	0	0	1	2	3	2	1	1	0	2	1
OG0001115	7	7	7	7	7	7	7	7	7	7	7	7	0	8	7	8	7	7	7	7	8	7	7
OG0001127	9	11	1	3	11	6	10	7	8	8	11	11	3	10	6	10	10	9	9	9	9	9	10
OG0001132	13	5	14	14	18	12	11	13	16	11	9	19	0	15	5	7	6	17	8	11	11	6	17
OG0001135	5	6	5	6	6	5	6	6	6	5	5	8	1	7	3	4	5	5	5	3	6	6	6
OG0001136	6	6	5	6	6	5	6	6	6	6	2	6	0	6	5	4	4	6	4	5	5	5	5
OG0001139	6	7	5	6	6	7	4	7	6	7	8	8	0	6	2	3	4	6	6	5	5	5	6
OG0001188	5	3	4	5	5	4	3	5	5	5	5	6	0	5	5	5	4	5	4	5	6	5	5
OG0001196	2	2	1	1	2	1	2	1	2	2	2	2	0	1	2	2	2	1	1	2	2	2	2
OG0001202	4	4	4	4	4	4	4	4	4	4	4	4	0	4	4	4	4	4	4	4	4	4	4
OG0001262	7	7	7	6	7	7	7	7	7	7	7	7	0	7	7	7	7	7	6	7	7	7	7
OG0001318	12	6	9	11	14	15	16	16	12	9	10	15	0	12	6	7	6	16	12	6	13	4	16
OG0001336	4	4	4	4	4	4	4	4	6	6	6	6	0	4	4	5	4	4	6	4	4	4	4
OG0001349	3	3	3	3	3	3	3	3	3	3	3	3	0	3	3	3	3	3	2	2	2	2	3
OG0001363	2	1	2	2	2	1	1	1	1	1	1	2	0	2	0	1	1	1	1	1	2	1	1
OG0001392	7	8	7	7	7	8	7	8	8	8	8	8	0	8	8	8	8	8	8	8	8	8	7
OG0001395	3	3	3	3	3	3	3	3	3	3	3	3	0	3	3	3	3	3	3	3	3	3	3
OG0001398	1	0	1	0	0	1	0	1	2	2	2	2	0	1	0	0	0	1	1	1	1	1	0
OG0001400	4	3	3	3	4	3	3	3	6	3	3	6	0	3	1	0	3	1	4	4	3	3	4
OG0001401	5	5	5	5	5	5	4	5	5	5	4	5	0	5	5	5	5	5	4	5	5	5	5
OG0001408	5	3	5	2	2	4	2	4	7	6	5	6	0	3	6	7	7	5	4	4	3	3	7
OG0001411	5	6	4	5	4	3	3	5	8	9	7	7	0	4	5	4	2	4	4	6	6	4	3
OG0001412	6	6	7	7	7	5	7	7	8	6	10	10	0	7	6	8	9	10	6	7	9	9	5
OG0001688	1	1	2	1	1	2	1	2	2	2	1	2	0	2	2	2	2	2	2	2	2	1	1
OG0001769	3	2	3	3	2	3	2	2	4	4	4	4	0	2	3	3	3	2	2	2	2	2	4
OG0001813	6	5	6	5	5	6	6	4	6	6	6	6	0	6	5	6	6	6	6	6	6	6	6
OG0001820	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1
OG0001841	5	6	6	6	4	7	8	8	7	5	5	7	0	5	3	8	6	7	9	6	7	7	9
OG0001885	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
OG0001893	1	0	1	1	1	1	1	1	1	1	1	1	0	0	1	1	1	0	1	1	1	0	1
OG0001901	6	6	6	5	5	7	6	5	7	7	7	7	2	5	7	6	6	6	6	6	6	6	6
OG0001911	10	16	10	10	10	2	10	10	12	10	10	10	0	10	8	10	5	10	10	12	12	12	9
OG0001918	7	6	5	7	6	5	5	6	7	7	7	7	0	6	6	6	6	6	6	6	5	5	6
OG0001923	6	6	6	7	6	6	6	6	5	5	5	6	0	6	5	6	6	6	7	6	6	6	7
OG0001927	3	3	8	4	3	2	4	3	5	5	5	7	0	4	6	2	3	5	3	6	3	4	5
